I
1050 Generated by WorldEditor 2.3.0r2

1   2700 0 0 CAL3 Douglas Lake
100 12.19 1 0 0.25 0 0 0 08  50.16694320 -120.18075157    0    0 1 0 0 0 26  50.16400174 -120.16190798    0    0 1 0 0 0
110 1 0.00 0.0000 New Taxiway 320
111  50.16401730 -120.16234847
112  50.16401730 -120.16234847  50.16387992 -120.16214234
111  50.16380612 -120.16190603
112  50.16382094 -120.16175276  50.16384935 -120.16172097
111  50.16382094 -120.16175276
112  50.16382094 -120.16175276  50.16387132 -120.16169670
112  50.16401823 -120.16167757  50.16408898 -120.16168059
111  50.16401823 -120.16167757
112  50.16401823 -120.16167757  50.16404974 -120.16167858
111  50.16407658 -120.16185542
113  50.16410251 -120.16220822
110 1 0.00 0.0000 New Taxiway 319
111  50.16478508 -120.16666769
112  50.16496199 -120.16696265  50.16499741 -120.16712610
111  50.16496199 -120.16696265
112  50.16496199 -120.16696265  50.16499000 -120.16710007
113  50.16489067 -120.16732703
110 1 0.00 0.0000 New Taxiway 318
111  50.16678732 -120.17946178
111  50.16692365 -120.18007494
112  50.16706953 -120.18015327  50.16717296 -120.18019881
111  50.16706953 -120.18015327
112  50.16706953 -120.18015327  50.16718531 -120.18023376
112  50.16690322 -120.18081169  50.16659112 -120.18084667
111  50.16690322 -120.18081169
113  50.16688843 -120.18076851
130 Airport Boundary 321
111  50.16663260 -120.18001766
111  50.16654146 -120.18007665
111  50.16651812 -120.17997775
111  50.16661083 -120.17991677
111  50.16587861 -120.17506575
111  50.16587477 -120.17481989
111  50.16403259 -120.16312606
111  50.16391919 -120.16300949
111  50.16362624 -120.16108113
111  50.16410355 -120.16127108
111  50.16723239 -120.18007358
111  50.16727080 -120.18056531
111  50.16707105 -120.18077520
113  50.16685018 -120.18147382
1300  50.16388639 -120.16186626 -15.54 tie_down props Apron
1301 A general_aviation 
19  50.16655973 -120.18000461 1 New Windsock 34
51 12320 Douglas Lake Traffic
99
