A
1000 Generated by Infinite Flight Airport Editing (World Parser)

1       17 1 0 SABE Aeroparque Jorge Newbery
100   39.93   2   2 0.00 0 2 0 13  -34.55415947 -058.42525655    0.00  241.10 1  1 0 2 31  -34.56466919 -058.40624215  302.06    0.00 1  0 0 0
21  -34.55521261 -058.42221402  2 123.90   3.00 xxx PAPI-4L
21  -34.56289712 -058.41028768  2 303.90   3.00 xxx PAPI-4L
110   2 0.00   0.00 Plataforma Comercial
111 -34.55389081 -058.42518849 
111 -34.55430790 -058.42441263 
111 -34.56441691 -058.40614588 102 
111 -34.56406452 -058.40619317 102 
112 -34.56371260 -058.40629345 -34.56361612 -058.40635203 102 
111 -34.56339285 -058.40663294 102 
111 -34.56308704 -058.40709713 102 
111 -34.56283725 -058.40746408 102 
111 -34.56250595 -058.40794198 102 
112 -34.56241431 -058.40800274 -34.56233025 -058.40800718 102 
111 -34.56231171 -058.40795699 102 
111 -34.56215112 -058.40776227 102 
111 -34.56207878 -058.40783900 102 
112 -34.56213164 -058.40798883 -34.56210240 -058.40801102 102 
111 -34.56201678 -058.40800168 102 
112 -34.56174104 -058.40801490 -34.56170586 -058.40802882 102 
112 -34.56112942 -058.40858689 -34.56112117 -058.40860943 102 
112 -34.56117339 -058.40876913 -34.56117133 -058.40880671 102 
112 -34.56108871 -058.40892208 -34.56105570 -058.40894713 102 
112 -34.56095980 -058.40894810 -34.56091854 -058.40898317 102 
112 -34.56072172 -058.40941570 -34.56072172 -058.40947583 102 
111 -34.56087228 -058.40965171 102 
112 -34.56087692 -058.40970654 -34.56085216 -058.40973911 102 
111 -34.56081760 -058.40970376 102 
111 -34.56008531 -058.40903692 102 
111 -34.55817290 -058.41157751 
111 -34.55748799 -058.41277911 
111 -34.55609652 -058.41569304 
111 -34.55727900 -058.41642235 102 
112 -34.55740713 -058.41645712 -34.55748656 -058.41644610 102 
111 -34.55750751 -058.41642904 102 
112 -34.55758039 -058.41638607 -34.55764166 -058.41638607 102 
111 -34.55764192 -058.41647261 102 
112 -34.55765372 -058.41668560 -34.55763784 -058.41676000 102 
111 -34.55757928 -058.41687104 102 
111 -34.55661565 -058.41884076 102 
112 -34.55651058 -058.41894773 -34.55646065 -058.41896426 102 
111 -34.55636920 -058.41888936 102 
111 -34.55576252 -058.41859265 102 
111 -34.55560140 -058.41920523 102 
111 -34.55610385 -058.41936892 102 
112 -34.55618444 -058.41948530 -34.55620033 -058.41957899 102 
111 -34.55617023 -058.41964772 102 
111 -34.55388564 -058.42350614 102 
112 -34.55379106 -058.42372228 -34.55375248 -058.42387383 102 
111 -34.55374468 -058.42397570 102 
111 -34.55365027 -058.42471632 102 
114 -34.55371493 -058.42508842 -34.55381479 -058.42522619 102 
111 -34.55427661 -058.42443360 102 
112 -34.55410769 -058.42437982 -34.55402915 -058.42429913 102 
111 -34.55402750 -058.42420853 102 
111 -34.55401879 -058.42399775 102 
112 -34.55403087 -058.42370891 -34.55406712 -058.42353287 102 
111 -34.55418371 -058.42340683 102 
111 -34.55458928 -058.42275758 102 
111 -34.55497057 -058.42211092 102 
111 -34.55551289 -058.42123531 102 
111 -34.55623686 -058.41996849 102 
111 -34.55659837 -058.41928838 102 
111 -34.55690484 -058.41870952 102 
111 -34.55716752 -058.41827243 102 
112 -34.55729887 -058.41822518 -34.55740459 -058.41823618 102 
111 -34.55741848 -058.41847430 102 
111 -34.55743021 -058.41868589 
111 -34.55743021 -058.41874496 
113 -34.55431444 -058.42439536 
111 -34.55795783 -058.41550449 102 
111 -34.55817913 -058.41497375 102 
111 -34.55836768 -058.41453637 102 
111 -34.55842873 -058.41442591 102 
112 -34.55852603 -058.41438359 -34.55857271 -058.41441694 102 
111 -34.55855166 -058.41451457 102 
111 -34.55851434 -058.41460134 102 
111 -34.55831100 -058.41510165 102 
111 -34.55816462 -058.41545345 102 
111 -34.55807063 -058.41567411 102 
114 -34.55795262 -058.41564743 -34.55792242 -058.41556074 102 
111 -34.55860024 -058.41399870 102 
111 -34.55863277 -058.41389722 102 
111 -34.55867488 -058.41378267 102 
111 -34.55872867 -058.41368572 102 
111 -34.55878725 -058.41360074 102 
112 -34.55887646 -058.41360407 -34.55891764 -058.41364075 102 
111 -34.55889673 -058.41370889 102 
111 -34.55885942 -058.41381319 102 
111 -34.55880893 -058.41392176 102 
111 -34.55876887 -058.41400922 102 
111 -34.55871494 -058.41412754 102 
114 -34.55862122 -058.41414302 -34.55858278 -058.41410634 102 
111 -34.55931482 -058.41240152 102 
111 -34.55939276 -058.41228054 102 
111 -34.55947387 -058.41215607 102 
112 -34.55956231 -058.41200970 -34.55956766 -058.41200320 102 
112 -34.55968637 -058.41200936 -34.55972206 -058.41209605 102 
111 -34.55967552 -058.41214529 102 
111 -34.55962736 -058.41224925 102 
111 -34.55954604 -058.41236099 102 
111 -34.55948908 -058.41244965 102 
111 -34.55942402 -058.41255464 102 
114 -34.55932031 -058.41256832 -34.55926265 -058.41250830 102 
111 -34.55993885 -058.41138953 102 
111 -34.56003355 -058.41123872 102 
111 -34.56011868 -058.41111707 102 
112 -34.56026949 -058.41102140 -34.56033814 -058.41110476 102 
111 -34.56026949 -058.41119666 102 
111 -34.56019528 -058.41133524 102 
111 -34.56011431 -058.41146955 102 
111 -34.56004475 -058.41157351 102 
114 -34.55993308 -058.41157300 -34.55986718 -058.41149298 102 
111 -34.55785616 -058.41796053 102 
112 -34.55763198 -058.41796087 -34.55753038 -058.41788752 102 
112 -34.55755883 -058.41760120 -34.55756432 -058.41749784 102 
111 -34.55763719 -058.41728813 102 
111 -34.55789362 -058.41665454 102 
111 -34.55843408 -058.41535505 102 
111 -34.55893173 -058.41418551 102 
111 -34.55921533 -058.41352927 102 
111 -34.55934911 -058.41325638 102 
112 -34.55952478 -058.41314523 -34.55965658 -058.41313190 102 
111 -34.55975072 -058.41323988 102 
111 -34.56005545 -058.41349678 102 
112 -34.56015451 -058.41362887 -34.56017923 -058.41372223 102 
113 -34.56015177 -058.41382165 
111 -34.56039792 -058.41337333 
112 -34.56032561 -058.41338932 -34.56024872 -058.41337932 102 
111 -34.56019275 -058.41330348 102 
111 -34.55986704 -058.41303169 102 
111 -34.55971467 -058.41291038 102 
112 -34.55963779 -058.41271887 -34.55963504 -058.41261217 102 
111 -34.55972002 -058.41246940 102 
111 -34.56028555 -058.41160598 102 
111 -34.56127014 -058.41005955 102 
112 -34.56151122 -058.40991592 -34.56162106 -058.40992592 102 
111 -34.56170893 -058.41005305 102 
111 -34.56184270 -058.41030646 102 
112 -34.56191762 -058.41048190 -34.56193410 -058.41055525 102 
113 -34.56192297 -058.41061185 
111 -34.56075109 -058.41011153 102 
111 -34.56078855 -058.41004006 102 
111 -34.56078855 -058.41004006 102 
111 -34.56087416 -058.40990361 102 
111 -34.56093838 -058.40983863 102 
111 -34.56099189 -058.40984513 102 
111 -34.56100794 -058.40992960 102 
111 -34.56099189 -058.41005305 102 
111 -34.56095443 -058.41013102 102 
111 -34.56090092 -058.41020250 102 
111 -34.56086346 -058.41025448 102 
111 -34.56081530 -058.41028047 102 
113 -34.56074039 -058.41022849 102 
111 -34.56216377 -058.41017650 
112 -34.56208350 -058.41024148 -34.56202858 -058.41024481 102 
111 -34.56202999 -058.41020249 102 
111 -34.56194438 -058.41005304 102 
111 -34.56181060 -058.40979313 102 
112 -34.56173568 -058.40943019 -34.56174941 -058.40921013 102 
111 -34.56187228 -058.40912591 102 
111 -34.56209357 -058.40885138 102 
111 -34.56258650 -058.40816868 102 
111 -34.56333565 -058.40712254 102 
111 -34.56358180 -058.40677816 102 
111 -34.56374233 -058.40658972 102 
