A
1000 Generated by WorldEditor

1    349 0 0 KOFP HANOVER CO MUNI
100 30.48 1 0 0.25 0 2 0 16  37.71534117 -077.44134811    0    0 2 0 0 1 34  37.70254067 -077.43194346    0    0 2 0 0 1
110 2 0.00 0.0000 New Taxiway 23
111  37.71337881 -077.44187246
111  37.71352535 -077.44198830
111  37.71305620 -077.44301537
111  37.71298784 -077.44297141
111  37.71290001 -077.44300722
111  37.71188227 -077.44229055
111  37.71262268 -077.44069166
111  37.71287390 -077.44088660
111  37.71296680 -077.44095868
113  37.71356343 -077.44142163
110 1 0.00 0.0000 New Taxiway 22
111  37.71305141 -077.44086381
111  37.71301215 -077.44088020
111  37.71296680 -077.44095868
111  37.71287390 -077.44088660
111  37.71291070 -077.44079942
113  37.71289679 -077.44074996
110 2 0.00 0.0000 New Taxiway 21
111  37.71107499 -077.44142076
111  37.71064544 -077.44110791
111  37.71099515 -077.44033015
111  37.71063193 -077.44004652
111  37.71091536 -077.43944392
111  37.71129249 -077.43974611
111  37.71132825 -077.43977472
113  37.71169357 -077.44006749
110 1 0.00 0.0000 New Taxiway 20
111  37.71142744 -077.43966807
112  37.71138424 -077.43968204  37.71136382 -077.43969549
111  37.71132825 -077.43977472
111  37.71129249 -077.43974611
112  37.71132827 -077.43964431  37.71132798 -077.43961886
113  37.71131646 -077.43958634
110 2 0.00 0.0000 New Taxiway 19
111  37.71037060 -077.44049192
111  37.70968714 -077.44000386
111  37.71015696 -077.43888301
111  37.71040845 -077.43906789
111  37.71050748 -077.43914069
113  37.71087623 -077.43941177
110 1 0.00 0.0000 New Taxiway 18
111  37.71059023 -077.43905162
112  37.71054918 -077.43905549  37.71053317 -077.43905989
111  37.71050748 -077.43914069
111  37.71040845 -077.43906789
112  37.71044013 -077.43898722  37.71043944 -077.43896654
113  37.71043014 -077.43893375
110 1 0.00 0.0000 New Taxiway 17
111  37.70635725 -077.43593483
112  37.70631310 -077.43594109  37.70628839 -077.43595209
111  37.70625712 -077.43604946
111  37.70618460 -077.43599299
112  37.70621542 -077.43589993  37.70621472 -077.43587397
113  37.70619967 -077.43581880
110 2 0.00 0.0000 New Taxiway 16
111  37.70625681 -077.43791292
111  37.70555073 -077.43736971
111  37.70617434 -077.43598500
111  37.70618460 -077.43599299
111  37.70625712 -077.43604946
111  37.70647791 -077.43622320
111  37.70635448 -077.43649380
111  37.70646808 -077.43657802
111  37.70659296 -077.43631754
111  37.70667302 -077.43637503
111  37.70677231 -077.43644799
113  37.70687956 -077.43652680
110 1 0.00 0.0000 New Taxiway 15
111  37.70688024 -077.43631991
