I
1050 Generated by WorldEditor 2.1.0r1

1    515 1 0 UHPG Tigil
1302 city Tigil
1302 country Russia
1302 datum_lat 57.7836111
1302 datum_lon 158.7280556
1302 local_code UHPG
1302 region_code UH
1302 state Kamchatka Krai
100 45.00 4 0 0.00 0 0 0 07  57.78040132  158.71723621    0    0 0 0 0 0 25  57.78773259  158.74162193    0    0 0 0 0 0
110 4 0.00 60.5800 New Taxiway 8
111  57.78175482  158.71894797
111  57.78097882  158.71661886
111  57.78079736  158.71641638
111  57.78067715  158.71605224
112  57.78067715  158.71605224  57.78061987  158.71589669
111  57.78038973  158.71548653
111  57.78034304  158.71540410
112  57.78034304  158.71540410  57.78027279  158.71520793
112  57.78005903  158.71489450  57.77998160  158.71478646
111  57.78005903  158.71489450
111  57.78001565  158.71478749
111  57.77988477  158.71468898
112  57.77988477  158.71468898  57.77979558  158.71442189
111  57.77952711  158.71447355
111  57.77918960  158.71459999
112  57.77918960  158.71459999  57.77907967  158.71461700
111  57.77900203  158.71454417
111  57.77858744  158.71385702
111  57.77837479  158.71341618
111  57.77830203  158.71310122
112  57.77830203  158.71310122  57.77800802  158.71220383
111  57.77773811  158.71177675
111  57.77741012  158.71125958
112  57.77741012  158.71125958  57.77733700  158.71115617
111  57.77722357  158.71110965
111  57.77699322  158.71106048
111  57.77675769  158.71139730
111  57.77672776  158.71169554
111  57.77674916  158.71192925
111  57.77667591  158.71229883
111  57.77645666  158.71247538
111  57.77643413  158.71256372
111  57.77651019  158.71265550
112  57.77651019  158.71265550  57.77658427  158.71283034
111  57.77645153  158.71295931
112  57.77645153  158.71295931  57.77659554  158.71304673
111  57.77673679  158.71329788
111  57.77682971  158.71348293
111  57.77685876  158.71349870
111  57.77708777  158.71407222
111  57.77713155  158.71433332
111  57.77740747  158.71422450
112  57.77740747  158.71422450  57.77757720  158.71424339
111  57.77769035  158.71451274
111  57.77775763  158.71480095
111  57.77769839  158.71491998
111  57.77763992  158.71503746
111  57.77766313  158.71522785
111  57.77786193  158.71563542
111  57.77800693  158.71578565
111  57.77806295  158.71613226
111  57.77842582  158.71641090
111  57.77925577  158.71722435
111  57.77968358  158.71805521
111  57.78088714  158.72099264
111  57.78110828  158.72169001
111  57.78153630  158.72320931
111  57.78175961  158.72381090
111  57.78311470  158.72857460
112  57.78311470  158.72857460  57.78317339  158.72885951
111  57.78318605  158.72915158
111  57.78312665  158.72957713
111  57.78314252  158.72988126
111  57.78335463  158.72999615
112  57.78335463  158.72999615  57.78344869  158.73011638
111  57.78352206  158.73053351
111  57.78358148  158.73065458
111  57.78402889  158.73261786
111  57.78412354  158.73282546
111  57.78439843  158.73359029
111  57.78475057  158.73439302
111  57.78474150  158.73451769
111  57.78486681  158.73465711
111  57.78492452  158.73450584
111  57.78499982  158.73454881
111  57.78632435  158.73884276
112  57.78632435  158.73884276  57.78632596  158.73887288
111  57.78630669  158.73886435
111  57.78626269  158.73891677
111  57.78643473  158.73933660
111  57.78669422  158.74029768
111  57.78681451  158.74092432
111  57.78787623  158.74408363
111  57.78809925  158.74450532
111  57.78816045  158.74473809
112  57.78816045  158.74473809  57.78844423  158.74562793
112  57.78899214  158.74563966  57.78918064  158.74544538
111  57.78899214  158.74563966
112  57.78899214  158.74563966  57.78920342  158.74541041
111  57.78916690  158.74474943
111  57.78910686  158.74426788
111  57.78899645  158.74385610
111  57.78890172  158.74339305
111  57.78860342  158.74237249
111  57.78836165  158.74176200
111  57.78782701  158.74023408
111  57.78772585  158.73971550
111  57.78748903  158.73870677
111  57.78731851  158.73814126
112  57.78731851  158.73814126  57.78729753  158.73806631
111  57.78732769  158.73801604
111  57.78738254  158.73800969
111  57.78737080  158.73790501
112  57.78737080  158.73790501  57.78731586  158.73786754
111  57.78727135  158.73776305
111  57.78667759  158.73594965
111  57.78662049  158.73587243
111  57.78571422  158.73290363
111  57.78558310  158.73221742
111  57.78536459  158.73140512
112  57.78535432  158.73127201  57.78536138  158.73123200
111  57.78535432  158.73127201
112  57.78535432  158.73127201  57.78539891  158.73107504
111  57.78530294  158.73069715
111  57.78497024  158.72958431
112  57.78497024  158.72958431  57.78490120  158.72938195
112  57.78466542  158.72888474  57.78446907  158.72832516
111  57.78466542  158.72888474
112  57.78466542  158.72888474  57.78462946  158.72871985
112  57.78462327  158.72853335  57.78459230  158.72839469
111  57.78462327  158.72853335
111  57.78347876  158.72466297
111  57.78322250  158.72358640
111  57.78293626  158.72269523
111  57.78284293  158.72224409
112  57.78284293  158.72224409  57.78280577  158.72210919
112  57.78264634  158.72193002  57.78258521  158.72178837
