A
1050 Generated by WorldEditor 1.7.1r1
1    860 0 0 ME67 Morrill Airpark
100 24.38 3 0 0.00 0 0 0 15  47.13018744 -067.96855863    0    0 0 0 0 0 33  47.12523129 -067.96102122    0    0 0 0 0 0
110 3 0.00 0.0000 New Taxiway 97
111  47.12515401 -067.96113560
111  47.12496141 -067.96123399
111  47.12484041 -067.96088640
111  47.12485325 -067.96070049
111  47.12503475 -067.96056307
111  47.12497425 -067.96030440
111  47.12514658 -067.96020740
113  47.12531096 -067.96091081
130 BND
111  47.12521558 -067.96012361
111  47.12540258 -067.96090608
111  47.13035681 -067.96847034
111  47.13010590 -067.96881901
111  47.12517998 -067.96126867
111  47.12496086 -067.96138817
111  47.12478398 -067.96085429
113  47.12482200 -067.96036075
14  47.12526117 -067.96057268 633.20 0 TWR
1300  47.12509918 -067.96043320 288.33 tie_down props Ramp
1301 A general_aviation 
19  47.12532439 -067.96078043 0 WS
51 12290 Unicom
99
