I
1050 Generated by WorldEditor 2.2.0r2

1    682 0 0 72TE Chaparrosa Ranch
1302 gui_label 2D
100 22.86 1 0 0.25 0 2 0 15  28.88576551 -099.99533547    0    0 1 0 0 0 33  28.87236200 -099.98964090    0    0 1 0 0 0
110 2 0.00 0.0000 New Taxiway 7
111  28.88586368 -099.99516371
111  28.88581748 -099.99533096
111  28.88576110 -099.99544527
111  28.88572994 -099.99544274
111  28.88579772 -099.99522518
113  28.88582439 -099.99515279
110 3 0.00 0.0000 New Taxiway 6
111  28.88586368 -099.99516371
111  28.88582439 -099.99515279
111  28.88587813 -099.99484844
113  28.88591625 -099.99485078
110 2 0.00 0.0000 New Taxiway 5
111  28.88594758 -099.99468946
111  28.88593062 -099.99468912
111  28.88591625 -099.99485078
111  28.88587813 -099.99484844
111  28.88587897 -099.99471975
111  28.88586793 -099.99468784
111  28.88585837 -099.99468764
111  28.88585890 -099.99457666
113  28.88594811 -099.99457666
110 2 0.00 0.0000 New Taxiway 4
111  28.88540550 -099.99550859
111  28.88545860 -099.99534645
111  28.88560757 -099.99541004
113  28.88555595 -099.99557176
110 1 0.00 0.0000 New Taxiway 2
111  28.88572994 -099.99544274
111  28.88566179 -099.99566410
111  28.88527195 -099.99549884
111  28.88532239 -099.99534369
111  28.88529254 -099.99526062
113  28.88529340 -099.99525843
111  28.88560757 -099.99541004
111  28.88545860 -099.99534645
111  28.88540550 -099.99550859
113  28.88555595 -099.99557176
110 1 0.00 0.0000 New Taxiway 1
111  28.87275761 -099.98993162
111  28.87265056 -099.99012590
111  28.87226380 -099.98995864
113  28.87233106 -099.98974945
130 Airport Boundary
111  28.87116315 -099.98963292
111  28.87142918 -099.98881312
111  28.88502406 -099.99455141
111  28.88641509 -099.99454810
111  28.88640329 -099.99591620
111  28.88593295 -099.99569455
111  28.88586902 -099.99590055
111  28.88499227 -099.99553810
113  28.88503793 -099.99534514
21  28.88349053 -099.99463520 3 159.5900 3.00 15 2-light PAPI on right side of runway
21  28.87449225 -099.99081340 2 339.5900 3.00 33  2-light PAPI on left side of runway
1300  28.88550871 -099.99546392  69.57 tie_down props GA Ramp 01
1301 A general_aviation 
1300  28.88590269 -099.99466476 269.44 hangar props Hangar 01
1301 A none 
19  28.87243299 -099.98934327 0 Windsock 2
19  28.88539132 -099.99481129 0 Windsock 1
51 12297 Chaparrosa Unicom
55 11960 Del Rio Approach
56 11960 Del Rio Departure
99
