A
1000 Generated by WorldEditor

1    808 1 0 KOSH Wittman Rgnl
100 45.72 2 0 0.00 0 2 1 18  43.98578900 -088.55642800    0    0 3 0 0 1 36  43.96384200 -088.55671400    0    0 3 8 0 0
100 45.72 2 0 0.00 0 2 1 09  43.99163900 -088.57212800    0   91 2 0 0 0 27  43.99147500 -088.54865300    0   91 2 0 0 1
100 22.86 1 0 0.00 0 0 1 04  43.98665300 -088.55833300    0    0 2 0 0 0 22  43.99329700 -088.54915000    0    0 2 0 0 0
100 22.86 1 0 0.00 0 0 1 13  43.99124400 -088.55969200    0    0 2 0 0 0 31  43.98591400 -088.55071400    0    0 2 0 0 0
110 2 0.00 0.0000 New Taxiway 19
111  43.97918779 -088.55622829
111  43.97899668 -088.55623945
111  43.97900077 -088.55595531 3 102
114  43.97905649 -088.55611906  43.97910293 -088.55619081 3 102
110 2 0.00 0.0300 xxx
111  43.97825078 -088.56013080
111  43.97959484 -088.56012982
111  43.97959522 -088.56115520
113  43.97825116 -088.56115618
110 2 0.00 270.6200 xxx
111  43.98576595 -088.55650289
111  43.98576761 -088.55671438 3 102
111  43.98577531 -088.55770583
111  43.98577862 -088.55813063
111  43.98561405 -088.55813311
111  43.98561047 -088.55767249 3 102
111  43.98560614 -088.55711707
113  43.98560138 -088.55650537
110 1 0.00 270.0000 xxx
111  43.99504726 -088.56732079
111  43.99504726 -088.56819012
111  43.99476181 -088.56819012 1
111  43.99447653 -088.56819012 1
111  43.99447653 -088.56748866
113  43.99447653 -088.56732570
110 1 0.00 0.0000 xxx
111  43.99454917 -088.57045369
111  43.99454953 -088.57139155
111  43.99427884 -088.57138631
113  43.99428782 -088.57044845
110 1 0.00 0.0000 New Taxiway 1
111  43.99361305 -088.57067650
111  43.99362919 -088.56628316
111  43.99368243 -088.56628273
113  43.99366653 -088.57067801
110 1 0.00 270.0500 xxx
111  43.99352192 -088.57127265
111  43.99352400 -088.57415420
111  43.99346845 -088.57415549
113  43.99346712 -088.57125773
110 1 0.00 90.0000 xxx
111  43.97248542 -088.54512453
111  43.97248542 -088.54377147
111  43.97281458 -088.54377147
113  43.97281458 -088.54512453
110 1 0.00 180.0000 xxx
111  43.97165585 -088.54619825
111  43.97085215 -088.54619825
111  43.97085215 -088.54535975
113  43.97165585 -088.54535975
110 1 0.00 89.6400 xxx
111  43.99444510 -088.56714065 1
111  43.99444899 -088.56627939
111  43.99444970 -088.56612748 1
111  43.99444973 -088.56612740
111  43.99482227 -088.56612831
111  43.99482195 -088.56641421
111  43.99508838 -088.56641068
111  43.99508420 -088.56714623
113  43.99479117 -088.56714368 1
110 1 0.00 180.0000 xxx
111  43.99532202 -088.55950526
111  43.99457759 -088.55951046
111  43.99457306 -088.55903850
113  43.99532325 -088.55902934
110 1 0.00 178.9000 xxx
111  43.99543771 -088.56058431
111  43.99492487 -088.56057062
111  43.99492629 -088.56046769
113  43.99543913 -088.56048138
110 1 0.00 179.6400 xxx
111  43.99543217 -088.56105206
111  43.99491924 -088.56104758
111  43.99491983 -088.56091794
113  43.99543276 -088.56092242
110 2 0.00 0.5700 xxx
111  43.96383710 -088.55452507 3 102
111  43.97117723 -088.55442531
111  43.97157345 -088.55441990 3 102
111  43.98761253 -088.55419805
111  43.98836615 -088.55418757 3 102
111  43.98931477 -088.55417446
111  43.99021805 -088.55416197 3 102
111  43.99103430 -088.55415074
111  43.99171965 -088.55414121
111  43.99207236 -088.55413633 3 102
111  43.99218671 -088.55413475
111  43.99284853 -088.55412560 3 102
111  43.99379592 -088.55411247
111  43.99399941 -088.55410969
111  43.99400091 -088.55431933
111  43.99394343 -088.55432013 3 102
111  43.99279626 -088.55433599
111  43.99223777 -088.55434371 3 102
111  43.99206899 -088.55434604
111  43.99104199 -088.55436024 3 102
111  43.98978136 -088.55437767
111  43.98925465 -088.55438495 3 102
111  43.98845240 -088.55439601
111  43.98796846 -088.55440271 3 102
111  43.98765784 -088.55440691
111  43.98709163 -088.55441475 3 102
111  43.97918230 -088.55452413
111  43.97866316 -088.55453129 3 102
111  43.97444725 -088.55458961
111  43.97406446 -088.55459496 3 102
111  43.97157729 -088.55462929
111  43.97118073 -088.55463478 3 102
111  43.96765939 -088.55468349
111  43.96728250 -088.55468871 3 102
111  43.96417098 -088.55473173
113  43.96384059 -088.55473631
110 2 0.00 89.6300 xxx
111  43.99315364 -088.55222195
111  43.99315351 -088.55194437 1 102
111  43.99314998 -088.55191747 1 102
111  43.99308128 -088.55184506 1 102
111  43.99308091 -088.55056961 1 102
111  43.99315630 -088.55050157 1 102
111  43.99316181 -088.55046189
111  43.99316228 -088.55036135
111  43.99328617 -088.55036229 1 102
111  43.99390836 -088.55036805
111  43.99389972 -088.55222865
111  43.99342071 -088.55222438 1 102
113  43.99324089 -088.55222273
110 1 0.00 132.6700 xxx
111  43.98724633 -088.55078565 1
111  43.98669900 -088.54996070
111  43.98666815 -088.54991388
111  43.98730886 -088.54902296 1
111  43.98734270 -088.54906983 1
111  43.98738225 -088.54901740 1
111  43.98743933 -088.54909667 1
111  43.98739768 -088.54915476 1
111  43.98745447 -088.54923773 1
111  43.98749277 -088.54918565 1
111  43.98755365 -088.54927052 1
111  43.98751002 -088.54932907 1
111  43.98756281 -088.54940743 1
111  43.98760080 -088.54935293 1
111  43.98765686 -088.54943298 1
111  43.98761587 -088.54948997 1
111  43.98767728 -088.54957829 1
111  43.98771123 -088.54952887 1
111  43.98776587 -088.54960979 1
111  43.98772996 -088.54965898 1
111  43.98779059 -088.54975055
111  43.98747595 -088.55034640 1
113  43.98728394 -088.55071371
110 1 0.00 141.3500 xxx
111  43.98779945 -088.55074354
111  43.98772957 -088.55062530 1
111  43.98747487 -088.55034577
111  43.98779037 -088.54975085 1
111  43.98796545 -088.54949451 1
111  43.98788722 -088.54936796 1
111  43.98797279 -088.54926298 1
111  43.98804659 -088.54937914 1
111  43.98812246 -088.54926908
111  43.98821866 -088.54941960 1
111  43.98799797 -088.54979162 1
111  43.98807951 -088.54992611 1
113  43.98819108 -088.55006674 1
110 1 0.00 129.0400 xxx
111  43.98585199 -088.55083456 1
111  43.98557974 -088.55037080 1
111  43.98573101 -088.55020032
111  43.98594061 -088.55053836 1
113  43.98600765 -088.55064647
110 1 0.00 130.1300 xxx
111  43.99138272 -088.56011569
111  43.99113272 -088.55973253
111  43.99129006 -088.55954551
113  43.99153372 -088.55993876
110 1 0.00 0.6800 xxx
111  43.98824834 -088.55326016
111  43.98864887 -088.55325355 3 102
111  43.99002232 -088.55323090
111  43.99025606 -088.55322704
111  43.99025766 -088.55341384
111  43.98987885 -088.55342009 3 102
111  43.98854686 -088.55344206
113  43.98824994 -088.55344696
110 1 0.00 197.7400 xxx
111  43.98748304 -088.55737593
111  43.98708332 -088.55755366
111  43.98701896 -088.55727407
113  43.98741868 -088.55709634
110 2 0.00 270.6400 xxx
111  43.97138031 -088.54607747
111  43.97138529 -088.54669667 3 102
111  43.97139888 -088.54838827
111  43.97139985 -088.54850960
111  43.97140264 -088.54890689 3 102
111  43.97144608 -088.55426644
111  43.97145047 -088.55481332 3 102
111  43.97145988 -088.55597776
111  43.97146986 -088.55721469 3 102
111  43.97147432 -088.55777243
111  43.97147655 -088.55804818
111  43.97132569 -088.55805053
111  43.97132333 -088.55775820 3 102
111  43.97131900 -088.55721476
111  43.97130898 -088.55596740 3 102
111  43.97129961 -088.55481185
111  43.97129525 -088.55426352 3 102
111  43.97123442 -088.54669702
113  43.97122945 -088.54607982
110 2 0.00 180.0200 xxx
111  43.98565717 -088.55812081
111  43.98546788 -088.55812099 3 102
111  43.97900023 -088.55812330
111  43.97884936 -088.55812335 3 102
111  43.96739178 -088.55812745 3 102
111  43.96739153 -088.55797647
111  43.96771314 -088.55797704 3 102
111  43.97111694 -088.55797551
111  43.97166110 -088.55797506 3 102
111  43.97400344 -088.55797399
111  43.97444800 -088.55797377 3 102
111  43.97864666 -088.55797174
111  43.97918245 -088.55797146 3 102
111  43.98547427 -088.55796843
113  43.98565713 -088.55796834
110 1 0.00 164.7800 xxx
111  43.99127101 -088.54894289
111  43.99098061 -088.54893971 3 102
111  43.99033434 -088.54893952
111  43.99031642 -088.54867221
111  43.99045041 -088.54867180 3 102
113  43.99127105 -088.54866933
110 1 0.00 196.3400 xxx
111  43.98679748 -088.54992017
111  43.98669878 -088.54996044 3 102
111  43.98641426 -088.55007598
111  43.98627687 -088.55013230 3 102
111  43.98598773 -088.55025012
111  43.98576830 -088.55033953
111  43.98573107 -088.55020032 3 102
113  43.98675220 -088.54979734
110 2 0.00 270.2800 xxx
111  43.96398779 -088.55452385
111  43.96398947 -088.55500122 3 102
111  43.96399327 -088.55608119
111  43.96399507 -088.55659313
111  43.96384421 -088.55659415
111  43.96384362 -088.55642613 3 102
113  43.96383693 -088.55452487
110 2 0.00 90.1400 xxx
111  43.96739164 -088.55812755
111  43.96739138 -088.55797647 3 102
111  43.96739020 -088.55729440
111  43.96738799 -088.55602914 3 102
111  43.96738590 -088.55484564
111  43.96738549 -088.55462897
111  43.96753636 -088.55462845
111  43.96753673 -088.55484802 3 102
111  43.96753883 -088.55603596
111  43.96754107 -088.55730760 3 102
111  43.96754189 -088.55777520
113  43.96754251 -088.55812703
110 2 0.00 89.8600 xxx
111  43.97415844 -088.55806773
111  43.97415896 -088.55776860 3 102
111  43.97416007 -088.55713815
111  43.97416221 -088.55592113 3 102
111  43.97416427 -088.55475366
111  43.97416470 -088.55450776
111  43.97431556 -088.55450827
111  43.97431513 -088.55475468 3 102
111  43.97431303 -088.55594891
111  43.97431093 -088.55714009 3 102
111  43.97430975 -088.55781552
113  43.97430930 -088.55806824
110 2 0.00 0.0000 New Taxiway 18
112  43.97906135 -088.55690087  43.97901175 -088.55697837 3 102
111  43.97900051 -088.55708924
111  43.97897947 -088.55678107
113  43.97918899 -088.55679996 3 102
110 2 0.00 269.9800 xxx
111  43.97900116 -088.55448866
111  43.97900109 -088.55476741 3 102
111  43.97900079 -088.55595530
111  43.97900050 -088.55708918 3 102
111  43.97900034 -088.55773151
111  43.97900025 -088.55812332 3 102
111  43.97899981 -088.55985130
111  43.97899971 -088.56026741
111  43.97884884 -088.56026734
111  43.97884894 -088.55987644 3 102
111  43.97884937 -088.55812341
111  43.97884948 -088.55771998 3 102
111  43.97884964 -088.55709581
111  43.97884993 -088.55594570 3 102
111  43.97885022 -088.55477649
113  43.97885029 -088.55448859
110 1 0.00 0.2000 xxx
111  43.99174925 -088.57059697
111  43.99201045 -088.57059725 3 102
111  43.99310462 -088.57059044
111  43.99310475 -088.57078103 3 102
111  43.99200755 -088.57078635
113  43.99174973 -088.57078760
110 1 0.00 270.1700 xxx
111  43.99336664 -088.56669035 3 102
111  43.99336730 -088.56716139
111  43.99336800 -088.56764925 3 102
111  43.99337215 -088.57057460
111  43.99337232 -088.57069658
111  43.99323408 -088.57069409
111  43.99323373 -088.57037313 3 102
113  43.99322932 -088.56673622
110 1 0.00 0.2400 xxx
111  43.99175301 -088.56614265
111  43.99207128 -088.56613959 3 102
111  43.99287647 -088.56613185
111  43.99341201 -088.56612734 3 102
111  43.99377047 -088.56612431 1
111  43.99376935 -088.56582685 1
111  43.99385049 -088.56582611 1
111  43.99385476 -088.56613011 3 102
111  43.99444972 -088.56612749
111  43.99444916 -088.56627922 3 102
111  43.99347550 -088.56628485
111  43.99299707 -088.56628770 3 102
111  43.99207253 -088.56629325
113  43.99175347 -088.56629516
110 1 0.00 111.8600 xxx
111  43.99324008 -088.56677353
111  43.99322934 -088.56673632 3 102
111  43.99313488 -088.56640889
111  43.99297410 -088.56585162 3 102
111  43.99250115 -088.56421229
111  43.99263992 -088.56418476 3 102
111  43.99314304 -088.56592425
111  43.99331357 -088.56651512 3 102
113  43.99336683 -088.56669138
110 1 0.00 90.6000 xxx
111  43.99250111 -088.56421226 3 102
111  43.99247668 -088.56100677
111  43.99247014 -088.56014744 3 102
111  43.99242830 -088.55465614
111  43.99242566 -088.55431014
111  43.99256554 -088.55430810
111  43.99256810 -088.55464788 3 102
111  43.99260945 -088.56013620
111  43.99261613 -088.56102279 3 102
111  43.99263993 -088.56418461
113  43.99264034 -088.56423586
110 2 0.00 317.4300 xxx
111  43.99236159 -088.54918136 3 102
111  43.99266797 -088.54957254
111  43.99302662 -088.55003048 3 102
111  43.99328602 -088.55036169
111  43.99332719 -088.55041425
111  43.99323441 -088.55055464
111  43.99316181 -088.55046179 3 102
111  43.99293642 -088.55017416
111  43.99257451 -088.54971207 3 102
113  43.99226881 -088.54932175
110 1 0.00 59.0200 xxx
111  43.98790590 -088.55419631
111  43.98807984 -088.55379362 3 102
111  43.98817418 -088.55357523
111  43.98840276 -088.55304606 3 102
111  43.98924633 -088.55109321
111  43.98935683 -088.55083740 3 102
111  43.98958216 -088.55031564 5
111  43.98968108 -088.55008664 3 102
111  43.99015088 -088.54899908
111  43.99034852 -088.54854157
111  43.99040952 -088.54862210 1
111  43.99045025 -088.54867178
111  43.99033445 -088.54893962 3 102
111  43.98856274 -088.55304502
111  43.98833969 -088.55356179 3 102
111  43.98817639 -088.55394016
113  43.98802348 -088.55429443
110 2 0.00 29.8300 xxx
111  43.98493459 -088.55623226
111  43.98503604 -088.55615182 3 102
111  43.98710554 -088.55451041
111  43.98749795 -088.55419900
111  43.98765793 -088.55440682 3 102
111  43.98578616 -088.55589725
113  43.98504102 -088.55649022
110 1 0.00 53.8200 xxx
111  43.98691416 -088.55217576
111  43.98697921 -088.55205169 3 102
111  43.98710458 -088.55181260
111  43.98734471 -088.55135472 3 102
111  43.98747182 -088.55111306
111  43.98750754 -088.55104529 3 102
111  43.98772881 -088.55062478
111  43.98775531 -088.55057442
111  43.98784166 -088.55066219
111  43.98716228 -088.55195401 3 102
111  43.98704876 -088.55216985
113  43.98698377 -088.55229344
110 1 0.00 309.1500 xxx
111  43.98641419 -088.55007595 3 102
111  43.98717474 -088.55137082
111  43.98742748 -088.55180113 3 102
111  43.98817763 -088.55307833
111  43.98833776 -088.55335093
111  43.98823140 -088.55347128
111  43.98815941 -088.55334820 3 102
111  43.98733937 -088.55194655
111  43.98711616 -088.55156502 3 102
113  43.98627741 -088.55013136
110 2 0.00 89.8900 xxx
111  43.99412780 -088.55694976
111  43.99412929 -088.55587102 1 102
111  43.99413111 -088.55454701
111  43.99413294 -088.55322460
111  43.99549620 -088.55322824
113  43.99549106 -088.55695340
110 2 0.00 0.4100 xxx
111  43.99359615 -088.55665450
111  43.99487162 -088.55664233
111  43.99487658 -088.55760695
113  43.99359901 -088.55761976
110 2 0.00 269.8900 xxx
111  43.99470123 -088.55251904
111  43.99469875 -088.55431107
111  43.99390877 -088.55430896
111  43.99390930 -088.55393166 1 102
111  43.99391044 -088.55310009
113  43.99391125 -088.55251693
110 2 0.00 127.8600 xxx
111  43.99406240 -088.55337178
111  43.99391043 -088.55309990 1 102
111  43.99342070 -088.55222439
111  43.99336881 -088.55213155
111  43.99379760 -088.55166822
113  43.99449119 -088.55290845
110 2 0.00 180.0600 xxx
111  43.98577556 -088.56569623 3 102
111  43.98511419 -088.56570595 3 102
111  43.98511350 -088.56479101 3 102
111  43.98563838 -088.56479025
113  43.98577181 -088.56479005
110 2 0.00 270.0000 xxx
111  43.98577557 -088.55802195
111  43.98577557 -088.55847428 3 102
111  43.98577557 -088.56569605
111  43.98563842 -088.56569605
111  43.98563822 -088.56479011 3 102
111  43.98563842 -088.55846028
113  43.98563842 -088.55802195
110 1 0.00 311.7200 xxx
111  43.98756869 -088.54812083 3
111  43.98930801 -088.55083224 3
111  43.98935682 -088.55083738
111  43.98937067 -088.55087340
111  43.98926471 -088.55110991
111  43.98924660 -088.55109356 3
111  43.98922916 -088.55099575 3
111  43.98796653 -088.54902762 3
111  43.98788931 -088.54912112 3
111  43.98782540 -088.54901568 3
111  43.98790169 -088.54892638 3
111  43.98776474 -088.54871357 3
111  43.98769163 -088.54880025 3
111  43.98761286 -088.54867124 3
111  43.98768575 -088.54858373 3
113  43.98746632 -088.54824769 3
110 1 0.00 54.3800 xxx
111  43.98740080 -088.55150020
111  43.98779913 -088.55074303
111  43.98806455 -088.55101325 1
113  43.98767155 -088.55177562 1
110 1 0.00 180.0300 xxx
111  43.98561686 -088.55735510
111  43.97424720 -088.55736337
111  43.97424714 -088.55721090
113  43.98561680 -088.55720263
110 1 0.00 44.8100 xxx
111  43.98668880 -088.55838256
111  43.98786813 -088.55675286
111  43.98800925 -088.55695031
113  43.98683002 -088.55858116
110 1 0.00 44.8600 xxx
111  43.98646447 -088.55804320
111  43.98702248 -088.55727142
111  43.98716953 -088.55747680
113  43.98660231 -088.55826320
110 1 0.00 90.2800 xxx
111  43.99361405 -088.56213143 1 102
111  43.99361154 -088.56068548
111  43.99361115 -088.56046055 1 102
111  43.99360660 -088.55935434
111  43.99492856 -088.55932678
111  43.99493662 -088.56161826 1
111  43.99393653 -088.56162916 1
113  43.99393835 -088.56213450 1 102
110 1 0.00 253.2700 xxx
111  43.98810761 -088.55649526
111  43.98800812 -088.55695529
111  43.98785839 -088.55689274
113  43.98795788 -088.55643271
110 1 0.00 179.9600 xxx
111  43.98658600 -088.55813653
111  43.98652289 -088.55813666 3 102
111  43.98597053 -088.55813593
111  43.98574390 -088.55813571
111  43.98574400 -088.55793747
111  43.98597052 -088.55793769 3 102
111  43.98637741 -088.55793809
113  43.98658610 -088.55793829
110 2 0.00 179.1600 xxx
111  43.98578749 -088.55622116
111  43.98547636 -088.55621627
111  43.98548046 -088.55582746
111  43.98578623 -088.55589736 3 102
113  43.98578718 -088.55614088
110 1 0.00 133.0600 xxx
111  43.98747204 -088.55111290 3 102
111  43.98724670 -088.55078550
111  43.98728394 -088.55071352 3 102
113  43.98750755 -088.55104531
110 1 0.00 267.6400 xxx
111  43.98966205 -088.54948170
111  43.98966049 -088.54953466 1
111  43.98964556 -088.55003844 1
111  43.98968093 -088.55008644
111  43.98963890 -088.55026324
111  43.98958212 -088.55031566 1
111  43.98933195 -088.55024566 1
111  43.98935510 -088.54946476 1
113  43.98960337 -088.54947846
110 1 0.00 178.2700 xxx
111  43.99040930 -088.54862196
111  43.98927013 -088.54871299 1
111  43.98925677 -088.54852859 1
111  43.98931123 -088.54811006 1
111  43.98940754 -088.54746613 1
111  43.98817645 -088.54744619 1
111  43.98818126 -088.54662661 1
113  43.99043607 -088.54667587 1
110 1 0.00 161.7000 xxx
111  43.99015101 -088.54899878 1
111  43.98947644 -088.54875371
111  43.98926819 -088.54875941
111  43.98939911 -088.54820921
113  43.99031581 -088.54863059
110 1 0.00 248.2700 xxx
111  43.98984318 -088.54888160 3 102
111  43.98966018 -088.54953229
111  43.98960499 -088.54947849 3 102
113  43.98977965 -088.54885970
110 2 0.00 36.8400 xxx
111  43.99250925 -088.55261658 3 102
111  43.99315369 -088.55194460
111  43.99321612 -088.55188047
111  43.99334275 -088.55211542
111  43.99323959 -088.55222285 3 102
111  43.99265903 -088.55282743
113  43.99263588 -088.55285153
110 2 0.00 269.9500 xxx
111  43.99260738 -088.55290378
