I
1050 Generated by WorldEditor 2.2.0r2

1     20 1 0 KNTU Oceana Naval Air Station
100 61.00 1 0 0.00 1 3 1 14R  36.83324189 -076.03861545    0   16 3 12 0 0 32L  36.81801752 -076.01891154    0  304 3 1 0 0
100 46.00 1 0 0.00 1 3 1 5L  36.81479336 -076.04271004    0   22 3 12 0 0 23R  36.83124019 -076.02421139    0  306 3 12 0 0
100 61.00 1 0 0.00 1 3 1 5R  36.80550194 -076.04994274    0   15 3 1 0 0 23L  36.82997051 -076.02242815    0  302 3 1 0 0
100 46.00 2 0 0.00 1 3 1 14L  36.83463192 -076.03698995    0   14 3 12 0 0 32R  36.81942014 -076.01723869    0  303 3 12 0 0
110 1 0.00 0.0000 New Taxiway 72
111  36.81885122 -076.02365190
111  36.81884513 -076.02365887
111  36.81880349 -076.02360792
111  36.81910185 -076.02325492
113  36.81914528 -076.02330974
110 1 0.00 0.0000 New Taxiway 71
111  36.81856771 -076.02330787
111  36.81853119 -076.02325777
111  36.81853997 -076.02324286
111  36.81882345 -076.02291121
113  36.81885953 -076.02295868
110 1 0.00 0.0000 New Taxiway 70
111  36.81835773 -076.02301046
111  36.81834864 -076.02302163
111  36.81830523 -076.02296878
111  36.81861899 -076.02259742
113  36.81866180 -076.02265474
110 1 0.00 0.0000 New Taxiway 69
111  36.81807470 -076.02266719
111  36.81803521 -076.02261663
111  36.81804732 -076.02260170
111  36.81831349 -076.02227466
113  36.81835706 -076.02233063
110 1 0.00 0.0000 New Taxiway 68
111  36.81786456 -076.02236395
111  36.81785225 -076.02237814
111  36.81781038 -076.02232883
111  36.81808661 -076.02199801
113  36.81812998 -076.02205739
110 1 0.00 0.0000 New Taxiway 67
111  36.81708487 -076.02138854
111  36.81705689 -076.02134691
111  36.81706806 -076.02133041
111  36.81735094 -076.02098459
113  36.81738682 -076.02102822
110 1 0.00 0.0000 New Taxiway 66
111  36.81736932 -076.02172214
111  36.81735686 -076.02173773
111  36.81731807 -076.02168566
111  36.81761229 -076.02133269
113  36.81765569 -076.02138210
110 1 0.00 0.0000 New Taxiway 65
111  36.81755475 -076.02195543
111  36.81782581 -076.02162187
111  36.81787516 -076.02168284
111  36.81758029 -076.02202472
113  36.81753825 -076.02197355
110 1 0.00 0.0000 New Taxiway 64
111  36.81559052 -076.03577248
111  36.81534748 -076.03543557
111  36.81534089 -076.03542527
111  36.81536477 -076.03539764
113  36.81561754 -076.03574194
110 1 0.00 0.0000 New Taxiway 63
111  36.81581965 -076.03551237
111  36.81556538 -076.03517081
111  36.81559207 -076.03514339
111  36.81559901 -076.03515173
