I
1130 Generated by WorldEditor 2.2.0r2

1   1603 0 0 F01 Quanah Muni
1302 gui_label 2D
100 18.29 1 0 0.25 0 2 0 18  34.28405055 -099.75925403    0    0 2 0 0 0 36  34.27180900 -099.75956595    0    0 2 0 0 0
100 21.34 3 0 0.25 0 0 0 06  34.27668077 -099.76316311    0    0 0 0 0 0 24  34.27962647 -099.75652992  152    0 0 0 0 0
100 21.34 3 0 0.25 0 0 0 11  34.27625046 -099.76306078    0    0 0 0 0 0 29  34.27300701 -099.75662875  110    0 0 0 0 0
110 2 0.00 0.0000 Taxiway h
111  34.27717958 -099.75775972
111  34.27741342 -099.75775073
111  34.27741928 -099.75799842
113  34.27718671 -099.75800644
110 2 0.00 0.0000 Taxiway h
111  34.27668946 -099.75803078
111  34.27668414 -099.75783842
111  34.27682767 -099.75783560
113  34.27683164 -099.75802927
110 2 0.00 0.0000 Taxiway h
111  34.27689276 -099.75801330
111  34.27688543 -099.75779992
111  34.27711054 -099.75779146
113  34.27711550 -099.75800526
110 2 0.00 0.0000 Taxiway h
111  34.27765409 -099.75744514
111  34.27772110 -099.75730452
111  34.27781876 -099.75736885
111  34.27777727 -099.75746287
111  34.27781981 -099.75749437
111  34.27792351 -099.75725339
111  34.27813281 -099.75738729
111  34.27804512 -099.75758196
111  34.27800968 -099.75755840
111  34.27799066 -099.75760107
111  34.27791598 -099.75755411
111  34.27787765 -099.75764297
111  34.27778090 -099.75758193
113  34.27779973 -099.75753998
110 2 0.00 0.0000 Taxiway h
111  34.27781413 -099.75789481
111  34.27773008 -099.75808812
111  34.27758781 -099.75799870
113  34.27767290 -099.75780736
110 2 0.00 0.0000 Taxiway h
111  34.27507742 -099.75830400
111  34.27578437 -099.75828215
111  34.27582332 -099.75828195
111  34.27582523 -099.75840839
111  34.27578905 -099.75840926
111  34.27578645 -099.75850391
111  34.27566795 -099.75850642
111  34.27566635 -099.75841601
111  34.27558564 -099.75841861
111  34.27553563 -099.75842006
111  34.27541806 -099.75842354
111  34.27537237 -099.75842489
111  34.27525309 -099.75842840
111  34.27520876 -099.75842970
113  34.27507996 -099.75843449
110 2 0.00 0.0000 Taxiway h
111  34.27507387 -099.75815437
111  34.27507036 -099.75805300
111  34.27506990 -099.75803792
111  34.27571711 -099.75802141
113  34.27571721 -099.75813753
110 2 0.00 0.0000 Taxiway h
111  34.27650748 -099.75711866
111  34.27651613 -099.75711866
111  34.27651584 -099.75701239
111  34.27695621 -099.75700102
111  34.27696076 -099.75733715
111  34.27684589 -099.75733918
111  34.27684682 -099.75746089
111  34.27668843 -099.75746473
111  34.27668789 -099.75735548
113  34.27651119 -099.75735894
110 3 0.00 0.0000 Taxiway grass
111  34.27651119 -099.75735894
111  34.27647046 -099.75735986
111  34.27647288 -099.75712043
113  34.27650748 -099.75711866
110 2 0.00 0.0000 Taxiway g
111  34.27597929 -099.75849982
112  34.27597929 -099.75849982  34.27602123 -099.75848446
112  34.27604798 -099.75840165  34.27605246 -099.75836130
111  34.27604798 -099.75840165
112  34.27604798 -099.75840165  34.27605448 -099.75834443
112  34.27611036 -099.75829244  34.27613688 -099.75827680
111  34.27611036 -099.75829244
111  34.27624267 -099.75823436
111  34.27624511 -099.75829645
113  34.27624913 -099.75849411
110 1 0.00 0.0000 Taxiway m
112  34.27816140 -099.75844627  34.27822215 -099.75846107
111  34.27816140 -099.75844627
111  34.28377556 -099.75830116
112  34.28377556 -099.75830116  34.28389685 -099.75832233
112  34.28403886 -099.75866590  34.28406494 -099.75890954
111  34.28403886 -099.75866590
111  34.28404589 -099.75915842
111  34.28380131 -099.75916474
111  34.28380124 -099.75915974
112  34.28380124 -099.75915974  34.28396598 -099.75913858
112  34.28387619 -099.75874643  34.28377599 -099.75863664
111  34.28387619 -099.75874643
112  34.28387619 -099.75874643  34.28375923 -099.75867818
112  34.28342853 -099.75903276  34.28324183 -099.75931240
111  34.28342853 -099.75903276
112  34.28342853 -099.75903276  34.28340213 -099.75909093
112  34.28345721 -099.75916939  34.28349388 -099.75918703
111  34.28345721 -099.75916939
111  34.28345687 -099.75917390
111  34.28316015 -099.75918098
111  34.28316094 -099.75917699
111  34.28323572 -099.75914136
112  34.28323572 -099.75914136  34.28327158 -099.75911791
112  34.28332478 -099.75903443  34.28336055 -099.75897208
111  34.28332478 -099.75903443
112  34.28332478 -099.75903443  34.28352415 -099.75873382
112  34.28377743 -099.75862746  34.28393474 -099.75858416
111  34.28377743 -099.75862746
112  34.28377743 -099.75862746  34.28380738 -099.75861962
112  34.28382849 -099.75860481  34.28383923 -099.75859382
111  34.28382849 -099.75860481
112  34.28382849 -099.75860481  34.28389551 -099.75853271
112  34.28372401 -099.75841789  34.28358392 -099.75841941
111  34.28372401 -099.75841789
111  34.27979072 -099.75852095
112  34.27979072 -099.75852095  34.27974266 -099.75854553
112  34.27967255 -099.75869128  34.27965866 -099.75877686
111  34.27967255 -099.75869128
111  34.27968147 -099.75911397
112  34.27968147 -099.75911397  34.27968776 -099.75916235
112  34.27980597 -099.75926101  34.27987638 -099.75927248
111  34.27980597 -099.75926101
111  34.27980620 -099.75926828
111  34.27944688 -099.75927670
111  34.27944711 -099.75927063
112  34.27944711 -099.75927063  34.27950872 -099.75925998
112  34.27958051 -099.75911404  34.27958736 -099.75904776
111  34.27958051 -099.75911404
111  34.27957259 -099.75866309
112  34.27957259 -099.75866309  34.27955402 -099.75860954
112  34.27944495 -099.75853229  34.27939688 -099.75852164
111  34.27944495 -099.75853229
111  34.27656564 -099.75860557
112  34.27656564 -099.75860557  34.27650405 -099.75864881
112  34.27645278 -099.75877347  34.27644102 -099.75883899
111  34.27645278 -099.75877347
111  34.27646367 -099.75920695
112  34.27646367 -099.75920695  34.27647698 -099.75925254
112  34.27658173 -099.75934298  34.27664567 -099.75937143
111  34.27658173 -099.75934298
111  34.27658171 -099.75934897
111  34.27623492 -099.75935895
111  34.27623446 -099.75935229
112  34.27623446 -099.75935229  34.27630216 -099.75934091
112  34.27636862 -099.75917611  34.27637863 -099.75908682
111  34.27636862 -099.75917611
111  34.27635515 -099.75877156
112  34.27635515 -099.75877156  34.27634601 -099.75869073
112  34.27622290 -099.75861169  34.27615473 -099.75860031
111  34.27622290 -099.75861169
111  34.27350490 -099.75868384
112  34.27350490 -099.75868384  34.27336554 -099.75869706
112  34.27323798 -099.75899917  34.27322241 -099.75919415
111  34.27323798 -099.75899917
111  34.27323804 -099.75926560
112  34.27323804 -099.75926560  34.27325298 -099.75933684
112  34.27336355 -099.75942558  34.27342989 -099.75945262
111  34.27336355 -099.75942558
111  34.27336371 -099.75943005
111  34.27302177 -099.75943862
111  34.27302128 -099.75943434
112  34.27302128 -099.75943434  34.27307815 -099.75942123
112  34.27314026 -099.75929309  34.27314894 -099.75922481
111  34.27314026 -099.75929309
111  34.27314708 -099.75893807
112  34.27314708 -099.75893807  34.27315588 -099.75871688
112  34.27351597 -099.75856324  34.27369344 -099.75856362
111  34.27351597 -099.75856324
111  34.27489895 -099.75852766
112  34.27489895 -099.75852766  34.27492375 -099.75851024
112  34.27495974 -099.75839604  34.27496199 -099.75833847
111  34.27495974 -099.75839604
111  34.27493949 -099.75794018
111  34.27571593 -099.75792048
111  34.27571711 -099.75802141
111  34.27506990 -099.75803792
111  34.27507036 -099.75805300
111  34.27501842 -099.75805493
111  34.27500444 -099.75808098
111  34.27500495 -099.75813086
111  34.27502353 -099.75815386
111  34.27507387 -099.75815437
111  34.27571721 -099.75813753
111  34.27578468 -099.75813576
111  34.27578437 -099.75828215
111  34.27507742 -099.75830400
111  34.27507741 -099.75829895
111  34.27503260 -099.75830062
112  34.27503260 -099.75830062  34.27501749 -099.75831091
112  34.27500489 -099.75834799  34.27500255 -099.75836746
111  34.27500489 -099.75834799
111  34.27500417 -099.75841422
112  34.27500417 -099.75841422  34.27500796 -099.75844710
112  34.27508434 -099.75851946  34.27513324 -099.75852686
111  34.27508434 -099.75851946
111  34.27516876 -099.75851769
112  34.27516876 -099.75851769  34.27518865 -099.75851401
112  34.27520876 -099.75842970  34.27521175 -099.75837178
111  34.27520876 -099.75842970
111  34.27525309 -099.75842840
111  34.27525806 -099.75850963
111  34.27526736 -099.75851799
111  34.27536319 -099.75851256
111  34.27537378 -099.75846602
111  34.27537237 -099.75842489
111  34.27541806 -099.75842354
111  34.27541965 -099.75847886
111  34.27543264 -099.75850908
111  34.27551521 -099.75850762
111  34.27552966 -099.75848585
111  34.27553563 -099.75842006
