I
1130 Generated by WorldEditor 2.2.0r2

1   1990 0 0 60TE Tierra Linda Ranch
1302 gui_label 2D
100 15.54 1 0 0.25 0 0 0 16  30.14533666 -099.15139624    0    0 1 0 0 0 34  30.13743700 -099.14952600    0    0 1 0 0 0
110 1 0.00 0.0000 Taxiway 27
111  30.14208461 -099.15046880
111  30.14121569 -099.15024963
111  30.14122368 -099.15020974
111  30.14124645 -099.15019101
111  30.14128417 -099.15004447
111  30.14132654 -099.15005914
111  30.14129190 -099.15019064
112  30.14129190 -099.15019064  30.14129031 -099.15020467
112  30.14130420 -099.15023150  30.14131355 -099.15024116
111  30.14130420 -099.15023150
111  30.14208590 -099.15042891
112  30.14208590 -099.15042891  30.14210687 -099.15042295
112  30.14209324 -099.15036356  30.14207880 -099.15035124
111  30.14209324 -099.15036356
111  30.14201630 -099.15028966
112  30.14201630 -099.15028966  30.14199990 -099.15028005
112  30.14197869 -099.15029882  30.14197031 -099.15031067
111  30.14197869 -099.15029882
111  30.14195988 -099.15032801
111  30.14192474 -099.15030225
111  30.14193365 -099.15028165
111  30.14190003 -099.15024711
111  30.14197359 -099.15013536
111  30.14198942 -099.15019975
111  30.14211310 -099.15030726
111  30.14216495 -099.15032247
112  30.14216495 -099.15032247  30.14217766 -099.15039997
112  30.14227102 -099.15046306  30.14232876 -099.15048214
111  30.14227102 -099.15046306
111  30.14287553 -099.15059758
112  30.14287553 -099.15059758  30.14293465 -099.15058168
112  30.14292240 -099.15040689  30.14289937 -099.15036794
111  30.14292240 -099.15040689
111  30.14301658 -099.15033513
111  30.14304794 -099.15038920
111  30.14313326 -099.15054669
111  30.14308723 -099.15069629
111  30.14223575 -099.15050155
111  30.14222067 -099.15051379
111  30.14221324 -099.15055576
111  30.14222149 -099.15057532
111  30.14222149 -099.15057770
111  30.14214880 -099.15056085
111  30.14214880 -099.15055671
111  30.14216412 -099.15054521
111  30.14217148 -099.15050978
113  30.14215974 -099.15048471
110 2 0.00 0.0000 Taxiway 25
111  30.14325542 -099.15045580
111  30.14313355 -099.15054490
111  30.14304794 -099.15038920
111  30.14314704 -099.15031766
111  30.14319014 -099.15039599
113  30.14321374 -099.15037897
110 2 0.00 0.0000 Taxiway 24
111  30.14190003 -099.15024711
111  30.14182017 -099.15017781
111  30.14189319 -099.15006514
113  30.14197359 -099.15013536
110 2 0.00 0.0000 Taxiway 23
111  30.14129595 -099.14984596
111  30.14141104 -099.14988552
111  30.14136235 -099.15007155
111  30.14132654 -099.15005914
111  30.14128417 -099.15004447
113  30.14124777 -099.15003186
110 2 0.00 0.0000 Taxiway 22
111  30.13923288 -099.14954577
111  30.13924509 -099.14937649
111  30.13932469 -099.14938327
111  30.13937344 -099.14956165
111  30.13936473 -099.14956067
113  30.13924146 -099.14954674
110 2 0.00 0.0000 Taxiway 21
111  30.13765815 -099.14918624
111  30.13755028 -099.14908082
111  30.13769118 -099.14889397
111  30.13779605 -099.14899442
113  30.13775958 -099.14904514
110 2 0.00 0.0000 Taxiway 20
111  30.13904848 -099.15031479
111  30.13902795 -099.15047267
111  30.13885800 -099.15044341
111  30.13887972 -099.15028416
111  30.13890379 -099.15028853
113  30.13902007 -099.15030964
110 2 0.00 0.0000 Taxiway 19
111  30.13988860 -099.15046879
111  30.13990222 -099.15062660
111  30.13976247 -099.15064287
113  30.13974813 -099.15048420
110 2 0.00 0.0000 Taxiway 18
111  30.14201200 -099.15100031
111  30.14198548 -099.15115830
111  30.14177994 -099.15111180
111  30.14180881 -099.15095487
111  30.14192115 -099.15098000
113  30.14196631 -099.15099009
110 2 0.00 0.0000 Taxiway 17
111  30.14254298 -099.15108738
111  30.14260348 -099.15124159
111  30.14249588 -099.15129907
113  30.14243450 -099.15114249
110 2 0.00 0.0000 Taxiway 16
111  30.14441873 -099.15148489
111  30.14439247 -099.15163522
111  30.14425396 -099.15160359
111  30.14428055 -099.15145240
111  30.14433061 -099.15146470
111  30.14436876 -099.15125802
111  30.14440798 -099.15126672
113  30.14437185 -099.15147424
110 2 0.00 0.0000 Taxiway 15
111  30.14458149 -099.15152321
111  30.14455465 -099.15167413
111  30.14440047 -099.15163773
113  30.14442754 -099.15148697
110 2 0.00 0.0000 Taxiway 14
111  30.14493386 -099.15160610
111  30.14491100 -099.15173608
111  30.14469425 -099.15168450
111  30.14468601 -099.15173339
111  30.14457533 -099.15170954
113  30.14460660 -099.15152910
110 2 0.00 0.0000 Taxiway 13
111  30.14506339 -099.15171563
111  30.14500669 -099.15180454
111  30.14493692 -099.15174412
111  30.14496269 -099.15170239
111  30.14493898 -099.15168331
113  30.14496836 -099.15163528
110 2 0.00 0.0000 Taxiway 12
111  30.14516368 -099.15180043
111  30.14513971 -099.15183991
111  30.14511015 -099.15181487
111  30.14508128 -099.15185700
111  30.14501546 -099.15180331
113  30.14506888 -099.15172028
110 2 0.00 0.0000 Taxiway 11
111  30.14527098 -099.15189117
111  30.14520776 -099.15198817
111  30.14510499 -099.15190231
113  30.14516793 -099.15180403
110 2 0.00 0.0000 Taxiway 10
111  30.14543647 -099.15203110
111  30.14535553 -099.15215896
111  30.14522024 -099.15204687
113  30.14530271 -099.15191800
110 2 0.00 0.0000 Taxiway 9
111  30.14555357 -099.15213012
111  30.14547876 -099.15224536
111  30.14537790 -099.15216027
113  30.14545208 -099.15204430
110 1 0.00 0.0000 Taxiway 8
111  30.14201755 -099.15069044
111  30.14198667 -099.15085664
112  30.14198667 -099.15085664  30.14198288 -099.15088151
112  30.14201636 -099.15090266  30.14203480 -099.15090961
111  30.14201636 -099.15090266
111  30.14214851 -099.15093343
111  30.14223127 -099.15095580
111  30.14232877 -099.15098663
112  30.14236679 -099.15098879  30.14239188 -099.15098482
112  30.14241018 -099.15094055  30.14241877 -099.15090001
111  30.14241018 -099.15094055
111  30.14242022 -099.15088799
112  30.14242022 -099.15088799  30.14242313 -099.15085139
112  30.14240133 -099.15078867  30.14238532 -099.15077047
111  30.14240133 -099.15078867
111  30.14240176 -099.15078348
111  30.14250217 -099.15080718
112  30.14250217 -099.15080718  30.14245886 -099.15082944
112  30.14254298 -099.15108738  30.14266638 -099.15119230
111  30.14254298 -099.15108738
111  30.14243450 -099.15114249
111  30.14241893 -099.15115040
111  30.14238954 -099.15108399
112  30.14238954 -099.15108399  30.14236961 -099.15105895
112  30.14229299 -099.15102245  30.14227271 -099.15101768
111  30.14229299 -099.15102245
111  30.14203918 -099.15095800
112  30.14203918 -099.15095800  30.14199285 -099.15095109
112  30.14196631 -099.15099009  30.14195766 -099.15102465
111  30.14196631 -099.15099009
111  30.14192115 -099.15098000
113  30.14197301 -099.15068014
110 1 0.00 0.0000 Taxiway 7
111  30.13982109 -099.15017106
112  30.13982109 -099.15017106  30.13981788 -099.15017249
112  30.13981031 -099.15018951  30.13980994 -099.15019799
111  30.13981031 -099.15018951
111  30.13981161 -099.15035497
111  30.13989190 -099.15036905
111  30.13988860 -099.15046879
111  30.13974786 -099.15048399
111  30.13975144 -099.15042603
113  30.13975485 -099.15015462
110 1 0.00 0.0000 Taxiway 6
111  30.13925735 -099.14987698
111  30.13926923 -099.14980624
111  30.13925320 -099.14975130
111  30.13921697 -099.14973894
111  30.13922766 -099.14972108
111  30.13924146 -099.14954674
111  30.13936473 -099.14956067
111  30.13935654 -099.14958510
111  30.13934966 -099.14967644
111  30.13933932 -099.14973413
111  30.13934288 -099.14976916
111  30.13932922 -099.14980762
113  30.13931378 -099.14989072
110 1 0.00 0.0000 Taxiway 5
111  30.13902745 -099.14998352
112  30.13902745 -099.14998352  30.13901623 -099.14998275
112  30.13900377 -099.15000564  30.13900147 -099.15002106
111  30.13900377 -099.15000564
111  30.13898449 -099.15013428
112  30.13898449 -099.15013428  30.13898275 -099.15015053
112  30.13899976 -099.15016734  30.13901173 -099.15017158
111  30.13899976 -099.15016734
111  30.13903605 -099.15017755
111  30.13902007 -099.15030964
111  30.13890379 -099.15028853
111  30.13895012 -099.14998709
113  30.13894033 -099.14996200
110 1 0.00 0.0000 Taxiway 4
111  30.13763993 -099.14949385
111  30.13764612 -099.14947875
111  30.13767293 -099.14926215
111  30.13765815 -099.14918624
111  30.13775958 -099.14904514
111  30.13779992 -099.14908490
112  30.13779992 -099.14908490  30.13781749 -099.14910081
112  30.13785558 -099.14910811  30.13787696 -099.14910926
111  30.13785558 -099.14910811
111  30.13787041 -099.14915836
111  30.13775246 -099.14927186
112  30.13775246 -099.14927186  30.13773555 -099.14926822
112  30.13772345 -099.14929653  30.13771981 -099.14931340
111  30.13772345 -099.14929653
111  30.13769870 -099.14947597
113  30.13769939 -099.14950816
110 1 0.00 0.0000 Taxiway 3
111  30.13791078 -099.14971602
111  30.13741807 -099.14974336
111  30.13743100 -099.14944505
113  30.13745387 -099.14944781
110 2 0.00 0.0000 Taxiway 2
111  30.14445456 -099.15111119
111  30.14441348 -099.15086509
111  30.14483022 -099.15097784
111  30.14484210 -099.15100932
111  30.14486140 -099.15101447
111  30.14485942 -099.15102706
111  30.14486932 -099.15102935
111  30.14486734 -099.15105682
111  30.14491337 -099.15107571
113  30.14496039 -099.15123082
110 2 0.00 0.0000 Taxiway 1
111  30.14524651 -099.15145308
111  30.14522442 -099.15158577
111  30.14554087 -099.15181984
111  30.14562782 -099.15211985
111  30.14557650 -099.15214952
111  30.14555357 -099.15213012
111  30.14545208 -099.15204430
111  30.14543647 -099.15203110
111  30.14530271 -099.15191800
111  30.14527098 -099.15189117
111  30.14516793 -099.15180403
111  30.14516368 -099.15180043
111  30.14506888 -099.15172028
111  30.14506339 -099.15171563
111  30.14496836 -099.15163528
111  30.14493386 -099.15160610
111  30.14460660 -099.15152910
111  30.14458149 -099.15152321
111  30.14442754 -099.15148697
111  30.14441873 -099.15148489
111  30.14437185 -099.15147424
111  30.14440798 -099.15126672
111  30.14436876 -099.15125802
111  30.14433061 -099.15146470
111  30.14428055 -099.15145240
113  30.14432142 -099.15123597
130 Airport Boundary
111  30.14526188 -099.15222807
111  30.14476383 -099.15183157
111  30.14415937 -099.15167092
111  30.14420961 -099.15139235
111  30.14278492 -099.15105053
111  30.14274797 -099.15120775
111  30.14246273 -099.15136839
111  30.14236076 -099.15113597
111  30.14209078 -099.15102242
111  30.14203940 -099.15123959
111  30.14173744 -099.15117397
111  30.14180359 -099.15082664
111  30.14006558 -099.15041988
111  30.13989266 -099.15075654
111  30.13975374 -099.15076166
111  30.13954683 -099.15029171
111  30.13918327 -099.15021138
111  30.13908129 -099.15094963
111  30.13888769 -099.15098551
111  30.13850491 -099.15089152
111  30.13842658 -099.15059246
111  30.13856846 -099.15055487
111  30.13865418 -099.15037714
111  30.13882414 -099.15041474
111  30.13885813 -099.15013277
111  30.13739648 -099.14980806
111  30.13740831 -099.14906299
111  30.13766103 -099.14875539
111  30.13796400 -099.14904932
111  30.13798026 -099.14910059
111  30.13799651 -099.14942528
111  30.13858176 -099.14950731
111  30.13860245 -099.14945776
111  30.13882857 -099.14955175
111  30.13904613 -099.14964971
111  30.13921185 -099.14954409
111  30.13922568 -099.14937449
111  30.13936505 -099.14926637
111  30.13946421 -099.14924198
111  30.13961572 -099.14926732
111  30.13960712 -099.14941621
111  30.13988823 -099.14942701
111  30.13987936 -099.14968164
111  30.14074837 -099.14997901
111  30.14079461 -099.15003147
111  30.14095800 -099.14986963
111  30.14091466 -099.14965682
111  30.14123061 -099.14949037
111  30.14130406 -099.14970179
111  30.14156559 -099.14959816
111  30.14156388 -099.14993843
111  30.14192841 -099.15003132
111  30.14206794 -099.14971844
111  30.14231024 -099.14940390
111  30.14269006 -099.14970888
111  30.14233268 -099.15034816
111  30.14235337 -099.15041481
111  30.14282186 -099.15051393
111  30.14297409 -099.15021145
111  30.14316015 -099.15023322
111  30.14353110 -099.15073224
111  30.14440897 -099.15070148
111  30.14508142 -099.15099543
111  30.14542429 -099.15128425
113  30.14570805 -099.15234213
120 Linear Feature 33
111  30.14475496 -099.15100522 1
115  30.14476282 -099.15096047
120 Linear Feature 32
111  30.14478296 -099.15101213 1
111  30.14475496 -099.15100522 1
115  30.14472776 -099.15099852
120 Linear Feature 31
111  30.14463981 -099.15097785 1
115  30.14464887 -099.15093085
120 Linear Feature 30
111  30.14466693 -099.15098433 1
111  30.14463981 -099.15097785 1
115  30.14461323 -099.15097149
120 Linear Feature 29
111  30.14452631 -099.15095043 1
115  30.14453499 -099.15090287
120 Linear Feature 28
111  30.14455355 -099.15095731 1
111  30.14452631 -099.15095043 1
115  30.14449885 -099.15094351
1300  30.13767821 -099.14907987 320.47 hangar turboprops|props Hangar 19
1301 A none 
1300  30.13895991 -099.15034912  81.40 hangar props Hangar 18
1301 A none 
1300  30.13928879 -099.14949202 265.67 hangar props Hangar 17
1301 A none 
1300  30.13982240 -099.15052458  95.79 hangar props Hangar 16
1301 A none 
1300  30.14131809 -099.15000631 254.36 hangar props Hangar 15
1301 A none 
1300  30.14191079 -099.15016871 323.04 hangar props Hangar 14
1301 A none 
1300  30.14193868 -099.15103407  79.54 hangar props Hangar 13
1301 A none 
1300  30.14250319 -099.15115826 116.06 hangar props Hangar 12
1301 A none 
1300  30.14311049 -099.15042740 212.88 hangar props Hangar 11
1301 A none 
1300  30.14434308 -099.15151261  79.03 hangar props Hangar 10
1301 A none 
1300  30.14449746 -099.15154684  79.22 hangar props Hangar 09
1301 A none 
1300  30.14465508 -099.15158063  79.24 hangar props Hangar 08
1301 A none 
1300  30.14476431 -099.15160587  78.56 hangar props Hangar 07
1301 A none 
1300  30.14487148 -099.15163016  78.69 hangar props Hangar 06
1301 A none 
1300  30.14499377 -099.15170775  54.26 hangar props Hangar 05
1301 A none 
1300  30.14509457 -099.15179151  53.69 hangar props Hangar 04
1301 A none 
1300  30.14519795 -099.15188027  53.70 hangar props Hangar 03
1301 A none 
1300  30.14534531 -099.15201113  53.97 hangar props Hangar 02
1301 A none 
1300  30.14547884 -099.15212513  53.94 hangar props Hangar 01
1301 A none 
1300  30.14452631 -099.15095043 257.93 tie_down props GA Ramp 03
1301 A general_aviation 
1300  30.14463981 -099.15097785 257.91 tie_down props GA Ramp 02
1301 A general_aviation 
1300  30.14475496 -099.15100522 259.30 tie_down props GA Ramp 01
1301 A general_aviation 
19  30.14492940 -099.15161224 0 Windsock 1
99
