I
1050 Generated by WorldEditor 2.0.0r4

1    645 1 0 KPWK Chicago Executive
100 45.72 1 0 0.25 0 3 0 16  42.12333277 -087.90713879    0  163 3 0 0 1 34  42.11055497 -087.90040624    0   85 2 8 0 1
100 22.86 1 0 0.25 0 3 0 12  42.11539902 -087.90717422   91    0 1 0 0 0 30  42.10971560 -087.89280090  133    0 1 0 0 0
100 13.72 1 0 0.25 0 3 0 6  42.11048009 -087.90644189  114    0 1 0 0 0 24  42.11501051 -087.89430892  382    0 1 0 0 0
110 2 0.00 0.0000 New Taxiway 9
111  42.11152003 -087.89341604
111  42.11168919 -087.89289954
111  42.11175506 -087.89294172
111  42.11192349 -087.89246715
111  42.11195486 -087.89237875
111  42.11244068 -087.89270276
111  42.11222702 -087.89330450
111  42.11294714 -087.89374508
111  42.11278523 -087.89421137 53
111  42.11246562 -087.89401046 53
111  42.11239299 -087.89396481 53
113  42.11195492 -087.89368943
110 2 0.00 0.0000 New Taxiway 8
111  42.12189000 -087.90042350
111  42.12189000 -087.90023025
111  42.12194512 -087.90022995
111  42.12205994 -087.90022934
111  42.12217419 -087.90022873
111  42.12228958 -087.90022811
111  42.12240839 -087.90022747
111  42.12240903 -087.90042241
111  42.12234872 -087.90042254
111  42.12223333 -087.90042278
111  42.12211908 -087.90042302
113  42.12200426 -087.90042326
110 2 0.00 0.0000 New Taxiway 8
111  42.12189102 -087.90093746
111  42.12189102 -087.90074420
111  42.12194808 -087.90074390
111  42.12206410 -087.90074327
111  42.12217716 -087.90074267
111  42.12229254 -087.90074205
111  42.12240951 -087.90074143
111  42.12240951 -087.90093636
111  42.12235195 -087.90093649
111  42.12223683 -087.90093673
111  42.12212357 -087.90093697
113  42.12200755 -087.90093721
110 2 0.00 0.0000 New Taxiway 8
111  42.12189582 -087.90144950
111  42.12189582 -087.90125624
111  42.12194914 -087.90125596
111  42.12206523 -087.90125534
111  42.12217814 -087.90125473
111  42.12229366 -087.90125411
111  42.12241374 -087.90125347
111  42.12241476 -087.90144840
111  42.12235286 -087.90144854
111  42.12223769 -087.90144878
111  42.12212450 -087.90144902
113  42.12200866 -087.90144926
110 2 0.00 0.0000 New Taxiway 8
111  42.12189647 -087.90196125
111  42.12189647 -087.90176799
111  42.12195297 -087.90176768
111  42.12206907 -087.90176706
111  42.12218212 -087.90176646
111  42.12229748 -087.90176584
111  42.12241314 -087.90176522
111  42.12241401 -087.90196016
111  42.12235517 -087.90196028
111  42.12223960 -087.90196053
111  42.12212666 -087.90196076
113  42.12201074 -087.90196101
110 2 0.00 0.0000 New Taxiway 8
111  42.12189735 -087.90247517
111  42.12189823 -087.90228191
111  42.12195405 -087.90228161
111  42.12207018 -087.90228099
111  42.12218325 -087.90228038
111  42.12229850 -087.90227977
111  42.12241667 -087.90227914
111  42.12241666 -087.90247408
111  42.12235708 -087.90247420
111  42.12224160 -087.90247445
111  42.12212856 -087.90247468
113  42.12201251 -087.90247493
110 2 0.00 0.0000 New Taxiway 8
111  42.12190011 -087.90298653
111  42.12190071 -087.90279327
111  42.12195316 -087.90279299
111  42.12206904 -087.90279237
111  42.12218211 -087.90279177
111  42.12229747 -087.90279115
111  42.12241842 -087.90279050
111  42.12241736 -087.90298544
111  42.12235708 -087.90298556
111  42.12224169 -087.90298581
111  42.12212864 -087.90298605
113  42.12201244 -087.90298629
110 1 0.00 0.0000 New Taxiway 26
111  42.11368449 -087.89542650
111  42.11370792 -087.89540871
111  42.11378300 -087.89518668
111  42.11378165 -087.89514937
111  42.11385359 -087.89519432
111  42.11381994 -087.89521843
111  42.11374691 -087.89543446
113  42.11374928 -087.89546733
110 1 0.00 0.0000 New Taxiway 26
111  42.11357191 -087.89535555
111  42.11359589 -087.89533982
111  42.11367096 -087.89511779
111  42.11366785 -087.89507825
111  42.11373657 -087.89512119
111  42.11370790 -087.89514954
111  42.11363487 -087.89536557
113  42.11363413 -087.89539477
110 1 0.00 0.0000 New Taxiway 26
111  42.11346261 -087.89528667
111  42.11347927 -087.89526916
111  42.11355434 -087.89504714
111  42.11355811 -087.89500968
111  42.11362049 -087.89504866
111  42.11359128 -087.89507888
111  42.11351825 -087.89529492
113  42.11352220 -087.89532422
110 1 0.00 0.0000 New Taxiway 26
111  42.11334851 -087.89521477
111  42.11336527 -087.89519586
111  42.11344034 -087.89497383
111  42.11343996 -087.89493585
111  42.11350234 -087.89497483
111  42.11347728 -087.89500558
111  42.11340425 -087.89522161
113  42.11340584 -087.89525090
110 1 0.00 0.0000 New Taxiway 26
111  42.11322960 -087.89513983
111  42.11325061 -087.89512785
111  42.11332568 -087.89490583
111  42.11332229 -087.89486231
111  42.11338957 -087.89490436
111  42.11336263 -087.89493757
111  42.11328960 -087.89515361
113  42.11329126 -087.89517869
110 1 0.00 0.0000 New Taxiway 26
111  42.11311654 -087.89506858
111  42.11313596 -087.89505632
111  42.11321103 -087.89483429
111  42.11320639 -087.89478990
111  42.11327928 -087.89483544
111  42.11324797 -087.89486604
111  42.11317494 -087.89508207
113  42.11317877 -087.89510779
110 1 0.00 0.0000 New Taxiway 26
111  42.11299659 -087.89499298
111  42.11301410 -087.89497859
111  42.11308917 -087.89475657
111  42.11308541 -087.89471430
111  42.11315857 -087.89476001
111  42.11313070 -087.89478920
111  42.11305767 -087.89500523
113  42.11306523 -087.89503624
110 1 0.00 0.0000 New Taxiway 26
111  42.11287767 -087.89491804
111  42.11289551 -087.89490352
111  42.11297058 -087.89468150
111  42.11296357 -087.89463816
111  42.11304524 -087.89468919
111  42.11301211 -087.89471413
111  42.11293908 -087.89493016
113  42.11294502 -087.89496048
110 1 0.00 0.0000 New Taxiway 26
111  42.11275595 -087.89484133
111  42.11278085 -087.89483110
111  42.11285593 -087.89460908
111  42.11284702 -087.89456533
111  42.11292161 -087.89461194
111  42.11288959 -087.89463729
111  42.11281656 -087.89485332
113  42.11281978 -087.89488156
