A
1000 Generated by WorldEditor

1     30 1 0 EIDL Donegal
100 29.87 1 0 0.00 0 3 0 03  55.03788522 -008.34507524  207    0 2 10 0 0 21  55.05048027 -008.33691345  129    0 2 10 0 0
110 2 0.00 0.0000 Hangar
111  55.03820021 -008.34187075
111  55.03810387 -008.34194647
111  55.03791559 -008.34206736
111  55.03777972 -008.34141205
113  55.03805901 -008.34122903
110 2 0.00 0.0000 Terminal
111  55.03829729 -008.34284359
111  55.03826273 -008.34286541
111  55.03814212 -008.34294879
111  55.03798256 -008.34221646
113  55.03814800 -008.34211075
110 1 0.00 0.0000 Apron
111  55.03871062 -008.34429517
112  55.03874592 -008.34395377  55.03871503 -008.34378436
111  55.03870032 -008.34370350
111  55.03857309 -008.34302071
112  55.03845100 -008.34293215  55.03837599 -008.34299119
111  55.03830833 -008.34304638
111  55.03826273 -008.34286541
111  55.03829729 -008.34284359
111  55.03814800 -008.34211075
111  55.03810387 -008.34194647
111  55.03820021 -008.34187075
111  55.03805901 -008.34122903
111  55.03805239 -008.34114561
111  55.03859295 -008.34099031
111  55.03875180 -008.34158583
111  55.03899377 -008.34286158
111  55.03885550 -008.34295528
112  55.03880990 -008.34314523  55.03883491 -008.34326972
111  55.03889448 -008.34357262
111  55.03895332 -008.34387295
114  55.03908864 -008.34404622  55.03916513 -008.34405007
110 1 0.00 0.0000 Fire Station
111  55.03769716 -008.34319709
111  55.03751300 -008.34330741
111  55.03743953 -008.34289719
111  55.03758762 -008.34281427
111  55.03761580 -008.34296794
113  55.03765279 -008.34294571
110 2 0.00 0.0000 New Taxiway 3
111  55.03790564 -008.34392570
111  55.03790078 -008.34390457
111  55.03783210 -008.34385896
111  55.03780535 -008.34386002
111  55.03774579 -008.34381441
111  55.03759019 -008.34385578
111  55.03751300 -008.34330741
111  55.03769716 -008.34319709
111  55.03765279 -008.34294571
111  55.03772208 -008.34290329
111  55.03775551 -008.34301360
111  55.03791051 -008.34312497
111  55.03794637 -008.34318225
111  55.03807583 -008.34308042
111  55.03820104 -008.34359485
111  55.03806064 -008.34369562
113  55.03800168 -008.34386215
110 1 0.00 0.0000 South Turnaround
111  55.03783860 -008.34485594
111  55.03778374 -008.34462039
111  55.03801969 -008.34446129
111  55.03796001 -008.34419708
111  55.03790564 -008.34392570
111  55.03800168 -008.34386215
111  55.03805947 -008.34412958
111  55.03811749 -008.34439476
113  55.03841194 -008.34448482
110 1 0.00 0.0000 North Turnaround
111  55.05052684 -008.33713349
111  55.05058315 -008.33738155
