I
1050 Generated by WorldEditor 2.2.0r2

1    839 0 0 KPRB Paso Robles Muni
100 45.72 1 0 0.25 0 3 0 1  35.66610927 -120.63559130    0    0 2 0 0 0 19  35.68059382 -120.62589525    0    0 2 0 0 1
100 30.48 1 0 0.25 0 2 0 13  35.67748911 -120.62711189    0    0 2 0 0 0 31  35.66708535 -120.61773362    0    0 2 0 0 0
110 2 0.00 0.0000 New Taxiway 90
111  35.67499959 -120.63617152
111  35.67500032 -120.63614885
111  35.67503646 -120.63615028
111  35.67503738 -120.63609783
111  35.67507756 -120.63609942
111  35.67507655 -120.63615187
111  35.67511010 -120.63615320
111  35.67510952 -120.63617106
111  35.67506886 -120.63620423
113  35.67503366 -120.63620283
110 2 0.00 0.0000 New Taxiway 90
111  35.67407459 -120.63786288
111  35.67408732 -120.63746365
111  35.67411318 -120.63746477
113  35.67410433 -120.63786420
110 2 0.00 0.0000 New Taxiway 27
111  35.67526701 -120.63289479
111  35.67526730 -120.63272470
111  35.67541655 -120.63272877
113  35.67541627 -120.63289886
110 2 0.00 0.0000 New Taxiway 26
112  35.67654314 -120.63070733  35.67654425 -120.63066068
112  35.67661377 -120.63062534  35.67665166 -120.63062670
112  35.67668037 -120.63071227  35.67667926 -120.63075892
111  35.67668037 -120.63071227
112  35.67668037 -120.63071227  35.67667935 -120.63075497
112  35.67661924 -120.63079381  35.67658569 -120.63079828
111  35.67661924 -120.63079381
112  35.67661924 -120.63079381  35.67661613 -120.63079422
112  35.67660975 -120.63079426  35.67660653 -120.63079415
111  35.67660975 -120.63079426
114  35.67660975 -120.63079426  35.67657185 -120.63079290
110 2 0.00 0.0000 New Taxiway 24
111  35.67747604 -120.63231242
111  35.67748080 -120.63206199
111  35.67775583 -120.63207077
113  35.67774975 -120.63231952
110 2 0.00 0.0000 New Taxiway 24
111  35.67746490 -120.63290021
111  35.67746967 -120.63264978
111  35.67774469 -120.63265856
113  35.67773862 -120.63290731
110 2 0.00 0.0000 New Taxiway 24
111  35.67731507 -120.63346215
111  35.67732168 -120.63316122
112  35.67732168 -120.63316122  35.67734909 -120.63328133
111  35.67743496 -120.63329509
111  35.67768774 -120.63329606
113  35.67768480 -120.63347240
110 2 0.00 0.0000 New Taxiway 22
111  35.67152105 -120.63643490
111  35.67152184 -120.63636562
111  35.67157782 -120.63636769
113  35.67157703 -120.63643698
110 2 0.00 0.0000 New Taxiway 22
111  35.67111431 -120.63642331
111  35.67111510 -120.63635403
111  35.67117108 -120.63635611
113  35.67117029 -120.63642539
110 2 0.00 0.0000 New Taxiway 22
111  35.67111104 -120.63664339
111  35.67111183 -120.63657411
111  35.67116781 -120.63657619
113  35.67116703 -120.63664547
110 2 0.00 0.0000 New Taxiway 22
111  35.67110651 -120.63686051
111  35.67110940 -120.63679160
111  35.67116538 -120.63679516
113  35.67116249 -120.63686407
110 2 0.00 0.0000 New Taxiway 20
111  35.67526729 -120.63737065
111  35.67526929 -120.63727738
111  35.67527135 -120.63718113
111  35.67527164 -120.63716771
111  35.67549847 -120.63717694
113  35.67549412 -120.63737987
110 2 0.00 0.0000 New Taxiway 20
111  35.67474717 -120.63757042
111  35.67474966 -120.63735596
111  35.67487634 -120.63735955
111  35.67506500 -120.63736491
111  35.67526729 -120.63737065
113  35.67526480 -120.63758510
110 2 0.00 0.0000 New Taxiway 20
111  35.67112407 -120.63774896
111  35.67113299 -120.63724195
111  35.67278428 -120.63728976
111  35.67277216 -120.63779609
111  35.67222439 -120.63778013
113  35.67169299 -120.63776463
110 2 0.00 0.0000 New Taxiway 20
111  35.67473258 -120.63795262
111  35.67473282 -120.63792374
111  35.67472242 -120.63790900
111  35.67467182 -120.63790821
111  35.67467197 -120.63778898
111  35.67472441 -120.63779150
111  35.67473406 -120.63777737
111  35.67473431 -120.63774776
111  35.67489881 -120.63775345
113  35.67489708 -120.63795832
110 2 0.00 0.0000 New Taxiway 20
111  35.67512047 -120.63845135
111  35.67512288 -120.63822286
111  35.67531957 -120.63822849
113  35.67531715 -120.63845699
110 2 0.00 0.0000 New Taxiway 20
111  35.67517294 -120.63797188
111  35.67517634 -120.63778741
111  35.67522305 -120.63778846
111  35.67528871 -120.63778994
113  35.67528531 -120.63797442
110 2 0.00 0.0000 New Taxiway 20
111  35.67495788 -120.63796601
111  35.67496092 -120.63779617
111  35.67512546 -120.63780232
113  35.67512242 -120.63797216
110 2 0.00 0.0000 New Taxiway 20
111  35.67494881 -120.63844494
111  35.67495063 -120.63827331
111  35.67495123 -120.63821644
111  35.67511523 -120.63822208
113  35.67511281 -120.63845057
110 2 0.00 0.0000 New Taxiway 20
111  35.67472235 -120.63848001
111  35.67472726 -120.63822783
111  35.67492384 -120.63823193
111  35.67492346 -120.63827271
111  35.67487939 -120.63827195
113  35.67487528 -120.63848320
110 2 0.00 0.0000 New Taxiway 20
111  35.67412002 -120.63841634
111  35.67411875 -120.63807253
111  35.67416148 -120.63807219
111  35.67435188 -120.63807070
111  35.67439547 -120.63807036
111  35.67439965 -120.63807032
111  35.67440074 -120.63836326
113  35.67440092 -120.63841414
110 2 0.00 0.0000 New Taxiway 20
111  35.67338880 -120.63847417
111  35.67338926 -120.63813653
111  35.67341664 -120.63813686
111  35.67341618 -120.63806391
111  35.67363270 -120.63806461
111  35.67363220 -120.63813944
111  35.67366708 -120.63813986
113  35.67366663 -120.63847750
110 2 0.00 0.0000 New Taxiway 19
111  35.67069757 -120.63815430
111  35.67070079 -120.63794606
111  35.67098323 -120.63795428
113  35.67098001 -120.63816251
110 2 0.00 0.0000 New Taxiway 18
111  35.67026199 -120.63803116
111  35.67022076 -120.63802984
111  35.67022405 -120.63779146
111  35.67042722 -120.63779796
111  35.67042393 -120.63803634
111  35.67038281 -120.63803503
111  35.67037952 -120.63818360
111  35.67037854 -120.63822752
111  35.67025769 -120.63822457
113  35.67025833 -120.63819581
110 2 0.00 0.0000 New Taxiway 17
111  35.66991346 -120.63984161
111  35.66991342 -120.63980666
111  35.66986916 -120.63980692
111  35.66986902 -120.63973467
111  35.66991336 -120.63973480
111  35.66991332 -120.63969795
111  35.66996609 -120.63969814
113  35.66996582 -120.63984180
110 2 0.00 0.0000 New Taxiway 17
111  35.66991333 -120.63969414
111  35.66991330 -120.63965919
111  35.66986903 -120.63965945
111  35.66986890 -120.63958720
111  35.66991324 -120.63958733
111  35.66991320 -120.63955048
111  35.66996471 -120.63955067
111  35.66996597 -120.63955067
113  35.66996570 -120.63969433
110 2 0.00 0.0000 New Taxiway 17
111  35.66991241 -120.63954847
111  35.66991238 -120.63951353
111  35.66986811 -120.63951378
111  35.66986798 -120.63944154
111  35.66991232 -120.63944167
111  35.66991228 -120.63940481
111  35.66996432 -120.63940501
111  35.66996505 -120.63940501
113  35.66996478 -120.63954867
110 2 0.00 0.0000 New Taxiway 17
111  35.66991199 -120.63939798
111  35.66991196 -120.63936304
111  35.66986769 -120.63936329
111  35.66986756 -120.63929105
111  35.66991190 -120.63929117
111  35.66991186 -120.63925432
111  35.66996463 -120.63925452
113  35.66996436 -120.63939818
110 2 0.00 0.0000 New Taxiway 17
111  35.66991253 -120.63924483
111  35.66991250 -120.63920988
111  35.66986824 -120.63921014
111  35.66986810 -120.63913790
111  35.66991244 -120.63913802
111  35.66991240 -120.63910117
111  35.66994048 -120.63910127
111  35.66996517 -120.63910137
111  35.66996515 -120.63910850
111  35.67003213 -120.63911168
111  35.67002920 -120.63924596
113  35.66996490 -120.63924503
110 2 0.00 0.0000 New Taxiway 17
111  35.66991884 -120.63909268
111  35.66991887 -120.63905117
111  35.66987387 -120.63905117
111  35.66987402 -120.63899909
111  35.66991891 -120.63899922
