I
1050 Generated by WorldEditor

1    708 0 0 CYGD Goderich Municipal
100 30.51 3 0 0.00 0 0 0 05  43.76347547 -081.71557487    0    0 0 0 0 0 23  43.76745217 -081.71109031    0    0 0 0 0 0
100 30.48 1 0 0.25 0 2 0 14  43.77220438 -081.71847406    0    0 3 0 0 1 32  43.76370215 -081.70340768    0    0 3 0 0 1
100 15.24 1 0 0.25 0 0 0 10  43.76395185 -081.71427443    0    0 2 0 0 0 28  43.76390919 -081.70287265    0    0 2 0 0 0
110 2 0.00 0.0000 New Taxiway 9
111  43.76247345 -081.70796640
111  43.76221665 -081.70796640
111  43.76221665 -081.70772570
113  43.76247345 -081.70772570
110 2 0.00 0.0000 New Taxiway 9
111  43.76256560 -081.70910082
111  43.76205792 -081.70910082
111  43.76205792 -081.70872117
113  43.76256560 -081.70872117
110 2 0.00 0.0000 New Taxiway 9
111  43.76284693 -081.70968638
111  43.76270661 -081.70968638
111  43.76270661 -081.70941590
113  43.76284693 -081.70941590
110 2 0.00 0.0000 New Taxiway 9
111  43.76280214 -081.71032404
111  43.76259192 -081.71032404
111  43.76259192 -081.71004613
113  43.76280214 -081.71004613
110 2 0.00 0.0000 New Taxiway 9
111  43.76258710 -081.71120486
111  43.76248261 -081.71120486
111  43.76248261 -081.71099642
111  43.76258710 -081.71099642
111  43.76258710 -081.71105724
111  43.76262282 -081.71110460
113  43.76258710 -081.71115195
110 2 0.00 0.0000 New Taxiway 9
111  43.76274300 -081.71264891
111  43.76231596 -081.71264891
111  43.76231596 -081.71199137
113  43.76274300 -081.71199137
110 2 0.00 0.0000 New Taxiway 9
111  43.76273942 -081.71320469
111  43.76260088 -081.71320469
111  43.76260088 -081.71305332
113  43.76273942 -081.71305332
110 2 0.00 0.0000 New Taxiway 9
111  43.76273763 -081.71374807
111  43.76207763 -081.71374807
111  43.76207763 -081.71359670
113  43.76273763 -081.71359670
110 2 0.00 0.0000 New Taxiway 9
111  43.76272874 -081.71429147
111  43.76228052 -081.71429147
111  43.76228052 -081.71414010
113  43.76272874 -081.71414010
110 1 0.00 0.0000 New Taxiway 9
111  43.76271313 -081.71483813
111  43.76263332 -081.71483813
111  43.76263332 -081.71472935
113  43.76271313 -081.71472935
110 1 0.00 0.0000 New Taxiway 9
111  43.76272719 -081.71414195
111  43.76261750 -081.71414195
111  43.76261750 -081.71400559
113  43.76272719 -081.71400559
110 1 0.00 0.0000 New Taxiway 9
111  43.76235587 -081.71395168
111  43.76232734 -081.71395168
111  43.76232734 -081.71374430
113  43.76235587 -081.71374430
110 1 0.00 0.0000 New Taxiway 9
111  43.76268558 -081.71395118
111  43.76265705 -081.71395118
111  43.76265705 -081.71374381
113  43.76268558 -081.71374381
110 1 0.00 0.0000 New Taxiway 9
111  43.76252179 -081.71395118
111  43.76249326 -081.71395118
111  43.76249326 -081.71374381
113  43.76252179 -081.71374381
110 1 0.00 0.0000 New Taxiway 9
111  43.76260706 -081.71458782
111  43.76257853 -081.71458782
111  43.76257853 -081.71447904
113  43.76260706 -081.71447904
110 1 0.00 0.0000 New Taxiway 9
111  43.76242599 -081.71458822
