I
1050 Generated by WorldEditor 2.3.0r2

1   2860 0 0 CFC6 Rockyford
100 15.24 3 0 0.00 0 0 0 13  51.26213253 -113.11605287    0    0 0 0 0 0 31  51.25657319 -113.11051218    0    0 0 0 0 0
110 2 0.00 0.0000 New Taxiway 5
111  51.26554157 -113.11975478
111  51.26554261 -113.11991688
111  51.26541345 -113.11991865
113  51.26541241 -113.11975655
110 3 0.00 0.0000 New Taxiway 4
111  51.26203290 -113.11570396
112  51.26203290 -113.11570396  51.26227683 -113.11593298
111  51.26256760 -113.11581874
111  51.26366834 -113.11522364
112  51.26366834 -113.11522364  51.26381374 -113.11515258
111  51.26390413 -113.11532695
111  51.26478221 -113.11790203
112  51.26497248 -113.11836205  51.26503777 -113.11847298
111  51.26497248 -113.11836205
111  51.26516929 -113.11892827
112  51.26516929 -113.11892827  51.26536932 -113.11926549
111  51.26552564 -113.11900968
111  51.26557748 -113.11907303
111  51.26559476 -113.11931994
112  51.26559476 -113.11931994  51.26562299 -113.11951397
112  51.26578991 -113.11935568  51.26583155 -113.11912104
111  51.26578991 -113.11935568
111  51.26583463 -113.11935406
111  51.26583543 -113.11975074
111  51.26554157 -113.11975478
111  51.26541241 -113.11975655
111  51.26526827 -113.11975853
111  51.26520241 -113.11934919
111  51.26488650 -113.11844279
111  51.26473007 -113.11813492
111  51.26397173 -113.11578990
112  51.26352015 -113.11548178  51.26323913 -113.11561276
111  51.26352015 -113.11548178
111  51.26273751 -113.11593820
111  51.26255632 -113.11599214
111  51.26224944 -113.11614389
112  51.26224944 -113.11614389  51.26216298 -113.11618243
111  51.26209644 -113.11614571
111  51.25653723 -113.11060521
112  51.25652707 -113.11045477  51.25655430 -113.11038678
113  51.25661265 -113.11040256
130 Airport Boundary 6
111  51.25609596 -113.12138408
111  51.25599465 -113.10995600
111  51.26325089 -113.10967420
111  51.26330124 -113.11320406
111  51.26795832 -113.11852423
111  51.26793315 -113.11998256
113  51.26846179 -113.12134031
1300  51.26547913 -113.11978049  90.61 hangar props Hangar
1301 A none 
19  51.26491071 -113.11895228 1 New Windsock 5
51 12340 Rockyford Traffic
99
