A
1000 Generated by Infinite Flight Airport Editing (World Parser)/AB

1      393 0 0 LFNH Carpentras
100   29.87   1   0 0.00 0 0 1 13   44.03171606  005.07828477    0.00    0.00 2  0 0 0 31   44.02447557  005.08948424    0.00    0.00 2  0 0 0
100   55.47   3   0 0.00 0 0 0 13R  44.02901046  005.08139737    0.00    0.00 2  0 0 0 31L  44.02393326  005.08920514    0.00    0.00 2  0 0 0
110   2 0.00   0.00 Apron
111  44.02414615  005.08765485 
111  44.02413779  005.08764243 
114  44.02413217  005.08766046  44.02413831  005.08766954 
110   2 0.00   0.00 Apron
112  44.02410800  005.08769240  44.02411483  005.08770156 
111  44.02412167  005.08768589 
113  44.02411294  005.08767268 
110   2 0.00   0.00 Apron
112  44.02401800  005.08780997  44.02402436  005.08781881 
111  44.02403136  005.08780402 
113  44.02402280  005.08779140 
110   2 0.00   0.00 Apron
111  44.02394402  005.08785076 
111  44.02397615  005.08789255 
111  44.02420503  005.08759649 
113  44.02417600  005.08754642 
112  44.02416295  005.08758864  44.02415421  005.08763907 
111  44.02416295  005.08758864 
112  44.02416295  005.08758864  44.02416274  005.08758787 
112  44.02415920  005.08758326  44.02415873  005.08758170 
111  44.02415920  005.08758326 
112  44.02415920  005.08758326  44.02417528  005.08752954 
112  44.02418014  005.08761409  44.02414116  005.08763105 
111  44.02418014  005.08761409 
112  44.02418014  005.08761409  44.02417965  005.08761310 
112  44.02417644  005.08760881  44.02417466  005.08760613 
111  44.02417644  005.08760881 
114  44.02417644  005.08760881  44.02421304  005.08759959 
111  44.02416950  005.08763155 
111  44.02416558  005.08763714 
111  44.02413203  005.08761428 
111  44.02413573  005.08760943 
111  44.02414451  005.08761508 
111  44.02415541  005.08760044 
111  44.02415153  005.08758856 
113  44.02415530  005.08758348 
111  44.02412835  005.08761874 
112  44.02415174  005.08765390  44.02415462  005.08765890 
111  44.02415174  005.08765390 
112  44.02415174  005.08765390  44.02413630  005.08768391 
112  44.02412722  005.08765114  44.02413196  005.08763665 
111  44.02412722  005.08765114 
112  44.02412722  005.08765114  44.02412414  005.08765429 
111  44.02410840  005.08764485 
112  44.02411215  005.08763978  44.02411442  005.08763732 
111  44.02411215  005.08763978 
112  44.02411215  005.08763978  44.02411518  005.08763978 
112  44.02413476  005.08763844  44.02414234  005.08762368 
111  44.02413476  005.08763844 
112  44.02413476  005.08763844  44.02413375  005.08763598 
113  44.02412490  005.08762305 
111  44.02410401  005.08764997 
112  44.02412807  005.08768539  44.02412910  005.08768665 
111  44.02412807  005.08768539 
112  44.02412807  005.08768539  44.02412612  005.08768737 
112  44.02410497  005.08769737  44.02409575  005.08768383 
111  44.02410497  005.08769737 
112  44.02410497  005.08769737  44.02409458  005.08768293 
112  44.02411034  005.08766910  44.02411112  005.08766766 
111  44.02411034  005.08766910 
112  44.02411034  005.08766910  44.02410956  005.08766784 
113  44.02410072  005.08765437 
111  44.02406629  005.08769883 
111  44.02408325  005.08767728 
111  44.02410706  005.08771321 
111  44.02409085  005.08773406 
111  44.02408812  005.08773056 
111  44.02410086  005.08771366 
111  44.02409352  005.08770247 
111  44.02408173  005.08771882 
111  44.02407876  005.08771495 
111  44.02409110  005.08769877 
111  44.02408224  005.08768599 
113  44.02406926  005.08770279 
111  44.02406097  005.08770625 
111  44.02408491  005.08774227 
111  44.02407996  005.08774790 
111  44.02404932  005.08773321 
111  44.02406895  005.08776224 
111  44.02406572  005.08776691 
111  44.02404146  005.08773134 
111  44.02404646  005.08772536 
111  44.02407761  005.08774040 
113  44.02405749  005.08771064 
