I
1050 Generated by WorldEditor

1    115 1 0 LGIR Iraklion  - Nikos Kazantzakis
100 45.00 1 1 0.25 1 2 1 09  35.34106460  025.16114698  480    0 2 9 0 2 27  35.33898693  025.19099900    0   65 2 9 0 2
100 50.00 1 0 0.25 1 2 1 12  35.34387740  025.17338696  150   61 2 9 0 0 30  35.33552370  025.18725571    0    0 2 9 0 0
110 2 0.00 0.0000 New Taxiway 1
112  35.33619464  025.18802746  35.33618959  025.18804567
111  35.33619464  025.18802746
111  35.33610365  025.18821973
111  35.33687699  025.18877855
111  35.33695009  025.18861211
112  35.33695009  025.18861211  35.33696284  025.18858899
112  35.33699901  025.18856564  35.33701755  025.18855675
111  35.33699901  025.18856564
112  35.33699901  025.18856564  35.33704377  025.18854419
111  35.33709391  025.18855520
111  35.33616344  025.18786230
112  35.33619683  025.18796817  35.33620416  025.18802202
111  35.33619683  025.18796817
114  35.33619683  025.18796817  35.33619961  025.18798858
110 1 0.00 0.0000 New Taxiway 1
111  35.33725210  025.18393613
111  35.33670413  025.18392401
111  35.33522782  025.18389136
111  35.33521260  025.18432047
111  35.33670211  025.18435652
111  35.33690813  025.18436151
112  35.33692396  025.18447819  35.33686537  025.18460329
113  35.33692396  025.18447819
110 1 0.00 30.0000 New Taxiway 5
111  35.33574447  025.18733593
111  35.33539786  025.18701469
111  35.33574971  025.18645217
112  35.33574971  025.18645217  35.33553487  025.18651069 20
112  35.33548813  025.18734924  35.33589451  025.18775394
111  35.33548813  025.18734924
112  35.33548813  025.18734924  35.33550450  025.18736555
112  35.33554151  025.18739799  35.33556075  025.18741418
111  35.33554151  025.18739799
112  35.33554151  025.18739799  35.33562398  025.18746366
112  35.33574526  025.18761766  35.33581229  025.18767400
111  35.33574526  025.18761766
111  35.33602130  025.18783192
111  35.33619683  025.18796817
112  35.33619683  025.18796817  35.33618951  025.18791432
111  35.33616344  025.18786230
111  35.33709391  025.18855520
112  35.33699901  025.18856564  35.33695425  025.18858709
111  35.33699901  025.18856564
111  35.33756329  025.18897613
111  35.33786090  025.18919264
111  35.33795450  025.18933130
111  35.33857607  025.19050465
112  35.33877399  025.19121036  35.33903192  025.19154545
111  35.33877399  025.19121036
111  35.33878439  025.19096811
112  35.33878439  025.19096811  35.33859103  025.19072734
111  35.33867934  025.19047164
111  35.33802617  025.18929020
111  35.33805053  025.18888705
111  35.33795765  025.18888705
111  35.33795004  025.18895611
111  35.33768225  025.18875691
111  35.33643491  025.18782908
111  35.33613893  025.18760891
111  35.33611048  025.18758775
112  35.33611048  025.18758775  35.33597697  025.18745809
111  35.33600988  025.18724291
112  35.33600988  025.18724291  35.33602220  025.18719305
112  35.33604308  025.18709746  35.33605289  025.18705091
111  35.33604308  025.18709746
112  35.33604308  025.18709746  35.33608219  025.18691198 20
113  35.33610150  025.18676611
110 1 0.00 120.0000 New Taxiway 3
111  35.33901282  025.18190958
112  35.33934719  025.18198063  35.33945196  025.18224843
111  35.33934719  025.18198063
113  35.33936948  025.18130020
110 1 0.00 273.0000 New Taxiway 2
111  35.33884036  025.19017041
111  35.33890449  025.18918199
112  35.33864704  025.18951286  35.33845947  025.18935682
111  35.33864704  025.18951286
111  35.33835499  025.18910055
111  35.33837049  025.18856471
111  35.33859688  025.18525200
111  35.33874177  025.18455286
112  35.33917051  025.18461240  35.33938824  025.18493063
111  35.33917051  025.18461240
111  35.33920569  025.18378911
111  35.33908175  025.18393283
111  35.33897791  025.18395746
112  35.33897791  025.18395746  35.33885733  025.18392461
111  35.33877526  025.18371315
111  35.33875014  025.18316292
111  35.33880206  025.18222672
111  35.33835711  025.18296649
111  35.33828968  025.18395548
111  35.33809651  025.18394882
111  35.33777541  025.18393776
111  35.33752413  025.18437346
111  35.33806202  025.18438826
111  35.33825981  025.18439370
111  35.33818003  025.18556395
111  35.33827890  025.18555756
111  35.33839139  025.18388475
