I
1050 Generated by WorldEditor 2.1.0r1

1   2324 0 0 CEA5 Hardisty
100 22.86 1 0 0.25 0 0 0 08  52.64664333 -111.39224135    0    0 1 0 0 0 26  52.64664696 -111.37871229    0    0 1 0 0 0
110 1 0.00 0.0000 New Taxiway 1
111  52.64644316 -111.37871779
111  52.64655627 -111.37871755
111  52.64655537 -111.37943722
111  52.64654269 -111.37943782
111  52.64640506 -111.37886249
111  52.64622499 -111.37856537
111  52.64550519 -111.37737770
111  52.64551540 -111.37733883
111  52.64556014 -111.37733873
111  52.64556326 -111.37646000
111  52.64582689 -111.37646190
111  52.64583116 -111.37770869
113  52.64628813 -111.37846176
130 Airport Boundary
111  52.64706324 -111.39565082
111  52.64623017 -111.39565035
111  52.64626718 -111.37920359
111  52.64595228 -111.37872945
111  52.64523220 -111.37873111
111  52.64522738 -111.37253758
113  52.64705199 -111.37253128
120 HS
111  52.64622499 -111.37856537 4
115  52.64628813 -111.37846176
120 Linear Feature 2
111  52.64663637 -111.37993835 1
111  52.64663577 -111.37924279
112  52.64663577 -111.37924279  52.64662442 -111.37912387 1
111  52.64657425 -111.37903085 1
115  52.64580090 -111.37775683
14  52.64537645 -111.37695140  16.40 0 Tower
1300  52.64576945 -111.37743323 -179.71 tie_down props Ramp 1
1301 A general_aviation 
1300  52.64576840 -111.37721245 -179.71 tie_down props Ramp 2
1301 A general_aviation 
1300  52.64576787 -111.37699254 -179.71 tie_down props Ramp 3
1301 A general_aviation 
1300  52.64576698 -111.37676380 -179.71 tie_down props Ramp 4
1301 A general_aviation 
1300  52.64571110 -111.37656159 -90.16 tie_down props Ramp 5
1301 A general_aviation 
1300  52.64562584 -111.37663024  -0.58 tie_down props Ramp 6
1301 A general_aviation 
1300  52.64562448 -111.37684165  -0.58 tie_down props Ramp 7
1301 A general_aviation 
1300  52.64562321 -111.37705163  -0.58 tie_down props Ramp 8
1301 A general_aviation 
18  52.64541173 -111.37716538 1 BCN
19  52.64625048 -111.37735616 1 WS-LIT
51 12320 Hardisty Traffic
99
