I
1050 Generated by WorldEditor 2.3.0r2

1   1538 0 0 KAUN Auburn Municipal
1302 flatten 1
100 22.86 1 0 0.00 0 2 0 7  38.95430088 -121.08820635   61   47 2 0 0 0 25  38.95534261 -121.07526532    0   73 2 0 0 0
110 2 0.00 0.0000 New Taxiway 97
111  38.95320321 -121.07890542
111  38.95320315 -121.07892836
111  38.95316319 -121.07892756
111  38.95316325 -121.07890462
111  38.95313335 -121.07890402
111  38.95313396 -121.07884205
111  38.95323189 -121.07884401
113  38.95323127 -121.07890599
110 2 0.00 0.0000 New Taxiway 95
111  38.95316110 -121.08351245
111  38.95316275 -121.08346264
111  38.95311692 -121.08345924
111  38.95311896 -121.08339792
111  38.95316479 -121.08340133
111  38.95316631 -121.08335550
111  38.95320640 -121.08335864
113  38.95320118 -121.08351559
110 1 0.00 0.0000 New Taxiway 117
111  38.95287507 -121.08173657
111  38.95287564 -121.08170575
111  38.95288026 -121.08145613
111  38.95288205 -121.08135972
111  38.95301367 -121.08136151
113  38.95300093 -121.08173605
110 1 0.00 0.0000 New Taxiway 116
111  38.95320165 -121.08154367
111  38.95305501 -121.08154494
111  38.95302519 -121.08154520
111  38.95302531 -121.08146319
111  38.95305124 -121.08146297
111  38.95305042 -121.08138654
111  38.95322588 -121.08138527
113  38.95322177 -121.08154350
110 2 0.00 0.0000 New Taxiway 115
111  38.95301393 -121.08135379
111  38.95301367 -121.08136151
111  38.95288205 -121.08135972
111  38.95266444 -121.08135675
113  38.95266478 -121.08134946
110 2 0.00 0.0000 New Taxiway 115
111  38.95301579 -121.08119306
111  38.95301573 -121.08120036
111  38.95266650 -121.08119560
111  38.95266656 -121.08118830
113  38.95271797 -121.08118882
110 2 0.00 0.0000 New Taxiway 113
111  38.95322588 -121.08138527
111  38.95305042 -121.08138654
111  38.95305006 -121.08135350
113  38.95322674 -121.08135207
110 2 0.00 0.0000 New Taxiway 111
111  38.95343693 -121.07912063
111  38.95343714 -121.07911669
111  38.95311698 -121.07907477
111  38.95311735 -121.07906768
111  38.95343750 -121.07910960
111  38.95343772 -121.07910536
111  38.95344506 -121.07910606
113  38.95344428 -121.07912132
110 2 0.00 0.0000 New Taxiway 94
111  38.95322195 -121.07936851
111  38.95322513 -121.07921732
111  38.95327244 -121.07921914
112  38.95327244 -121.07921914  38.95328846 -121.07918776
112  38.95341269 -121.07929648  38.95342372 -121.07943554
111  38.95341269 -121.07929648
112  38.95341269 -121.07929648  38.95340237 -121.07942410
112  38.95326927 -121.07937032  38.95323373 -121.07932038
113  38.95326927 -121.07937032
110 3 0.00 0.0000 New Taxiway 53
111  38.95370443 -121.07232708
111  38.95372614 -121.07206288
111  38.95450161 -121.07216401
111  38.95448959 -121.07231092
113  38.95447990 -121.07242821
110 3 0.00 0.0000 New Taxiway 52
111  38.95367121 -121.07275056
111  38.95369735 -121.07241286
111  38.95440599 -121.07250527
112  38.95447016 -121.07254620  38.95446925 -121.07256503
111  38.95447016 -121.07254620
113  38.95444484 -121.07285287
110 3 0.00 0.0000 New Taxiway 52
111  38.95363438 -121.07316390
111  38.95366359 -121.07284287
111  38.95443722 -121.07294519
113  38.95441087 -121.07326435
110 3 0.00 0.0000 New Taxiway 51
111  38.95358424 -121.07380902
111  38.95362707 -121.07325250
111  38.95440355 -121.07335295
113  38.95435790 -121.07390584
110 3 0.00 0.0000 New Taxiway 50
111  38.95430253 -121.07433808
111  38.95426379 -121.07433296
111  38.95365826 -121.07425303
112  38.95362343 -121.07422034  38.95362078 -121.07419900
111  38.95362343 -121.07422034
111  38.95361426 -121.07398839
111  38.95362530 -121.07393473
112  38.95362530 -121.07393473  38.95363166 -121.07390885
111  38.95365020 -121.07390976
111  38.95434755 -121.07400642
111  38.95432831 -121.07430743
114  38.95432831 -121.07430743  38.95432567 -121.07433513
110 3 0.00 0.0000 New Taxiway 49
111  38.95367862 -121.07445644
111  38.95367245 -121.07443699
111  38.95366781 -121.07439958
112  38.95373187 -121.07434858  38.95376314 -121.07434989
111  38.95373187 -121.07434858
111  38.95441344 -121.07443780
113  38.95449893 -121.07456392
110 2 0.00 0.0000 New Taxiway 48
111  38.95365696 -121.07426862
111  38.95365826 -121.07425303
111  38.95426379 -121.07433296
113  38.95426250 -121.07434855
110 2 0.00 0.0000 New Taxiway 47
111  38.95440849 -121.07247138
111  38.95370020 -121.07237827
111  38.95370162 -121.07236111
113  38.95440991 -121.07245421
110 2 0.00 0.0000 New Taxiway 47
111  38.95437503 -121.07289784
111  38.95366674 -121.07280473
111  38.95366818 -121.07278750
113  38.95437647 -121.07288061
110 2 0.00 0.0000 New Taxiway 47
111  38.95434148 -121.07330910
111  38.95363002 -121.07321678
111  38.95363144 -121.07319960
113  38.95434290 -121.07329192
110 2 0.00 0.0000 New Taxiway 47
111  38.95426940 -121.07395789
111  38.95426996 -121.07395121
111  38.95359810 -121.07386213
111  38.95359952 -121.07384495
111  38.95427138 -121.07393402
111  38.95427185 -121.07392825
111  38.95429672 -121.07393136
113  38.95429427 -121.07396100
110 2 0.00 0.0000 New Taxiway 47
111  38.95417012 -121.07487616
111  38.95417175 -121.07485559
111  38.95451204 -121.07490038
113  38.95451041 -121.07492095
110 2 0.00 0.0000 New Taxiway 47
111  38.95374506 -121.07527922
111  38.95374669 -121.07525865
111  38.95447340 -121.07535513
113  38.95447177 -121.07537571
110 2 0.00 0.0000 New Taxiway 46
111  38.95335730 -121.07594200
111  38.95335934 -121.07592269
111  38.95441726 -121.07606448
113  38.95441522 -121.07608379
110 2 0.00 0.0000 New Taxiway 45
111  38.95417312 -121.07478108
111  38.95418740 -121.07458714
111  38.95440961 -121.07461837
111  38.95439660 -121.07479502
113  38.95439533 -121.07481231
110 2 0.00 0.0000 New Taxiway 44
111  38.95413362 -121.07497570
