A
1000 Generated by Infinite Flight Airport Editing (World Parser)

1       14 1 0 VTY5 Klang Rayong
100    4.88   2   0 0.25 0 0 0 11   12.71044211  101.62886976    0.00    0.00 2  0 0 0 29   12.70921257  101.63370162    0.00    0.00 2  0 0 0
110   2 0.25 104.60 New Taxiway 17
111  12.71038760  101.62885774 
111  12.71036023  101.62894441 
111  12.71037117  101.62905731 
111  12.71041932  101.62886446 
111  12.71046454  101.62887645 
111  12.71041852  101.62905378 
111  12.71047869  101.62898205 
111  12.71049576  101.62888565 
112  12.71047208  101.62887793  12.71046340  101.62887391 
112  12.71046595  101.62885106  12.71046940  101.62883547 
111  12.71051631  101.62869762 
112  12.71074408  101.62852576  12.71079020  101.62849157 
112  12.71086111  101.62842120  12.71087107  101.62840602 
111  12.71088160  101.62838858 
111  12.71098066  101.62842844 
111  12.71105047  101.62822322 
111  12.71075264  101.62812679 
111  12.71069920  101.62830807 
111  12.71083400  101.62836624 
112  12.71081702  101.62840732  12.71080458  101.62842149 
112  12.71072322  101.62849350  12.71068798  101.62852113 
111  12.71047841  101.62868138 
112  12.71042673  101.62884687  12.71042327  101.62885750 
114  12.71040931  101.62886109  12.71040086  101.62886007 
110   2 0.25 104.60 turn 29R
111  12.70928429  101.63351306 
111  12.70923565  101.63370779 
111  12.70927173  101.63370989 
113  12.70929852  101.63361433 
110   2 0.25 104.60 turn 29L
111  12.70923513  101.63351936 
111  12.70917991  101.63358417 
111  12.70915836  101.63368688 
113  12.70918950  101.63369544 
130 Airport Boundary
111  12.71030779  101.62869455 
111  12.70996689  101.62999781 
111  12.70965636  101.63113243 
111  12.70930639  101.63265138 
111  12.70890066  101.63434937 
111  12.70916431  101.63453516 
111  12.70984992  101.63193560 
111  12.71036788  101.62997997 
111  12.71067208  101.62887164 
111  12.71050517  101.62879735 
111  12.71053932  101.62871025 
111  12.71071384  101.62878401 
111  12.71087104  101.62842696 
111  12.71103139  101.62847412 
111  12.71114000  101.62814757 
111  12.71054257  101.62795231 
111  12.71053247  101.62824628 
111  12.71081336  101.62837040 
111  12.71071980  101.62845900 
111  12.71051408  101.62837577 
111  12.71040495  101.62863397 
111  12.71046849  101.62866389 
113  12.71043770  101.62876969 
14   12.71034917  101.62880668    6 0 Viewpoint
15   12.71078693  101.62824983  22.61 Start
19   12.71032463  101.62906484 0 Windsock

99
