I
1050 Generated by WorldEditor 1.6.0r1

1   2090 1 0 UCFM Manas International
1302 city Bishkek
1302 country Kyrgyzstan
1302 iata_code FRU
1302 transition_alt 4400
1302 transition_level FL200
100 55.00 1 0 0.00 1 0 1 08  43.05798125  074.45209808    0    0 2 2 1 1 26  43.06455765  074.50293813    0    0 2 2 1 1
110 1 0.00 271.0000 New Taxiway 7
111  43.05434618  074.46540154
111  43.05441504  074.46538807
111  43.05412177  074.46302745
111  43.05574490  074.46263825
111  43.05577560  074.46267032
111  43.05605757  074.46500335
111  43.05635812  074.46493369
111  43.05635489  074.46491490
112  43.05645730  074.46481855  43.05649383  074.46475317
111  43.05645730  074.46481855
111  43.05656819  074.46459776
112  43.05656819  074.46459776  43.05660332  074.46452276
111  43.05661504  074.46442175
111  43.05662393  074.46441622
111  43.05649770  074.46347088
111  43.05693165  074.46264292
112  43.05704017  074.46233730  43.05706647  074.46222501
111  43.05705472  074.46212058
111  43.05706199  074.46211726
111  43.05600872  074.45393450
112  43.05600872  074.45393450  43.05596035  074.45254840
111  43.05686760  074.45240636
111  43.05719394  074.45232503
111  43.05772621  074.45219237
111  43.05770247  074.45207582
111  43.05672690  074.45231515
112  43.05672690  074.45231515  43.05582227  074.45264836
111  43.05592322  074.45395412
111  43.05621976  074.45629105
111  43.05617715  074.45633244
111  43.05595720  074.45637007
112  43.05590359  074.45630422  43.05588710  074.45623461
111  43.05590359  074.45630422
111  43.05585961  074.45604460
111  43.05581562  074.45605965
111  43.05585823  074.45631551
112  43.05585823  074.45631551  43.05586785  074.45638888
111  43.05571252  074.45641145
111  43.05577025  074.45687802
111  43.05592834  074.45684980
112  43.05597645  074.45691000  43.05598332  074.45696455
111  43.05597645  074.45691000
111  43.05595583  074.45691564
111  43.05599020  074.45720348
112  43.05602594  074.45723734  43.05604243  074.45729002
111  43.05602594  074.45723734
111  43.05605206  074.45732765
112  43.05605206  074.45732765  43.05606305  074.45737092
111  43.05596545  074.45741983
111  43.05597920  074.45751954
111  43.05611941  074.45747815
112  43.05622389  074.45760420  43.05624038  074.45774341
111  43.05622389  074.45760420
111  43.05644796  074.45931618
111  43.05633523  074.45947609
112  43.05633523  074.45947609  43.05630774  074.45950996
111  43.05624176  074.45952124
111  43.05625413  074.45962284
111  43.05631186  074.45960967
112  43.05631186  074.45960967  43.05634211  074.45960402
111  43.05645345  074.45965294
111  43.05650157  074.45969432
111  43.05662254  074.46059547
112  43.05662254  074.46059547  43.05665415  074.46090589
112  43.05669539  074.46159633  43.05673800  074.46195754
111  43.05669539  074.46159633
111  43.05676825  074.46223409
112  43.05660329  074.46285117  43.05641084  074.46317663
111  43.05660329  074.46285117
111  43.05638060  074.46314088
112  43.05632836  074.46308444  43.05633111  074.46301107
111  43.05632836  074.46308444
111  43.05632973  074.46299414
111  43.05624313  074.46300355
111  43.05623763  074.46323871
112  43.05623763  074.46323871  43.05623489  074.46343060
112  43.05608505  074.46377487  43.05599982  074.46391597
111  43.05596133  074.46375794
111  43.05586510  074.46296780
112  43.05586510  074.46296780  43.05584861  074.46265363
111  43.05586373  074.46238649
111  43.05580050  074.46240154
111  43.05579225  074.46249748
111  43.05575926  074.46251630
111  43.05400246  074.46293204
111  43.05404553  074.46326817
112  43.05416929  074.46387447  43.05422428  074.46429398
111  43.05419418  074.46447663
111  43.05424713  074.46482584
113  43.05427027  074.46482629
111  43.05641273  074.46342363
111  43.05653530  074.46435802
112  43.05650551  074.46451949  43.05647229  074.46460729
111  43.05650551  074.46451949
111  43.05643105  074.46469508
112  43.05643105  074.46469508  43.05639211  074.46478287
111  43.05633139  074.46480639
111  43.05612405  074.46485499
112  43.05609656  074.46483775  43.05609197  074.46481580
111  43.05609656  074.46483775
111  43.05600377  074.46414480
112  43.05602553  074.46407896  43.05605074  074.46406014
111  43.05606333  074.46401781
111  43.05611145  074.46384850
111  43.05620424  074.46358511
112  43.05633597  074.46331076  43.05641616  074.46319318
111  43.05633597  074.46331076
111  43.05663381  074.46291098
112  43.05663381  074.46291098  43.05670484  074.46281065
111  43.05675180  074.46264603
113  43.05674667  074.46279417
111  43.05673348  074.46158778
112  43.05673348  074.46158778  43.05668536  074.46119584
112  43.05665443  074.46059225  43.05661434  074.46027399
111  43.05665443  074.46059225
111  43.05620767  074.45720588
111  43.05619966  074.45696759
111  43.05617560  074.45696602
111  43.05618362  074.45717296
112  43.05618362  074.45717296  43.05618820  074.45725135
111  43.05612290  074.45733444
112  43.05609656  074.45728427  43.05608510  074.45725448
111  43.05606677  074.45718237
111  43.05598086  074.45650196
112  43.05598086  074.45650196  43.05597742  074.45645023
111  43.05599804  074.45644082
111  43.05618591  074.45641103
111  43.05623631  074.45643141
111  43.05696831  074.46216786
112  43.05691103  074.46247514  43.05683314  074.46265073
111  43.05691103  074.46247514
111  43.05678846  074.46272912
111  43.05680106  074.46240615
112  43.05680106  074.46240615  43.05681252  074.46231679
113  43.05680564  074.46222429
110 1 0.00 271.0000 New Taxiway 2
111  43.05840885  074.47085178
111  43.05857244  074.47105383
111  43.05873211  074.47116211
111  43.05879904  074.47117928
111  43.05979761  074.47095017
112  43.05979761  074.47095017  43.06001072  074.47073703
111  43.06006575  074.47046780
111  43.06007512  074.47046460
111  43.05938470  074.46512310
111  43.05937182  074.46512470
112  43.05886716  074.46463112  43.05840230  074.46459746
111  43.05886716  074.46463112
111  43.05886481  074.46461349
111  43.05876736  074.46463617
111  43.05805220  074.46480259
112  43.05805220  074.46480259  43.05769926  074.46491922
113  43.05770561  074.46543559
111  43.05887035  074.46474259
112  43.05887035  074.46474259  43.05927670  074.46481965
111  43.05931323  074.46527790
111  43.05938020  074.46526124
111  43.06002245  074.47016869
111  43.05994635  074.47019368
111  43.05995701  074.47030824
112  43.05968763  074.47083940  43.05935432  074.47107686
111  43.05968763  074.47083940
111  43.05881556  074.47104144
112  43.05868619  074.47101228  43.05862227  074.47096229
111  43.05868619  074.47101228
111  43.05855531  074.47086855
112  43.05855531  074.47086855  43.05850661  074.47081440
111  43.05849139  074.47073941
111  43.05779891  074.46541335
112  43.05807590  074.46492803  43.05835898  074.46479889
113  43.05807590  074.46492803
110 1 0.00 271.0000 New Taxiway 23
111  43.05845983  074.47290391
111  43.05823969  074.47197445
112  43.05804532  074.47177894  43.05787320  074.47178214
111  43.05804532  074.47177894
111  43.05779592  074.47179496
111  43.05791067  074.47270039
112  43.05795516  074.47281257  43.05797844  074.47284114
