I
1050 Generated by WorldEditor 2.1.0r1

1     29 0 0 MPMF Miraflores
100 13.00 1 0 0.00 0 0 0 14  08.34150714 -078.13338991    0    0 0 0 0 0 32  08.33563746 -078.12994898    0    0 0 0 0 0
110 1 0.00 0.0000 New Taxiway 3
111  08.33736112 -078.13092530
112  08.33747602 -078.13088983  08.33750039 -078.13085587
111  08.33747602 -078.13088983
111  08.33754612 -078.13077358
112  08.33754612 -078.13077358  08.33758833 -078.13070234
111  08.33753341 -078.13065298
111  08.33740397 -078.13056253
111  08.33754077 -078.13032412
111  08.33823476 -078.13072833
111  08.33809181 -078.13097836
111  08.33773650 -078.13077783
112  08.33762472 -078.13082079  08.33757882 -078.13088830
111  08.33762472 -078.13082079
111  08.33755596 -078.13093773
112  08.33755596 -078.13093773  08.33753736 -078.13097613
113  08.33757203 -078.13104547
110 1 0.00 0.0000 New Taxiway 2
111  08.33566086 -078.12991120
111  08.33571265 -078.12982312
111  08.33589363 -078.12992775
113  08.33592855 -078.13006800
110 1 0.00 0.0000 New Taxiway 1
111  08.34144142 -078.13350302
111  08.34128252 -078.13340882
111  08.34121027 -078.13324671
113  08.34149114 -078.13341468
130 Airport Boundary 42
111  08.33704165 -078.13107442
111  08.33477978 -078.12970525
111  08.33513395 -078.12882488
111  08.33636317 -078.12957079
111  08.33703322 -078.12967721
111  08.33859442 -078.13063891
111  08.33901081 -078.13111779
111  08.33988979 -078.13183539
111  08.34167367 -078.13287130
111  08.34234960 -078.13355199
111  08.34334355 -078.13402530
111  08.34304996 -078.13446759
113  08.34092675 -078.13339044
14  08.33746288 -078.13038491   9.84 0 New Tower Viewpoint 42
1300  08.33764765 -078.13055532 -119.62 tie_down jets|turboprops Tie Down 04
1301 A general_aviation 
1300  08.33779993 -078.13063144 -118.87 tie_down jets|turboprops Tie Down 03
1301 A general_aviation 
1300  08.33794298 -078.13070921 -120.22 tie_down jets|turboprops Tie Down 02
1301 A general_aviation 
1300  08.33808333 -078.13079339 -120.23 tie_down jets|turboprops Tie Down 01
1301 A general_aviation 
18  08.33746288 -078.13038491 1 New Airport Beacon 17
99
