I
1050 Generated by WorldEditor 2.1.0r1

1    456 1 0 LIMS Piacenza San Damiano
1302 city Piacenza
1302 country Italy
1302 datum_lat 44.913863889
1302 datum_lon 9.720586111
1302 iata_code QPZ
1302 icao_code LIMS
1302 region_code LI
1302 state Emilia-Romagna
1302 transition_alt 6000
100 45.11 1 0 0.25 1 3 0 12  44.92095202  009.70558994  255  131 3 3 0 0 30  44.90806692  009.73856498  246  160 3 4 1 1
110 2 0.00 84.0000 New Taxiway 95
111  44.92322045  009.70746799
111  44.92311254  009.70742710
111  44.92301615  009.70750794
111  44.92296526  009.70776345
111  44.92297849  009.70779089
111  44.92319310  009.70787589
111  44.92320083  009.70791396
111  44.92321256  009.70791818
111  44.92323561  009.70798543
111  44.92324850  009.70799606
111  44.92325506  009.70805215
111  44.92328202  009.70811058
111  44.92328866  009.70811349
111  44.92330635  009.70803305
112  44.92335408  009.70811161  44.92335641  009.70817587
111  44.92335408  009.70811161
112  44.92335408  009.70811161  44.92335748  009.70820054
112  44.92346829  009.70813407  44.92349816  009.70803010
111  44.92346829  009.70813407
111  44.92350499  009.70814872
111  44.92354110  009.70808209
111  44.92354463  009.70806604
111  44.92342168  009.70801211
111  44.92341685  009.70803419
111  44.92336363  009.70801085
111  44.92336847  009.70798877
111  44.92331210  009.70796404
111  44.92332146  009.70792156
111  44.92333003  009.70792532
111  44.92332337  009.70795567
111  44.92363279  009.70809133
111  44.92368881  009.70783649
111  44.92337941  009.70770077
111  44.92337275  009.70773111
111  44.92336415  009.70772734
111  44.92337349  009.70768485
111  44.92338209  009.70768864
111  44.92341411  009.70754298
111  44.92340379  009.70753883
111  44.92336181  009.70756661
111  44.92333393  009.70760762
111  44.92331410  009.70762004
113  44.92329464  009.70763221
110 2 0.00 84.0000 New Taxiway 95
111  44.92242522  009.70705970
111  44.92251534  009.70733313
111  44.92261677  009.70738284
111  44.92271662  009.70731482
111  44.92277057  009.70713509
111  44.92278928  009.70713926
111  44.92280015  009.70712959
111  44.92280395  009.70714212
111  44.92283532  009.70717775
111  44.92288299  009.70719591
111  44.92288932  009.70719181
111  44.92286452  009.70711521
112  44.92293718  009.70712881  44.92296926  009.70717450
111  44.92293718  009.70712881
112  44.92293718  009.70712881  44.92298170  009.70719187
112  44.92303290  009.70703799  44.92300607  009.70693238
111  44.92303290  009.70703799
111  44.92306716  009.70701434
111  44.92306261  009.70693069
111  44.92305767  009.70691540
111  44.92294058  009.70699099
111  44.92294741  009.70701200
111  44.92289673  009.70704472
111  44.92288990  009.70702371
111  44.92283622  009.70705837
111  44.92282314  009.70701791
111  44.92283131  009.70701263
111  44.92284067  009.70704152
111  44.92313531  009.70685121
111  44.92305673  009.70660855
111  44.92276209  009.70679879
111  44.92277145  009.70682767
111  44.92276326  009.70683295
111  44.92275016  009.70679250
111  44.92275835  009.70678723
111  44.92271344  009.70664852
111  44.92270379  009.70665514
111  44.92268563  009.70671539
111  44.92268422  009.70677220
111  44.92270580  009.70683889
111  44.92269433  009.70684817
113  44.92268219  009.70689525
110 2 0.00 84.0000 New Taxiway 95
111  44.91347967  009.71230243
111  44.91386116  009.71210865
111  44.91361064  009.71190509
111  44.91361493  009.71186696
111  44.91361835  009.71184846
111  44.91364602  009.71180718
111  44.91366266  009.71174153
111  44.91366028  009.71173230
111  44.91360423  009.71176104
112  44.91361966  009.71165987  44.91365449  009.71161838
111  44.91361966  009.71165987
112  44.91361966  009.71165987  44.91366775  009.71160227
112  44.91356326  009.71151784  44.91348657  009.71154712
111  44.91356326  009.71151784
111  44.91354933  009.71146771
111  44.91348992  009.71146739
111  44.91347873  009.71147313
111  44.91352267  009.71164400
111  44.91353804  009.71163608
111  44.91355706  009.71171005
111  44.91354169  009.71171796
111  44.91356184  009.71179630
111  44.91353223  009.71181146
111  44.91352916  009.71179955
111  44.91355030  009.71178868
111  44.91343967  009.71135868
111  44.91326210  009.71144978
111  44.91337267  009.71187979
111  44.91339381  009.71186894
111  44.91339688  009.71188088
111  44.91336728  009.71189607
111  44.91336421  009.71188411
111  44.91326271  009.71193617
111  44.91326661  009.71195029
111  44.91330766  009.71198070
111  44.91334765  009.71198726
111  44.91339180  009.71196462
111  44.91341532  009.71195255
111  44.91349149  009.71224874
113  44.91347739  009.71229265
110 2 0.00 84.0000 New Taxiway 95
111  44.91284019  009.71286013
111  44.91246058  009.71305943
111  44.91246345  009.71307098
111  44.91249509  009.71308690
111  44.91254701  009.71328036
111  44.91253133  009.71332467
111  44.91250173  009.71339670
111  44.91250364  009.71341760
111  44.91247618  009.71345917
111  44.91245987  009.71352498
111  44.91246230  009.71353419
111  44.91251821  009.71350488
112  44.91250328  009.71360620  44.91246867  009.71364804
111  44.91250328  009.71360620
112  44.91250328  009.71360620  44.91245548  009.71366429
112  44.91256040  009.71374766  44.91263694  009.71371761
111  44.91256040  009.71374766
111  44.91257459  009.71379764
111  44.91263400  009.71379736
111  44.91264516  009.71379151
111  44.91260035  009.71362109
111  44.91258502  009.71362916
111  44.91256562  009.71355540
111  44.91258096  009.71354732
111  44.91256041  009.71346919
111  44.91258995  009.71345373
111  44.91259307  009.71346561
111  44.91257199  009.71347669
111  44.91268479  009.71390555
111  44.91286191  009.71381267
111  44.91274915  009.71338380
111  44.91272807  009.71339486
111  44.91272494  009.71338295
111  44.91275446  009.71336746
