I
1050 Generated by WorldEditor 2.2.0r2

1     21 1 0 KBFI Boeing Fld King Co Intl
100 30.48 1 0 0.00 0 2 0 14L  47.53802325 -122.30748044   76    0 1 0 0 1 32R  47.52918956 -122.30001320  115    0 1 0 0 1
100 60.96 1 0 0.00 0 3 1 14R  47.54054661 -122.31136968    0  279 3 9 0 0 32L  47.51673185 -122.29124022  271   58 3 0 0 1
110 2 0.00 0.0000 New Taxiway 9
111  47.52448232 -122.29969024
111  47.52445580 -122.29974069
111  47.52442935 -122.29981766
111  47.52418048 -122.30065896
111  47.52414086 -122.30070965
111  47.52408706 -122.30067294
111  47.52438258 -122.29968024
112  47.52438258 -122.29968024  47.52440068 -122.29963243
113  47.52441122 -122.29962690
110 2 0.00 0.0000 New Taxiway 253
111  47.52484524 -122.29507098
111  47.52477419 -122.29501097
111  47.52481557 -122.29490470
113  47.52488635 -122.29496464
110 1 0.00 0.0000 New Taxiway 133
111  47.53940690 -122.31788794
111  47.53940741 -122.31718127
111  47.53950547 -122.31717618
111  47.53950383 -122.31782343
111  47.53950366 -122.31789244
111  47.53948363 -122.31789151
111  47.53945346 -122.31789010
113  47.53942320 -122.31788869
110 1 0.00 0.0000 New Taxiway 131
111  47.53977673 -122.31835434
111  47.53953525 -122.31835065
111  47.53953688 -122.31816383
111  47.53965538 -122.31816584
111  47.53965674 -122.31797156
111  47.53953736 -122.31797060
111  47.53953751 -122.31782348
111  47.53963072 -122.31782334
111  47.53963110 -122.31775729
112  47.53964182 -122.31773241  47.53964970 -122.31772374
111  47.53964182 -122.31773241
111  47.53963637 -122.31772348
111  47.53961814 -122.31772330
111  47.53961746 -122.31763849
111  47.53961206 -122.31762224
111  47.53964369 -122.31762168
111  47.53964449 -122.31751927
111  47.53980416 -122.31752082
113  47.53980298 -122.31835961
110 2 0.00 0.0000 New Taxiway 123
111  47.54568507 -122.31302693
111  47.54563884 -122.31310703
111  47.54558667 -122.31304452
113  47.54563347 -122.31296243
110 1 0.00 0.0000 New Taxiway 82
111  47.51717525 -122.29394668
111  47.51751426 -122.29423732
111  47.51741996 -122.29453483
111  47.51709460 -122.29563955
111  47.51670542 -122.29537147
111  47.51667397 -122.29527102
111  47.51666738 -122.29526596
113  47.51702173 -122.29434549
110 2 0.00 0.0000 New Taxiway 30
111  47.52248262 -122.29346359
111  47.52245285 -122.29353398
111  47.52240412 -122.29349285
113  47.52243176 -122.29341985
110 2 0.00 0.0000 New Taxiway 30
111  47.52266760 -122.29368659
111  47.52263718 -122.29375792
111  47.52258788 -122.29371746
113  47.52261633 -122.29364446
110 2 0.00 0.0000 New Taxiway 29
111  47.52259129 -122.29345978
111  47.52264517 -122.29331414
111  47.52289093 -122.29352105
111  47.52292292 -122.29354799
113  47.52286693 -122.29369107
110 2 0.00 0.0000 New Taxiway 28
111  47.53452528 -122.30199435
111  47.53450435 -122.30190337
111  47.53459362 -122.30185704
113  47.53461547 -122.30194813
110 2 0.00 0.0000 New Taxiway 27
111  47.52052621 -122.29731057
111  47.52052621 -122.29720726
111  47.52059429 -122.29720534
113  47.52059448 -122.29730991
110 1 0.00 0.0000 New Taxiway 14
111  47.54088772 -122.31048657
111  47.54068336 -122.31101969
111  47.54038395 -122.31076631
111  47.54042440 -122.31076649
112  47.54042440 -122.31076649  47.54055082 -122.31075848
111  47.54061276 -122.31061162
111  47.54071763 -122.31034413
113  47.54080069 -122.31041369
110 2 0.00 0.0000 New Taxiway 13
111  47.53962788 -122.30643372
111  47.53957628 -122.30652822
111  47.53950108 -122.30644062
113  47.53955246 -122.30634622
110 2 0.00 0.0000 New Taxiway 12
111  47.52833133 -122.29789573
111  47.52873665 -122.29823962
111  47.53258486 -122.30149876
111  47.53248619 -122.30175214
111  47.53192178 -122.30127719
111  47.53004022 -122.29969045
111  47.53000027 -122.29965093
111  47.52996266 -122.29962497
111  47.52914705 -122.29893821
111  47.52912886 -122.29891336
111  47.52891870 -122.29874080
113  47.52822552 -122.29815849
110 2 0.00 0.0000 New Taxiway 11
