I
1050 Generated by WorldEditor 2.1.0r1

1    177 0 0 XLLJ Gromovo
1302 city Gromovo
1302 country Russia
1302 datum_lat 60.71448
1302 datum_lon 30.11188
1302 icao_code XLLJ
1302 state Leningrad Oblast
100 36.00 2 0 0.00 0 1 0 11  60.72019615  030.09217399    0    0 3 0 0 0 29  60.70877998  030.13155091    0    0 3 0 0 0
110 2 0.00 0.0000 New Taxiway 20
111  60.70950034  030.12708970
111  60.70965524  030.12654731
111  60.70932494  030.12614719
111  60.70930434  030.12617514
111  60.70929082  030.12613747
111  60.70929701  030.12611263
111  60.70925531  030.12605831
112  60.70913598  030.12598683  60.70910681  030.12600316
111  60.70913598  030.12598683
111  60.70879305  030.12646352
111  60.70876141  030.12642853
111  60.70860411  030.12593522
111  60.70858306  030.12592637
111  60.70854896  030.12580245
111  60.70851990  030.12580709
111  60.70844240  030.12558521
111  60.70841007  030.12562808
111  60.70871361  030.12650918
113  60.70892630  030.12641531
110 1 0.00 0.0000 New Taxiway 19
111  60.70922333  030.12580375
111  60.70924572  030.12583862
113  60.70927037  030.12573786
110 2 0.00 0.0000 New Taxiway 18
111  60.70763826  030.12305777
111  60.70878466  030.12642740
111  60.70921002  030.12581844
111  60.70922056  030.12583873
111  60.70920414  030.12591358
111  60.70921877  030.12593274
111  60.70921115  030.12596113
111  60.70955386  030.12637346
111  60.70976468  030.12662711
111  60.70975706  030.12665958
111  60.70980215  030.12671556
111  60.70978460  030.12677574
111  60.70982955  030.12683183
111  60.70981144  030.12689890
111  60.70985581  030.12695301
111  60.70982183  030.12708308
111  60.70991727  030.12718727
111  60.71015310  030.12640918
111  60.71004782  030.12628794
111  60.71001176  030.12641621
111  60.70996553  030.12636083
111  60.70994700  030.12642344
111  60.70989963  030.12636477
111  60.70988105  030.12643059
111  60.70983642  030.12637617
111  60.70982584  030.12641249
111  60.70961797  030.12616002
111  60.70927037  030.12573786
111  60.70797907  030.12195290
111  60.70792021  030.12203230
111  60.70793046  030.12206541
111  60.70788968  030.12212488
111  60.70790672  030.12218223
111  60.70785023  030.12227067
111  60.70787066  030.12233144
111  60.70782187  030.12239273
111  60.70783487  030.12242618
111  60.70778026  030.12250435
111  60.70779716  030.12256626
111  60.70775226  030.12262701
111  60.70776288  030.12266283
111  60.70771976  030.12272330
111  60.70773652  030.12278339
111  60.70769481  030.12284567
111  60.70770528  030.12287899
111  60.70766246  030.12294107
113  60.70767957  030.12300063
110 1 0.00 0.0000 New Taxiway 17
111  60.70737500  030.12757567
112  60.70737500  030.12757567  60.70743321  030.12759073
111  60.70750729  030.12771303
111  60.70742775  030.12714940
112  60.70742775  030.12714940  60.70739385  030.12724881
111  60.70735517  030.12726345
111  60.70717899  030.12724323
113  60.70718018  030.12757309
110 1 0.00 0.0000 New Taxiway 17
111  60.70736420  030.12669905
111  60.70727684  030.12607997
111  60.70724747  030.12614616
111  60.70725705  030.12617809
111  60.70721684  030.12623315
111  60.70720204  030.12620574
111  60.70710660  030.12619601
111  60.70710010  030.12649676
111  60.70723770  030.12652672
114  60.70723770  030.12652672  60.70730328  030.12655533
110 1 0.00 0.0000 New Taxiway 17
111  60.70747506  030.12666587
111  60.70748749  030.12652911
111  60.70772890  030.12627150
111  60.70770598  030.12617498
111  60.70773149  030.12607219
111  60.70764844  030.12575966
111  60.70744832  030.12598371
111  60.70742308  030.12597889
113  60.70737232  030.12592508
110 1 0.00 0.0000 New Taxiway 17
111  60.70691871  030.12547554
111  60.70708500  030.12536141
112  60.70708500  030.12536141  60.70713806  030.12536141
111  60.70718923  030.12545913
111  60.70709514  030.12475200
111  60.70706735  030.12476510
112  60.70706735  030.12476510  60.70706219  030.12481782
111  60.70703057  030.12485475
113  60.70684935  030.12498016
110 1 0.00 0.0000 New Taxiway 16
111  60.70714055  030.12463754
111  60.70720195  030.12459842
113  60.70714813  030.12453293
110 1 0.00 0.0000 New Taxiway 16
111  60.70708487  030.12467870
111  60.70712940  030.12463958
113  60.70708712  030.12462070
110 1 0.00 0.0000 New Taxiway 16
111  60.70709381  030.12451306
111  60.70713589  030.12451746
113  60.70710209  030.12446836
110 2 0.00 0.0000 New Taxiway 15
111  60.70753554  030.12203103
111  60.70763725  030.12171055
111  60.70760006  030.12165320
111  60.70753795  030.12183726
111  60.70747577  030.12189500
111  60.70728761  030.12192342
111  60.70722309  030.12185164
111  60.70721792  030.12143435
111  60.70719265  030.12143152
111  60.70719019  030.12136874
111  60.70713110  030.12139122
111  60.70712852  030.12174146
111  60.70716266  030.12180163
112  60.70716266  030.12180163  60.70717985  030.12194095
111  60.70710784  030.12195056
111  60.70690073  030.12198183
112  60.70690073  030.12198183  60.70683420  030.12196963
111  60.70682354  030.12184745
111  60.70677458  030.12185541
112  60.70677458  030.12185541  60.70677074  030.12197047
111  60.70670571  030.12201459
111  60.70654644  030.12204135
111  60.70644198  030.12175898
111  60.70587958  030.12184709
111  60.70586938  030.12151136
111  60.70582898  030.12151300
111  60.70583143  030.12145602
111  60.70580932  030.12138670
111  60.70556195  030.12146365
111  60.70558066  030.12189679
111  60.70493679  030.12200759
111  60.70487610  030.12223955
111  60.70489510  030.12282268
111  60.70469473  030.12286615
111  60.70470385  030.12305672
111  60.70497594  030.12300545
111  60.70534195  030.12310068
111  60.70534799  030.12332927
111  60.70620370  030.12321108
111  60.70625106  030.12323657
111  60.70625995  030.12320896
111  60.70628427  030.12321880
111  60.70630156  030.12316131
