I
1050 Generated by WorldEditor 2.2.0r2

1     38 0 0 PFKT Brevig Mission
100 45.72 5 0 0.00 0 0 0 05  65.32981761 -166.47497688    0    0 0 0 0 0 23  65.33402569 -166.46077010    0    0 0 0 0 0
100 45.72 5 0 0.00 0 0 0 12  65.33397324 -166.47347922    0    0 0 0 0 0 30  65.32768952 -166.45526097    0    0 0 0 0 0
110 2 0.00 0.0000 New Taxiway 4
111  65.33051508 -166.47185759
111  65.33051235 -166.47171378
111  65.33026679 -166.47130850
111  65.33019721 -166.47151441
111  65.33004851 -166.47125620
111  65.33002668 -166.47130523
111  65.32990936 -166.47110259
111  65.32994346 -166.47094570
112  65.32992027 -166.47083458  65.32989981 -166.47079862
112  65.32986570 -166.47075287  65.32984524 -166.47072345
111  65.32982887 -166.47073979
111  65.32966379 -166.47045871
112  65.32965561 -166.47032797  65.32967334 -166.47027894
111  65.32976884 -166.47001420
111  65.32996529 -166.47032797
112  65.32993118 -166.47044890  65.32992573 -166.47047832
111  65.32993118 -166.47050446
112  65.32999394 -166.47064174  65.33001577 -166.47068750
111  65.33004442 -166.47063193
111  65.33011399 -166.47039334
111  65.33039503 -166.47089014
111  65.33031863 -166.47113854
111  65.33056692 -166.47155690
113  65.33060785 -166.47154383
110 2 0.00 0.0000 New Taxiway 2
112  65.33079005 -166.47440667  65.33080380 -166.47435490
111  65.33079005 -166.47440667
112  65.33079005 -166.47440667  65.33079791 -166.47439255
111  65.33088827 -166.47404583
112  65.33087190 -166.47375558  65.33081297 -166.47365753
111  65.33087190 -166.47375558
112  65.33087190 -166.47375558  65.33087518 -166.47375166
112  65.33060669 -166.47334767  65.33060178 -166.47334767
111  65.33060669 -166.47334767
112  65.33060669 -166.47334767  65.33057886 -166.47330845
111  65.33051011 -166.47335160
111  65.33074257 -166.47260244
111  65.33075240 -166.47282993
111  65.33098323 -166.47323000
112  65.33117149 -166.47315940  65.33124680 -166.47292014
111  65.33117149 -166.47315940
112  65.33117149 -166.47315940  65.33117640 -166.47313194
112  65.33124025 -166.47290837  65.33124352 -166.47289661
111  65.33124025 -166.47290837
112  65.33124025 -166.47290837  65.33126644 -166.47278286
111  65.33132702 -166.47286131
111  65.33176085 -166.47358692
111  65.33157006 -166.47425740
111  65.33168554 -166.47444982
111  65.33162049 -166.47466961
111  65.33150450 -166.47446629
111  65.33122727 -166.47534735
113  65.33078313 -166.47450696
110 5 0.00 0.0000 New Taxiway 1
111  65.33166097 -166.46793806
112  65.33166504 -166.46765504  65.33165655 -166.46743137
111  65.33162023 -166.46742081
111  65.33175059 -166.46623014
112  65.33197463 -166.46642533  65.33207930 -166.46641178
111  65.33214573 -166.46623990
111  65.33230052 -166.46749888
112  65.33230460 -166.46771359  65.33232440 -166.46790337
111  65.33240021 -166.46814681
111  65.33217424 -166.46902137
112  65.33201130 -166.46890426  65.33192643 -166.46891103
113  65.33185243 -166.46898233
130 Airport Boundary 5
111  65.33282791 -166.47560994
111  65.33041949 -166.47665892
111  65.32933692 -166.47511463
111  65.32593107 -166.45687498
111  65.32764616 -166.45463145
111  65.32861926 -166.45468972
111  65.33360639 -166.45876790
111  65.33431392 -166.46066152
113  65.33431392 -166.47338638
120 Linear Feature 3
111  65.33150450 -166.47446629 22
115  65.33157006 -166.47425740
1300  65.33155286 -166.47436992 143.04 hangar props Hangar
1301 A none 
1300  65.33008708 -166.47089725 314.63 tie_down props Fuel
1301 A none 
1300  65.33153321 -166.47348348 236.84 tie_down props GA 02
1301 A none 
1300  65.33119917 -166.47470343 144.66 tie_down props GA 01
1301 A none 
18  65.33392734 -166.46372490 1 BCN
51 12300 CTAF
99
