I
1050 Generated by WorldEditor

1     77 0 0 PHHN Hana
1302 city Hana
1302 country US
1302 datum_lat 20.7956372
1302 datum_lon -156.0144379
1302 faa_code HNM
1302 iata_code HNM
1302 icao_code PHHN
1302 region_code PH
1302 state Hawaii
1302 transition_alt 18000
1302 transition_level 18000
100 30.48 1 0 1.00 0 2 0 8  20.79566027 -156.01977486    0    0 2 0 0 0 26  20.79565511 -156.00919438    0    0 2 0 0 0
110 2 0.00 0.0000 New Taxiway 2
111  20.79455954 -156.01454303
111  20.79444806 -156.01454129
111  20.79445032 -156.01435977
113  20.79456216 -156.01436393
110 1 1.00 0.0000 New Taxiway 65
111  20.79551796 -156.01603846 3 102
112  20.79537405 -156.01579159  20.79524836 -156.01570512
111  20.79537405 -156.01579159 3 102
111  20.79512019 -156.01562853
111  20.79459201 -156.01529416
111  20.79459883 -156.01422009
111  20.79452830 -156.01421099
111  20.79452913 -156.01359413
111  20.79496791 -156.01359954
111  20.79496683 -156.01386209
112  20.79496683 -156.01386209  20.79496598 -156.01391925
112  20.79508605 -156.01394792  20.79516252 -156.01389587
111  20.79508605 -156.01394792 3 102
111  20.79540155 -156.01376069 3 102
112  20.79551769 -156.01353937  20.79555397 -156.01337942
111  20.79551769 -156.01353937
112  20.79551769 -156.01353937  20.79555093 -156.01337345
111  20.79565065 -156.01376347
111  20.79551866 -156.01405741 3 102
112  20.79532677 -156.01393784  20.79518726 -156.01400844
111  20.79532677 -156.01393784 3 102
111  20.79498469 -156.01414761 3 102
112  20.79486719 -156.01432589  20.79484681 -156.01442128
111  20.79486719 -156.01432589 3 102
111  20.79486310 -156.01460503
112  20.79486310 -156.01460503  20.79486395 -156.01465221 3 102
112  20.79499376 -156.01472085  20.79506047 -156.01472925 3 102
111  20.79539965 -156.01473178 3 102
112  20.79551353 -156.01464722  20.79553701 -156.01458968
111  20.79551353 -156.01464722
111  20.79553757 -156.01459920
111  20.79567790 -156.01479910
111  20.79551807 -156.01494783 3 102
