I
1050 Generated by WorldEditor 2.2.0r2

1    335 1 0 KFAT Fresno Yosemite Intl
100 45.72 1 0 0.00 0 2 1 11R  36.78306254 -119.73243695    0  304 3 0 0 1 29L  36.77033591 -119.71013774    0  306 3 0 0 1
100 45.72 1 0 0.00 1 3 1 11L  36.78400343 -119.73010257    0  304 3 0 1 1 29R  36.76883689 -119.70353146   96  259 3 2 1 1
110 2 0.00 0.0000 New Taxiway 149
111  36.77617366 -119.72670124
111  36.77619535 -119.72668174
111  36.77617088 -119.72663873
111  36.77619407 -119.72661857
111  36.77624578 -119.72670767
113  36.77620055 -119.72674759
110 2 0.00 0.0000 New Taxiway 17
112  36.78513812 -119.72695516  36.78511984 -119.72697168
112  36.78508105 -119.72694375  36.78506781 -119.72692093
112  36.78509018 -119.72687250  36.78510846 -119.72685597
114  36.78514725 -119.72688390  36.78516048 -119.72690673
110 2 0.00 0.0000 New Taxiway 16
111  36.78530845 -119.72655373
111  36.78537519 -119.72649278
111  36.78545541 -119.72663579
113  36.78538708 -119.72669389
110 2 0.00 0.0000 New Taxiway 15
111  36.78048693 -119.73182603
111  36.78053331 -119.73178530
111  36.78061534 -119.73193174
113  36.78056967 -119.73197111
110 2 0.00 0.0000 New Taxiway 14
111  36.78388588 -119.72044143
111  36.78388628 -119.72009954
111  36.78402253 -119.72010055
113  36.78402213 -119.72044243
110 2 0.00 0.0000 New Taxiway 14
111  36.78385113 -119.72002038
111  36.78385177 -119.71974715
111  36.78407162 -119.71974796
113  36.78407097 -119.72002118
110 2 0.00 0.0000 New Taxiway 14
111  36.78396149 -119.71963745
111  36.78396164 -119.71957246
111  36.78401370 -119.71957265
113  36.78401354 -119.71963765
110 2 0.00 0.0000 New Taxiway 14
111  36.78396104 -119.71936307
111  36.78396120 -119.71929807
111  36.78401325 -119.71929826
113  36.78401310 -119.71936326
110 2 0.00 0.0000 New Taxiway 14
111  36.78395999 -119.71909038
111  36.78396015 -119.71902538
111  36.78401220 -119.71902557
113  36.78401205 -119.71909057
110 2 0.00 354.8100 New Taxiway 13
111  36.78495024 -119.71977246
111  36.78495015 -119.71970291
111  36.78500585 -119.71970280
113  36.78500594 -119.71977235
110 2 0.00 354.8100 New Taxiway 13
111  36.78473015 -119.71977243
111  36.78473006 -119.71970288
111  36.78478576 -119.71970277
113  36.78478585 -119.71977232
110 2 0.00 0.0000 New Taxiway 13
111  36.78451005 -119.71977434
111  36.78450996 -119.71970479
111  36.78456566 -119.71970468
113  36.78456575 -119.71977423
110 2 0.00 0.0000 New Taxiway 13
111  36.78451001 -119.71949978
111  36.78450973 -119.71943162
111  36.78456605 -119.71943159
113  36.78456610 -119.71950024
110 2 0.00 0.0000 New Taxiway 13
111  36.78472951 -119.71949866
111  36.78472956 -119.71943049
111  36.78478474 -119.71943018
113  36.78478480 -119.71949883
110 2 0.00 0.0000 New Taxiway 13
111  36.78494965 -119.71949751
111  36.78494970 -119.71943044
111  36.78500335 -119.71943043
113  36.78500329 -119.71949749
110 2 0.00 0.0000 New Taxiway 12
111  36.78416263 -119.71891817
111  36.78416254 -119.71867947
111  36.78489191 -119.71867669
113  36.78489194 -119.71891552
110 2 0.00 0.0000 New Taxiway 11
111  36.78453947 -119.72076473
111  36.78453863 -119.72042112
111  36.78508716 -119.72041757
111  36.78508847 -119.72076194
113  36.78507685 -119.72076187
110 2 0.00 0.0000 New Taxiway 10
111  36.76939573 -119.71876175
111  36.76933647 -119.71865747
111  36.76931899 -119.71862673
111  36.76929436 -119.71858338
111  36.76953047 -119.71837488
113  36.76963200 -119.71855378
110 2 0.00 0.0000 New Taxiway 8
111  36.77479024 -119.70628913
111  36.77474141 -119.70620145
111  36.77485448 -119.70610353
113  36.77490314 -119.70618973
110 2 0.00 0.0000 New Taxiway 7
111  36.77173011 -119.70233939
111  36.77157183 -119.70206043
111  36.77174752 -119.70190586
113  36.77190603 -119.70218384
110 2 0.00 0.0000 New Taxiway 7
111  36.77130105 -119.70271939
111  36.77114313 -119.70243906
111  36.77131529 -119.70228886
113  36.77147395 -119.70256669
110 2 0.00 0.0000 New Taxiway 7
111  36.77122765 -119.70212840
111  36.77110491 -119.70191556
111  36.77132917 -119.70171756
113  36.77145066 -119.70193116
110 2 0.00 0.0000 New Taxiway 6
111  36.77046636 -119.70207133
111  36.77056068 -119.70183769
111  36.77080712 -119.70199022
113  36.77071256 -119.70222406
110 2 0.00 0.0000 New Taxiway 5
111  36.76993490 -119.70173903
111  36.77002710 -119.70150900
111  36.77013761 -119.70157485
111  36.77027426 -119.70165958
113  36.77018066 -119.70189320
110 2 0.00 0.0000 New Taxiway 4
111  36.76963577 -119.70081866
111  36.76963580 -119.70082513
111  36.76954752 -119.70082524
111  36.76954669 -119.70063086
111  36.76969648 -119.70062924
111  36.76969656 -119.70072248
113  36.76969665 -119.70081859
110 2 0.00 0.0000 New Taxiway 3
111  36.77086236 -119.72032477
111  36.77044703 -119.71959699
111  36.77018140 -119.71983129
111  36.77019431 -119.71985299
111  36.77011497 -119.71992119
111  36.77011098 -119.71991460
111  36.77008257 -119.71994045
111  36.77008729 -119.71991376
111  36.77015706 -119.71985277
111  36.77015046 -119.71984113
111  36.77080952 -119.71926143
111  36.77081494 -119.71927151
111  36.77094875 -119.71915313
111  36.77096181 -119.71917521
111  36.77097059 -119.71916749
111  36.77101665 -119.71924806
111  36.77103883 -119.71922898
111  36.77103118 -119.71921549
111  36.77109873 -119.71915630
111  36.77110728 -119.71917055
111  36.77112818 -119.71915114
111  36.77108248 -119.71907057
111  36.77109220 -119.71906208
111  36.77107942 -119.71903969
111  36.77120896 -119.71892840
111  36.77125046 -119.71899919
111  36.77132081 -119.71893962
111  36.77134688 -119.71895832
111  36.77192654 -119.71861386
112  36.77192654 -119.71861386  36.77187982 -119.71814989
111  36.77158695 -119.71801579
111  36.77113255 -119.71858029
111  36.77113741 -119.71862138
111  36.77107124 -119.71868004
111  36.77111070 -119.71875186
111  36.77098054 -119.71886951
111  36.77096764 -119.71884696
111  36.77095820 -119.71885506
111  36.77091302 -119.71877535
111  36.77089247 -119.71879369
111  36.77089947 -119.71880569
111  36.77083221 -119.71886602
111  36.77082380 -119.71885179
111  36.77080187 -119.71887107
111  36.77084754 -119.71895190
111  36.77083852 -119.71895965
111  36.77085118 -119.71898185
111  36.77068366 -119.71913100
111  36.77068968 -119.71914206
111  36.77025906 -119.71951767
111  36.77025345 -119.71950723
111  36.77042458 -119.71935737
111  36.77001753 -119.71864073
111  36.77111131 -119.71767847
111  36.77184701 -119.71703122
111  36.77276255 -119.71863347
111  36.77222849 -119.71910277
111  36.77279165 -119.72008920
111  36.77188912 -119.72088569
113  36.77133299 -119.71991146
110 2 0.00 0.0000 New Taxiway 2
111  36.77560428 -119.72556704
111  36.77555521 -119.72548397
111  36.77565656 -119.72539375
113  36.77570475 -119.72547810
110 1 0.00 0.0000 New Taxiway 1
111  36.77523485 -119.72694024
111  36.77522379 -119.72691940
111  36.77524522 -119.72687725
113  36.77526544 -119.72691331
110 2 0.00 0.0000 New Taxiway 68
111  36.76561787 -119.70784481
112  36.76561787 -119.70784481  36.76560828 -119.70776908
111  36.76555684 -119.70773982
111  36.76555608 -119.70764243
111  36.76552891 -119.70764275
111  36.76552096 -119.70540803
111  36.76551425 -119.70540813
111  36.76551399 -119.70535399
111  36.76554899 -119.70535442
111  36.76554684 -119.70503125
111  36.76555797 -119.70503118
111  36.76592680 -119.70502882
111  36.76597284 -119.70502893
111  36.76632257 -119.70502406
111  36.76645848 -119.70526499
111  36.76653452 -119.70539981
111  36.76661911 -119.70550162
111  36.76674608 -119.70538673
111  36.76688548 -119.70526034
111  36.76691374 -119.70531037
111  36.76692505 -119.70529981
111  36.76699172 -119.70541631
111  36.76697967 -119.70542708
111  36.76700574 -119.70548079
111  36.76686462 -119.70560173
111  36.76701796 -119.70588647
111  36.76702459 -119.70721506
112  36.76715087 -119.70736570  36.76725439 -119.70737802
111  36.76715087 -119.70736570
111  36.76727384 -119.70736541
111  36.76730352 -119.70736170
111  36.76730412 -119.70761837
111  36.76727404 -119.70761700
111  36.76713458 -119.70761735
112  36.76702817 -119.70773901  36.76698888 -119.70784070
111  36.76702817 -119.70773901
111  36.76702871 -119.70821750
111  36.76680772 -119.70821936
111  36.76680869 -119.70845212
111  36.76648254 -119.70845667
111  36.76648248 -119.70821068
111  36.76648123 -119.70762179
111  36.76626023 -119.70762111
112  36.76626023 -119.70762111  36.76617928 -119.70762955
112  36.76610093 -119.70772733  36.76606655 -119.70777836
111  36.76610093 -119.70772733
112  36.76610093 -119.70772733  36.76606915 -119.70778413
111  36.76606401 -119.70782793
111  36.76606447 -119.70793951
111  36.76604640 -119.70793952
111  36.76604699 -119.70804986
111  36.76607602 -119.70804973
111  36.76607581 -119.70808129
111  36.76605902 -119.70808136
111  36.76606106 -119.70864648
111  36.76563650 -119.70864864
111  36.76563476 -119.70809955
112  36.76563476 -119.70809955  36.76562905 -119.70808711
113  36.76561649 -119.70808151
110 2 0.00 0.0000 New Taxiway 45
111  36.77966828 -119.71326922
111  36.77960091 -119.71315101
111  36.77946002 -119.71290376
111  36.77946589 -119.71273695
111  36.78033630 -119.71196968
111  36.78054017 -119.71232757
113  36.78060562 -119.71244245
110 2 0.00 0.0000 New Taxiway 17
111  36.77716277 -119.71346933
111  36.77717290 -119.71346606
111  36.77723184 -119.71341404
111  36.77770196 -119.71299914
111  36.77775243 -119.71295459
111  36.77800223 -119.71292413
111  36.77859743 -119.71395688
111  36.77859935 -119.71423490
111  36.77852226 -119.71430245
111  36.77800341 -119.71475709
111  36.77799017 -119.71476892
111  36.77794289 -119.71481117
111  36.77791522 -119.71483145
111  36.77784115 -119.71469832
111  36.77786531 -119.71467607
111  36.77791269 -119.71463473
111  36.77792539 -119.71462365
111  36.77801029 -119.71454499
112  36.77801029 -119.71454499  36.77808685 -119.71445266
111  36.77804048 -119.71433922
111  36.77800072 -119.71426971
111  36.77760860 -119.71358427
111  36.77756704 -119.71351163
112  36.77756704 -119.71351163  36.77749909 -119.71341970
111  36.77740475 -119.71347038
111  36.77730938 -119.71354956
111  36.77729893 -119.71355876
111  36.77725114 -119.71360078
113  36.77724540 -119.71361145
110 2 0.00 0.0000 New Taxiway 15
111  36.77468492 -119.70688029
111  36.77450000 -119.70704234
111  36.77441915 -119.70689907
111  36.77439518 -119.70692043
111  36.77437549 -119.70688541
113  36.77458429 -119.70670372
110 2 0.00 0.0000 New Taxiway 14
111  36.77436582 -119.70732380
111  36.77412831 -119.70753355
111  36.77404959 -119.70760307
111  36.77391390 -119.70736837
113  36.77423068 -119.70708844
110 2 0.00 0.0000 New Taxiway 44
111  36.78159828 -119.71417751
111  36.77898160 -119.71649046
111  36.77897476 -119.71649654
111  36.77864697 -119.71592370
113  36.78127453 -119.71360764
110 2 0.00 0.0000 New Taxiway 11
111  36.77003634 -119.70115460
111  36.77003629 -119.70105576
111  36.77003621 -119.70087951
111  36.77003617 -119.70078761
111  36.77016986 -119.70078801
111  36.77016912 -119.70114991
111  36.77011950 -119.70114968
113  36.77011942 -119.70115543
110 2 0.00 0.0000 New Taxiway 2
111  36.77300826 -119.72304665
111  36.77308981 -119.72297886
111  36.77329986 -119.72334881
111  36.77331702 -119.72333374
111  36.77338693 -119.72345795
113  36.77328911 -119.72354543
110 2 0.00 0.0000 New Taxiway 2
111  36.77318882 -119.72288938
111  36.77326804 -119.72281979
111  36.77357375 -119.72335428
113  36.77349616 -119.72342423
110 2 0.00 0.0000 New Taxiway 2
111  36.76700271 -119.70461601
111  36.76696737 -119.70464916
111  36.76697765 -119.70473408
111  36.76670622 -119.70478108
112  36.76670622 -119.70478108  36.76672729 -119.70474247
112  36.76668075 -119.70470461  36.76664263 -119.70470545
111  36.76668075 -119.70470461
111  36.76647856 -119.70474269
112  36.76647856 -119.70474269  36.76636827 -119.70474864
111  36.76633288 -119.70460966
111  36.76631910 -119.70386930
112  36.76632375 -119.70361318  36.76632722 -119.70350175
111  36.76632375 -119.70361318
111  36.76634236 -119.70325556
111  36.76635052 -119.70312873
111  36.76695485 -119.70377227
112  36.76695485 -119.70377227  36.76698694 -119.70385984
112  36.76700579 -119.70408089  36.76701187 -119.70421315
113  36.76700579 -119.70408089
110 2 0.00 0.0000 New Taxiway 34
111  36.76553876 -119.70447716
111  36.76553876 -119.70454721
111  36.76555062 -119.70454717
111  36.76555046 -119.70460570
111  36.76546074 -119.70460588
111  36.76546082 -119.70413094
112  36.76546082 -119.70413094  36.76546564 -119.70406092
111  36.76550927 -119.70405376
111  36.76555451 -119.70405381
111  36.76555282 -119.70356898
111  36.76551142 -119.70356899
111  36.76551176 -119.70327945
111  36.76577134 -119.70327903
111  36.76577150 -119.70356923
111  36.76573061 -119.70356942
111  36.76573130 -119.70369672
112  36.76573130 -119.70369672  36.76573621 -119.70380058
111  36.76581918 -119.70380379
111  36.76573132 -119.70380425
111  36.76573095 -119.70400429
112  36.76581817 -119.70393762  36.76589088 -119.70393341
111  36.76581817 -119.70393762
111  36.76606438 -119.70394113
111  36.76606580 -119.70411430
111  36.76601820 -119.70411435
111  36.76601974 -119.70443914
111  36.76577845 -119.70444161
113  36.76577849 -119.70447639
110 2 0.00 0.0000 New Taxiway 29
111  36.77379987 -119.70422318
111  36.77343772 -119.70454043
111  36.77341280 -119.70449280
111  36.77337447 -119.70452549
111  36.77260738 -119.70317884
111  36.77267812 -119.70311276
111  36.77266657 -119.70309153
111  36.77273414 -119.70303250
111  36.77259095 -119.70278053
111  36.77273571 -119.70265451
111  36.77287702 -119.70290559
111  36.77294031 -119.70285088
111  36.77262571 -119.70230042
111  36.77267750 -119.70225374
111  36.77296878 -119.70275247
111  36.77303209 -119.70269878
111  36.77307985 -119.70277865
111  36.77304204 -119.70281055
111  36.77360556 -119.70380016
111  36.77365633 -119.70375181
111  36.77389598 -119.70416964
113  36.77381176 -119.70424473
110 2 0.00 0.0000 New Taxiway 25
111  36.78373420 -119.72050833
111  36.78373428 -119.72059788
111  36.78298176 -119.72059832
111  36.78297875 -119.71938877
111  36.78359636 -119.71938822
113  36.78373240 -119.71938810
110 2 0.00 0.0000 New Taxiway 23
111  36.78539377 -119.72710752
111  36.78530849 -119.72695953
111  36.78536380 -119.72691213
111  36.78546360 -119.72682661
111  36.78556299 -119.72674144
111  36.78561888 -119.72669355
111  36.78566640 -119.72665283
113  36.78574790 -119.72679555
110 2 0.00 0.0000 New Taxiway 22
111  36.78053761 -119.73318973
111  36.78024204 -119.73345025
