A
1000 Generated by WorldEditor

1      3 1 0 KPAO Palo Alto
100 22.86 1 0 0.00 0 2 0 13  37.45802600 -122.11198500   65    0 2 0 0 2 31  37.46375200 -122.11766050    0   60 2 0 0 2
102 H4  37.45669687 -122.11409484   0.00 8.70 8.10 15 0 0 0.00 1
110 2 0.00 0.0000 New Taxiway 197
111  37.45460221 -122.11328755
111  37.45390114 -122.11327494
111  37.45390114 -122.11304154
113  37.45455714 -122.11304154
110 2 0.00 0.0000 New Taxiway 196
111  37.45381554 -122.11450717
111  37.45371856 -122.11444331
111  37.45373243 -122.11438965
111  37.45364822 -122.11434098
111  37.45369676 -122.11419995
111  37.45378295 -122.11424738
111  37.45381070 -122.11417499
113  37.45391571 -122.11423739
110 1 0.00 0.0000 New Taxiway 193
111  37.45463877 -122.11546732 20
111  37.45463398 -122.11565306
111  37.45424677 -122.11557151 20
111  37.45425876 -122.11545372 20
113  37.45463877 -122.11546732
110 2 0.00 0.0000 New Taxiway 190
111  37.45455217 -122.11545121
111  37.45434765 -122.11544390
111  37.45434656 -122.11540286
111  37.45413477 -122.11540374
111  37.45413442 -122.11487929
113  37.45455507 -122.11488660
110 2 0.00 0.0000 New Taxiway 182
111  37.45466789 -122.11382477
111  37.45394616 -122.11383207
111  37.45395032 -122.11337478
113  37.45466738 -122.11338657
110 2 0.00 0.0000 New Taxiway 182
111  37.45531324 -122.11465671
111  37.45510757 -122.11465671
111  37.45511856 -122.11408799
113  37.45532202 -122.11410558
110 2 0.00 0.0000 New Taxiway 182
111  37.45531760 -122.11541538
111  37.45498341 -122.11540079
111  37.45498321 -122.11507851
113  37.45531826 -122.11508848
110 2 0.00 0.0000 New Taxiway 182
111  37.45559666 -122.11558562
111  37.45546122 -122.11558562
111  37.45546875 -122.11512591
113  37.45560795 -122.11514013
110 2 0.00 0.0000 New Taxiway 181
111  37.45502587 -122.11086685
111  37.45502411 -122.11101456
111  37.45502587 -122.11161594
111  37.45482227 -122.11186135
111  37.45459623 -122.11182536
112  37.45471310 -122.11162406  37.45476457 -122.11153563
111  37.45494239 -122.11137859
113  37.45494027 -122.11085692
110 2 0.00 0.0000 New Taxiway 180
111  37.45524486 -122.11086508
112  37.45562081 -122.11077250  37.45588934 -122.11071196
111  37.45614657 -122.11086864
111  37.45609851 -122.11105736
112  37.45598827 -122.11101819  37.45591478 -122.11099682
112  37.45547570 -122.11103243  37.45531176 -122.11104312
111  37.45515629 -122.11109653
113  37.45514781 -122.11086508
110 2 0.00 0.0000 New Taxiway 172
111  37.45631915 -122.11331227
111  37.45621314 -122.11331102
111  37.45621512 -122.11305017
111  37.45625079 -122.11305017
111  37.45625079 -122.11310010
113  37.45632311 -122.11311008
110 2 0.00 0.0000 New Taxiway 161
111  37.45658482 -122.11544922
111  37.45579211 -122.11545167
111  37.45579211 -122.11518967
113  37.45659793 -122.11519080
110 2 0.00 0.0000 New Taxiway 161
111  37.45560560 -122.11497378
111  37.45544382 -122.11498082
111  37.45544382 -122.11422657
113  37.45560828 -122.11422981
110 2 0.00 0.0000 New Taxiway 161
111  37.45589868 -122.11497178
111  37.45573689 -122.11497814
111  37.45573689 -122.11429613
113  37.45590135 -122.11429905
110 2 0.00 0.0000 New Taxiway 161
111  37.45618750 -122.11497445
111  37.45602572 -122.11498082
111  37.45602572 -122.11429880
113  37.45619018 -122.11430173
110 2 0.00 0.0000 New Taxiway 161
111  37.45646146 -122.11497110
111  37.45629967 -122.11497814
111  37.45629967 -122.11422389
113  37.45646413 -122.11422713
110 2 0.00 0.0000 New Taxiway 153
111  37.45672452 -122.11416401
111  37.45666021 -122.11416401
