I
1050 Generated by WorldEditor 2.0.0r4

1   4292 1 0 KCVS Cannon AFB
1302 city Clovis
1302 country United States
1302 datum_lat 34.382775
1302 datum_lon -103.32215
1302 faa_code CVS
1302 iata_code CVS
1302 icao_code KCVS
1302 region_code K2
1302 state New Mexico
1302 transition_alt 18000
1302 transition_level 18000
100 45.72 2 0 0.25 0 3 0 04  34.37672176 -103.33191807    0  305 3 1 0 0 22  34.39615268 -103.30846414    0  303 3 1 0 0
100 45.72 1 0 0.25 0 3 0 13  34.38625290 -103.33415175    0  305 2 5 0 0 31  34.37033516 -103.31495192    0  305 3 5 0 1
110 2 0.00 175.0000 New Taxiway 8
111  34.37099948 -103.31287078 3 102
111  34.37099813 -103.31284375 3 102
111  34.37102787 -103.31281917 3 102
111  34.37103809 -103.31280695 3 102
111  34.37115687 -103.31266480 3 102
111  34.37130003 -103.31249347 3 102
111  34.37130508 -103.31248743 3 102
111  34.37131587 -103.31248756 3 102
111  34.37158094 -103.31249073 3 102
111  34.37185473 -103.31249399 3 102
111  34.37211977 -103.31249716 3 102
111  34.37212789 -103.31249726 3 102
111  34.37213486 -103.31250558 3 102
111  34.37228350 -103.31268311 3 102
111  34.37239972 -103.31282191 3 102
111  34.37241320 -103.31283801 3 102
111  34.37243957 -103.31285767 3 102
113  34.37243822 -103.31288143
110 2 0.00 175.0000 New Taxiway 7
111  34.37135809 -103.31345958
111  34.37131448 -103.31351461 3 102
111  34.37121700 -103.31363759
111  34.37119774 -103.31366188
111  34.37115453 -103.31371640
111  34.37110761 -103.31371640 3 102
111  34.37066833 -103.31371640
111  34.37067169 -103.31312124
111  34.37135641 -103.31312038 3 102
113  34.37135783 -103.31340691
110 2 0.00 175.0000 New Taxiway 6
111  34.37252418 -103.31794633
111  34.37019109 -103.31513050
111  34.37047452 -103.31477752
111  34.37083200 -103.31521015
111  34.37211198 -103.31675921
111  34.37213769 -103.31674436
111  34.37217346 -103.31678439
111  34.37216252 -103.31682037
113  34.37280342 -103.31759601
110 2 0.00 175.0000 main concrete
111  34.38472717 -103.32190399
111  34.38472229 -103.32189645
111  34.38474935 -103.32186401
112  34.38469472 -103.32136411  34.38449800 -103.32113138
111  34.38469472 -103.32136411
111  34.38470354 -103.32135336 3 102
111  34.38466222 -103.32130184 3 102
111  34.38449691 -103.32110415 3 102
111  34.38447408 -103.32107661
111  34.38445390 -103.32105228 3 102
111  34.38432671 -103.32089899 3 102
111  34.38412985 -103.32066173 3 102
111  34.38393685 -103.32042913 3 102
111  34.38374443 -103.32019723 3 102
111  34.38354951 -103.31996230 3 102
111  34.38335709 -103.31973040 3 102
111  34.38316159 -103.31949479 3 102
111  34.38296469 -103.31925748 3 102
111  34.38276946 -103.31902219 3 102
111  34.38257678 -103.31878997 3 102
111  34.38238585 -103.31855800 3 102
111  34.38218930 -103.31832094 3 102
111  34.38199446 -103.31808595 3 102
111  34.38180077 -103.31785235
111  34.38179104 -103.31786178
112  34.38179104 -103.31786178  34.38149514 -103.31752330
111  34.38121370 -103.31785824
111  34.38120299 -103.31784645 3 102
111  34.38103743 -103.31804622 3 102
111  34.38085392 -103.31826766 3 102
111  34.38065897 -103.31850289 3 102
111  34.38046734 -103.31873411 3 102
111  34.38027376 -103.31896769 3 102
111  34.38007775 -103.31920420 3 102
111  34.37988317 -103.31943898 3 102
111  34.37968849 -103.31967389 3 102
111  34.37949423 -103.31990830 3 102
111  34.37930165 -103.32014067 3 102
111  34.37910396 -103.32037920 3 102
111  34.37890901 -103.32061443 3 102
111  34.37871138 -103.32085291 3 102
111  34.37851843 -103.32108776 3 102
111  34.37832763 -103.32131762 3 102
111  34.37812880 -103.32155714 3 102
111  34.37793705 -103.32178815 3 102
111  34.37774524 -103.32201922 3 102
111  34.37755180 -103.32225226 3 102
111  34.37746156 -103.32236097
111  34.37744261 -103.32238384 3 102
111  34.37735745 -103.32248660
111  34.37736556 -103.32250134
112  34.37736556 -103.32250134  34.37715327 -103.32277249
111  34.37736353 -103.32308296
111  34.37735677 -103.32308951
111  34.37673273 -103.32233341
111  34.37674152 -103.32232358
112  34.37720871 -103.32230884  34.37744399 -103.32202459
111  34.37720871 -103.32230884
111  34.37721614 -103.32232031 3 102
111  34.37730249 -103.32221686
111  34.37732200 -103.32219348 3 102
111  34.37741106 -103.32208700 3 102
111  34.37760605 -103.32185385 3 102
111  34.37779833 -103.32162394 3 102
111  34.37799502 -103.32138876 3 102
111  34.37818970 -103.32115598 3 102
111  34.37838178 -103.32092385 3 102
111  34.37848112 -103.32080483
111  34.37847098 -103.32079090
112  34.37847098 -103.32079090  34.37874272 -103.32045445
111  34.37847031 -103.32010197
111  34.37848045 -103.32008968 3 102
111  34.37833495 -103.31991421 3 102
111  34.37814180 -103.31968128 3 102
111  34.37794785 -103.31944981 3 102
111  34.37775234 -103.31921395 3 102
111  34.37755925 -103.31898099 3 102
111  34.37736495 -103.31874658 3 102
111  34.37717065 -103.31851217 3 102
111  34.37697755 -103.31827921 3 102
111  34.37678205 -103.31804335 3 102
111  34.37658814 -103.31780939 3 102
111  34.37639264 -103.31757354 3 102
111  34.37620074 -103.31734203 3 102
111  34.37600525 -103.31710617 3 102
