I
1000 Generated by WorldEditor

1     22 1 0 KNRS IMPERIAL BEACH
100 102.41 1 0 0.00 1 3 1 09  32.56793568 -117.12280266    0    0 1 0 0 2 27  32.56434186 -117.10710782    0    0 3 11 0 2
100 46.02 2 0 0.00 0 0 0 08  32.56695797 -117.11379582    0    0 1 0 0 0 26  32.56534386 -117.10676131    0    0 1 0 0 0
102 H1  32.56112162 -117.11818209 104.99 29.90 29.90 2 0 0 0.00 1
102 H2  32.56217130 -117.11783702 104.98 29.90 29.90 2 0 0 0.00 1
102 H3  32.56323433 -117.11749655 104.98 29.90 29.90 2 0 0 0.00 1
102 H4  32.56430848 -117.11717191 104.97 29.90 29.90 2 0 0 0.00 1
102 H5  32.56536616 -117.11683540 104.96 29.90 29.90 2 0 0 0.00 1
110 1 0.00 0.0000 New Taxiway 9
111  32.56742875 -117.11269721
111  32.56735815 -117.11240026
111  32.56777238 -117.11226966
113  32.56784172 -117.11256586
110 1 0.00 0.0000 New Taxiway 7
111  32.56792065 -117.11366657
111  32.56787521 -117.11348791
111  32.56786217 -117.11341418
111  32.56813798 -117.11332695
113  32.56819781 -117.11357646
110 1 0.00 0.0000 New Taxiway 6
111  32.56823551 -117.11329610
111  32.56800586 -117.11229265
111  32.56830650 -117.11219301
113  32.56854210 -117.11320558
110 1 0.00 0.0000 New Taxiway 5
111  32.56692134 -117.10762553
111  32.56669147 -117.10661233
111  32.56699726 -117.10652101
113  32.56723441 -117.10753225
110 1 0.00 0.0000 New Taxiway 9
111  32.56675812 -117.11386272
111  32.56682978 -117.11384154
111  32.56761584 -117.11358395
111  32.56770553 -117.11395283
111  32.56768753 -117.11398096
111  32.56759622 -117.11401586
112  32.56758198 -117.11403054  32.56757802 -117.11403836
111  32.56758305 -117.11406379
111  32.56762871 -117.11425079
111  32.56765110 -117.11424402
111  32.56898993 -117.12015494
111  32.56899475 -117.12246464
111  32.56837646 -117.12265919
111  32.56389471 -117.10726324
111  32.56515173 -117.10685870
113  32.56515423 -117.10684563
111  32.56866849 -117.12012308
112  32.56878740 -117.12006522  32.56880536 -117.12001243
111  32.56880451 -117.11994747
111  32.56828168 -117.11763056
112  32.56821933 -117.11756420  32.56820134 -117.11755353
111  32.56812742 -117.11754971
111  32.56783338 -117.11763348
112  32.56777229 -117.11768643  32.56775954 -117.11770975
111  32.56773723 -117.11779421
