I
1050 Generated by WorldEditor 2.0.0r4

1     19 1 0 EVVA Ventspils International
1302 city Ventspils
1302 country Latvia
1302 datum_lat 57.357777778
1302 datum_lon 21.544166667
1302 iata_code VNT
1302 icao_code EVVA
1302 region_code EV
1302 state Ventspils (city)
1302 transition_alt 5000
100 30.56 1 0 0.25 0 1 0 03  57.35304561  021.53788921    0    0 3 0 0 1 21  57.36252465  021.55039746    0    0 3 7 0 1
110 2 0.00 185.0000 concrete
111  57.36207383  021.54531693
111  57.36174526  021.54489208
111  57.36171342  021.54485091
111  57.36143395  021.54448954
111  57.36139214  021.54443548
111  57.36133829  021.54457623
111  57.36127322  021.54474635
111  57.36111983  021.54514737
111  57.36126425  021.54534029
111  57.36123404  021.54542329
111  57.36129196  021.54550067
111  57.36125687  021.54558481
111  57.36129163  021.54563165
111  57.36126253  021.54571050
111  57.36128816  021.54574503
111  57.36125347  021.54583426
111  57.36126976  021.54585621
111  57.36121956  021.54599034
111  57.36092880  021.54676731
111  57.36081301  021.54707671
111  57.36076978  021.54719222
111  57.36075076  021.54716940
111  57.36071980  021.54725212
111  57.36069070  021.54721477
111  57.36065715  021.54730442
111  57.36062470  021.54726292
111  57.36059920  021.54733107
111  57.36054436  021.54726052
111  57.36051711  021.54733334
111  57.36087416  021.54781055
111  57.36090065  021.54773957
111  57.36084805  021.54766072
111  57.36087825  021.54757979
111  57.36085027  021.54754244
111  57.36088197  021.54745750
111  57.36085287  021.54742015
111  57.36088171  021.54734287
111  57.36086828  021.54732419
111  57.36091086  021.54721009
111  57.36102800  021.54689621
111  57.36131889  021.54612097
111  57.36136829  021.54598897
111  57.36138318  021.54600905
111  57.36141788  021.54591983
111  57.36144668  021.54595864
111  57.36147578  021.54587979
111  57.36150935  021.54592503
111  57.36154181  021.54583373
111  57.36160081  021.54591323
111  57.36163102  021.54583023
111  57.36172240  021.54595229
111  57.36179243  021.54604584
113  57.36179896  021.54602894
110 2 0.00 185.0000 New Taxiway 9
111  57.35320538  021.53749422
111  57.35315850  021.53761897
111  57.35350585  021.53807709
113  57.35355344  021.53795062
110 2 0.00 185.0000 New Taxiway 8
111  57.36234277  021.54954998
111  57.36229452  021.54966469
111  57.36263757  021.55011698
113  57.36268205  021.54999149
110 2 0.00 185.0000 New Taxiway 6
111  57.36238655  021.54679392
111  57.36229560  021.54702215
111  57.36231347  021.54704448
111  57.36236166  021.54692775
111  57.36237566  021.54694524
111  57.36232747  021.54706196
111  57.36234933  021.54708926
111  57.36239752  021.54696677
111  57.36241111  021.54698376
111  57.36236293  021.54710624
111  57.36238412  021.54713271
113  57.36247413  021.54690795
110 1 0.00 185.0000 rwy
111  57.36243648  021.55068937
111  57.36265243  021.55013658
111  57.36263757  021.55011698
111  57.36229452  021.54966469
111  57.36094950  021.54789132
112  57.36091086  021.54721009  57.36097801  021.54675442
111  57.36091086  021.54721009
111  57.36081301  021.54707671
112  57.36081301  021.54707671  57.36060888  021.54737052
