I
1050 Generated by WorldEditor 2.2.0r2

1   1544 0 0 4X4 Wessington Springs
100 18.29 1 0 0.00 0 0 0 12  44.06513273 -098.53736649    0    0 1 0 1 0 30  44.05863661 -098.52702187    0    0 1 0 1 0
110 1 0.00 0.0000 New Taxiway 2
112  44.05899628 -098.52742863  44.05902978 -098.52748969
111  44.05899628 -098.52742863
111  44.05884150 -098.52750501
112  44.05884150 -098.52750501  44.05880493 -098.52745960
112  44.05873251 -098.52741375  44.05869201 -098.52736397
111  44.05873251 -098.52741375
111  44.05854898 -098.52712619
111  44.05871788 -098.52692070
111  44.05892897 -098.52726012
114  44.05892897 -098.52726012  44.05896530 -098.52732981
110 1 0.00 0.0000 New Taxiway 3
111  44.06505530 -098.53746866
111  44.06487113 -098.53717159
112  44.06487113 -098.53717159  44.06484792 -098.53712904
112  44.06482536 -098.53703289  44.06479365 -098.53696434
111  44.06482536 -098.53703289
111  44.06490369 -098.53683300
112  44.06490369 -098.53683300  44.06493852 -098.53688378
112  44.06503760 -098.53697099  44.06507731 -098.53703118
111  44.06503760 -098.53697099
111  44.06521812 -098.53726209
111  44.06510410 -098.53740125
113  44.06510246 -098.53741600
110 2 0.00 0.0000 New Taxiway 5
111  44.06507068 -098.53379610
111  44.06517884 -098.53366612
111  44.06518965 -098.53368436
111  44.06532642 -098.53351594
111  44.06554345 -098.53385213
111  44.06537471 -098.53406477
111  44.06538130 -098.53407424
111  44.06525329 -098.53422733
111  44.06519771 -098.53413589
111  44.06524752 -098.53407666
111  44.06511206 -098.53386363
111  44.06510612 -098.53387014
111  44.06509689 -098.53385574
113  44.06510283 -098.53384825
110 1 0.00 0.0000 New Taxiway 4
111  44.06337015 -098.53438758
112  44.06337015 -098.53438758  44.06347277 -098.53450084
111  44.06356289 -098.53439432
111  44.06382117 -098.53408453
111  44.06448826 -098.53328439
112  44.06448826 -098.53328439  44.06455470 -098.53316565
111  44.06452199 -098.53306038
111  44.06445051 -098.53294427
111  44.06450957 -098.53286421
111  44.06475058 -098.53257348
111  44.06476180 -098.53257269
111  44.06514513 -098.53317264
111  44.06503970 -098.53329730
111  44.06493767 -098.53341794
111  44.06487974 -098.53348644
111  44.06507068 -098.53379610
111  44.06510283 -098.53384825
111  44.06509689 -098.53385574
111  44.06510612 -098.53387014
111  44.06511206 -098.53386363
111  44.06524752 -098.53407666
111  44.06519771 -098.53413589
111  44.06471500 -098.53337126
112  44.06471500 -098.53337126  44.06465555 -098.53329877
111  44.06455734 -098.53337071
111  44.06388138 -098.53417964
111  44.06360861 -098.53450608
112  44.06360861 -098.53450608  44.06354124 -098.53462348
111  44.06359642 -098.53474902
111  44.06357755 -098.53483602
113  44.06331963 -098.53441635
130 Airport Boundary 1
111  44.06707724 -098.54058858
111  44.06624745 -098.54201986
111  44.06014409 -098.53232526
111  44.06014268 -098.53205668
111  44.05960451 -098.53207236
111  44.05960733 -098.53142346
111  44.05652037 -098.52654502
111  44.05859369 -098.52405240
111  44.06361166 -098.53204934
111  44.06518524 -098.53204414
111  44.06516411 -098.53274407
111  44.06544902 -098.53317281
111  44.06711903 -098.53331781
111  44.06711012 -098.53951056
113  44.06706967 -098.53972819
120 Linear Feature 7
111  44.06382117 -098.53408453 4
115  44.06388138 -098.53417964
120 Linear Feature 12
111  44.06473896 -098.53272145 1
115  44.06470304 -098.53266576
120 Linear Feature 12
111  44.06456012 -098.53294032 1
115  44.06452420 -098.53288463
120 Linear Feature 12
111  44.06465104 -098.53283050 1
115  44.06461513 -098.53277482
120 Linear Feature 11
111  44.06471649 -098.53274883 1
111  44.06473896 -098.53272145 1
115  44.06476142 -098.53269407
120 Linear Feature 11
111  44.06453765 -098.53296770 1
111  44.06456012 -098.53294032 1
115  44.06458258 -098.53291294
120 Linear Feature 11
111  44.06462857 -098.53285788 1
111  44.06465104 -098.53283050 1
115  44.06467350 -098.53280312
120 Linear Feature 10
112  44.06504015 -098.53329690  44.06498275 -098.53320388 1
116  44.06493767 -098.53341794  44.06499468 -098.53351698
120 Linear Feature 9
111  44.06296823 -098.53388871 1
111  44.06332503 -098.53446104
112  44.06332503 -098.53446104  44.06345006 -098.53462256 1
115  44.06355462 -098.53449013
120 Linear Feature 8
111  44.06390483 -098.53537944 1
111  44.06353743 -098.53479437
112  44.06353743 -098.53479437  44.06345140 -098.53461996 1
111  44.06355462 -098.53449013 1
111  44.06449556 -098.53335841 1
115  44.06461377 -098.53321025
21  44.06435917 -098.53547643 2 131.1500 3.00 PAPI-RWY12-L
21  44.05918962 -098.52866467 2 311.1500 3.00 PAPI-RWY30-L
14  44.06526260 -098.53340513  82.00 0 New Tower Viewpoint 3
1300  44.06456012 -098.53294032 311.52 tie_down turboprops|props GA1
1301 A general_aviation 
1300  44.06465104 -098.53283050 311.70 tie_down turboprops|props GA2
1301 A general_aviation 
1300  44.06473896 -098.53272145 311.24 tie_down turboprops|props GA3
1301 A general_aviation 
1300  44.06535747 -098.53396168 221.15 hangar turboprops|props Hangar 1
1301 A none 
1300  44.06524923 -098.53377330 221.15 hangar turboprops|props Hangar 2
1301 A none 
18  44.06518379 -098.53334934 1 New Airport Beacon 5
19  44.06390490 -098.53232581 0 New Windsock 1
51 12290 Unicom
99
