I
1050 Generated by WorldEditor 2.1.0r1

1   1843 1 0 SCBQ El Bosque
1302 city Santiago
1302 country Chile
1302 datum_lat -33.560833
1302 datum_lon -70.6875
1302 icao_code SCBQ
1302 local_code BQE
1302 state Santiago
100 38.00 2 0 0.00 0 1 0 03 -33.56905153 -070.69307767    0  202 3 0 0 0 21 -33.55467055 -070.68359780  301    0 3 0 0 0
110 2 0.00 34.0900 main
111 -33.55380862 -070.68632193
111 -33.55379113 -070.68634592
111 -33.55386359 -070.68641038
111 -33.55440958 -070.68456786
111 -33.55453202 -070.68462783
111 -33.55460823 -070.68438496
111 -33.55448204 -070.68431899
111 -33.55462322 -070.68384824
111 -33.55461073 -070.68383624
111 -33.55463572 -070.68380326
111 -33.56069983 -070.68780559
111 -33.56069359 -070.68781908
111 -33.56069698 -070.68785421
111 -33.56068978 -070.68788595
111 -33.56068030 -070.68791137
111 -33.55977400 -070.68989576
111 -33.55967471 -070.68993648
111 -33.55949824 -070.68982261
111 -33.55944626 -070.68993050
111 -33.55961440 -070.69002980
111 -33.55962850 -070.69001680
111 -33.55965023 -070.69001833
111 -33.55969008 -070.69004916
111 -33.55969618 -070.69006616
111 -33.55963331 -070.69020831
111 -33.55965899 -070.69022451
111 -33.56070625 -070.68792819
111 -33.56074123 -070.68785150
111 -33.56075122 -070.68783950
111 -33.56864877 -070.69305189
111 -33.56864877 -070.69306231
111 -33.56867653 -070.69309979
111 -33.56869388 -070.69313207
111 -33.56871297 -070.69318518
111 -33.56872512 -070.69324453
111 -33.56872859 -070.69330389
111 -33.56872078 -070.69336845
111 -33.56858543 -070.69365272
111 -33.56849433 -070.69359336
111 -33.56843359 -070.69371728
111 -33.56846570 -070.69374123
111 -33.56845615 -070.69376205
111 -33.56851862 -070.69379954
111 -33.56849282 -070.69385463
111 -33.56824011 -070.69439412
111 -33.56823317 -070.69438891
111 -33.56821321 -070.69441911
111 -33.56817677 -070.69444930
111 -33.56812645 -070.69447950
111 -33.56806225 -070.69451595
111 -33.56771780 -070.69460862
111 -33.56717178 -070.69476485
111 -33.56710181 -070.69482783
111 -33.56699878 -070.69531211
111 -33.56698187 -070.69539161
111 -33.56692780 -070.69537150
111 -33.56682368 -070.69535380
111 -33.56680286 -070.69538816
111 -33.56677943 -070.69543189
111 -33.56676902 -070.69545584
111 -33.56676208 -070.69547875
111 -33.56674126 -070.69554435
111 -33.56660504 -070.69551450
111 -33.56658711 -070.69563077
111 -33.56669354 -070.69565472
111 -33.56670742 -070.69566409
111 -33.56672564 -070.69568075
111 -33.56672564 -070.69571616
111 -33.56672911 -070.69575781
111 -33.56673171 -070.69577343
111 -33.56672390 -070.69579738
111 -33.56670829 -070.69581924
111 -33.56669440 -070.69582341
111 -33.56669701 -070.69582861
111 -33.56656785 -070.69584161
111 -33.56654761 -070.69584161
111 -33.56650133 -070.69583554
111 -33.56634299 -070.69580430
111 -33.56631985 -070.69579302
111 -33.56630322 -070.69577219
111 -33.56630105 -070.69573228
111 -33.56642975 -070.69484807
111 -33.56650712 -070.69481076
111 -33.56654616 -070.69481076
111 -33.56654544 -070.69475956
111 -33.56653604 -070.69476130
111 -33.56644132 -070.69480468
111 -33.56643554 -070.69480555
111 -33.56644566 -070.69473353
111 -33.56654544 -070.69470837
111 -33.56654399 -070.69466932
111 -33.56652375 -070.69468234
111 -33.56645144 -070.69469795
111 -33.56647241 -070.69455652
111 -33.56639432 -070.69454524
111 -33.56634995 -070.69484581
111 -33.56633446 -070.69495074
111 -33.56630775 -070.69513165
111 -33.56629911 -070.69514141
111 -33.56628558 -070.69514751
111 -33.56617647 -070.69511705
111 -33.56616723 -070.69516491
111 -33.56627691 -070.69519689
111 -33.56629186 -070.69521408
111 -33.56629371 -070.69522726
111 -33.56629128 -070.69524381
111 -33.56616188 -070.69521952
111 -33.56616021 -070.69523087
111 -33.56628962 -070.69525516
111 -33.56627358 -070.69536436
111 -33.56625261 -070.69538519
111 -33.56623236 -070.69539821
111 -33.56600750 -070.69535482
111 -33.56599108 -070.69533413
111 -33.56598379 -070.69528915
111 -33.56600565 -070.69517669
111 -33.56591403 -070.69515045
111 -33.56590570 -070.69519169
111 -33.56574328 -070.69515795
111 -33.56570997 -070.69514171
111 -33.56566207 -070.69508048
111 -33.56563396 -070.69503925
111 -33.56536430 -070.69494928
111 -33.56532682 -070.69511297
111 -33.56533723 -070.69512422
111 -33.56533931 -070.69515045
111 -33.56532369 -070.69523917
111 -33.56533931 -070.69524417
111 -33.56527997 -070.69552031
111 -33.56527164 -070.69554405
111 -33.56524561 -070.69555904
111 -33.56467922 -070.69544034
111 -33.56465735 -070.69542410
111 -33.56464278 -070.69537911
111 -33.56466047 -070.69527541
111 -33.56471878 -070.69525416
111 -33.56476459 -070.69491555
111 -33.56470941 -070.69489806
111 -33.56471774 -070.69488806
111 -33.56473440 -070.69488182
111 -33.56476772 -070.69488557
111 -33.56477188 -070.69487432
111 -33.56470420 -070.69484933
111 -33.56468473 -070.69482710
111 -33.56467432 -070.69479961
111 -33.56465766 -070.69477212
111 -33.56464829 -070.69474838
111 -33.56464621 -070.69472090
111 -33.56465349 -070.69468091
111 -33.56482841 -070.69417487
111 -33.56476073 -070.69415487
111 -33.56457541 -070.69474339
111 -33.56458894 -070.69477337
111 -33.56459623 -070.69481586
111 -33.56459831 -070.69487208
111 -33.56454938 -070.69522319
111 -33.56459207 -070.69526067
111 -33.56457853 -070.69535938
111 -33.56456187 -070.69538437
111 -33.56454105 -070.69540561
111 -33.56451710 -070.69540811
111 -33.56437759 -070.69538562
111 -33.56436822 -070.69547309
111 -33.56480799 -070.69557487
111 -33.56469034 -070.69634330
111 -33.56425514 -070.69624710
111 -33.56424056 -070.69635580
111 -33.56770033 -070.69708928
111 -33.56783048 -070.69621335
111 -33.56714227 -070.69606841
111 -33.56702566 -070.69684936
111 -33.56675704 -070.69679063
111 -33.56689760 -070.69588098
111 -33.56690905 -070.69585724
111 -33.56692988 -070.69583725
111 -33.56705794 -070.69579476
111 -33.56708917 -070.69579101
111 -33.56713603 -070.69578352
111 -33.56717767 -070.69577977
111 -33.56723390 -070.69577852
111 -33.56727554 -070.69578476
111 -33.56731823 -070.69579226
111 -33.56734322 -070.69579976
111 -33.56737029 -070.69581725
111 -33.56737862 -070.69583600
111 -33.56738382 -070.69586474
111 -33.56739944 -070.69586973
