A
1050 Generated by WorldEditor 2.0.0r4

1      8 1 0 KOAK Metro Oakland Intl
100 45.72 1 0 0.00 1 3 0 12  37.72008908 -122.24214290    0  121 3 8 0 0 30  37.70149554 -122.21424919   39  121 3 2 1 0
100 45.72 1 0 0.00 0 3 0 10R  37.72874119 -122.22595221    0  236 2 0 0 1 28L  37.72228551 -122.20601155    0  119 3 0 0 0
100 45.72 1 0 0.00 0 3 0 10L  37.73050262 -122.22223137    0  119 2 0 0 0 28R  37.72483405 -122.20471081    0   79 3 8 0 0
100 22.86 1 0 0.00 0 2 0 15  37.74031513 -122.22283494    0    0 1 0 0 0 33  37.73139231 -122.21970199    0    0 1 0 0 0
110 1 0.00 0.0000 New Taxiway 1
111  37.73352803 -122.21474728
111  37.73348240 -122.21471018
111  37.73344628 -122.21478176
111  37.73338801 -122.21473422
111  37.73342382 -122.21466099
111  37.73337097 -122.21461695
111  37.73340263 -122.21455287
111  37.73341487 -122.21456297
111  37.73340486 -122.21458281
113  37.73355032 -122.21470209
110 2 0.00 0.0000 New Taxiway 42
111  37.71865019 -122.21677276
111  37.71840999 -122.21641300
112  37.71840999 -122.21641300  37.71840532 -122.21640200
112  37.71842796 -122.21639631  37.71843835 -122.21640570
111  37.71842796 -122.21639631
111  37.71855694 -122.21659104
111  37.71858516 -122.21656254
111  37.71865516 -122.21666486
113  37.71865116 -122.21675165
110 2 0.00 0.0000 New Taxiway 41
111  37.71868980 -122.21684184
111  37.71869603 -122.21674216
111  37.71870190 -122.21673799
113  37.71873967 -122.21679594
110 2 0.00 0.0000 New Taxiway 1
111  37.73662361 -122.22126501
111  37.73648185 -122.22121814 53
111  37.73663810 -122.22090783 53
111  37.73706169 -122.22006664
111  37.73717399 -122.22015483 53
113  37.73675555 -122.22099887 53
110 2 0.00 0.0000 New Taxiway 21
111  37.73260357 -122.22375473
111  37.73264904 -122.22359198
111  37.73295715 -122.22372830
113  37.73291407 -122.22389387
110 2 0.00 0.0000 New Taxiway 20
111  37.73203925 -122.22249574
111  37.73190630 -122.22243829
111  37.73197632 -122.22219408
113  37.73210808 -122.22225367
110 2 0.00 0.0000 New Taxiway 19
111  37.73255558 -122.22272579
111  37.73242704 -122.22266785
111  37.73249423 -122.22242255
113  37.73262354 -122.22248019
