I
1100 Generated by WorldEditor 1.6.1r1

1     20 0 0 XBRE Breighton
100 41.35 3 0 0.00 0 0 0 10  53.80349299 -000.92297992    0    0 1 0 0 0 28  53.80222701 -000.91169092    0    0 0 0 0 0
102 H2  53.80276951 -000.92110851   9.37 15.70 15.40 3 0 0 0.00 0
102 H1  53.80279990 -000.92138608   9.87 16.30 15.70 3 0 0 0.00 0
110 2 0.00 0.0000 New Taxiway 85
111  53.80226205 -000.91637005
111  53.80203569 -000.91641122
111  53.80201389 -000.91607051
113  53.80224528 -000.91603076
110 3 0.00 0.0000 East GA
111  53.80221586 -000.91603255
111  53.80214255 -000.91604581
111  53.80210098 -000.91528608
111  53.80208524 -000.91527640
112  53.80212896 -000.91495665  53.80214243 -000.91486493
112  53.80215896 -000.91480447  53.80217651 -000.91477126
112  53.80222127 -000.91475268  53.80224186 -000.91475291
111  53.80226152 -000.91477456
111  53.80239872 -000.91599777
113  53.80222338 -000.91603090
110 3 0.00 0.0000 Fuel Square Grass
111  53.80240317 -000.91733261
111  53.80238741 -000.91731047
111  53.80238265 -000.91725107
111  53.80239642 -000.91721898
112  53.80249711 -000.91719745  53.80249712 -000.91719753
113  53.80250667 -000.91730543
110 3 0.00 0.0000 East Grass 3
111  53.80188971 -000.91326821
111  53.80199181 -000.91326305
112  53.80206137 -000.91359753  53.80208801 -000.91375044
111  53.80217533 -000.91412379
111  53.80216717 -000.91413795
113  53.80191473 -000.91414424
110 3 0.00 0.0000 East Grass 2
111  53.80205828 -000.91503982
111  53.80205133 -000.91495463
111  53.80196642 -000.91422212
111  53.80216976 -000.91421335
111  53.80218023 -000.91422021
112  53.80217115 -000.91426279  53.80215961 -000.91429780
111  53.80214219 -000.91430748
111  53.80214996 -000.91434899
112  53.80218678 -000.91436201  53.80221452 -000.91437820
111  53.80223331 -000.91451393
111  53.80223924 -000.91457196
112  53.80221240 -000.91463939  53.80218970 -000.91467028
112  53.80212054 -000.91475376  53.80211273 -000.91476853
112  53.80207775 -000.91490663  53.80206657 -000.91499304
113  53.80206490 -000.91507852
110 3 0.00 0.0000 GA Parking
111  53.80246030 -000.91840916
111  53.80241593 -000.91836404
111  53.80235986 -000.91835416
111  53.80216694 -000.91770142
111  53.80209698 -000.91732042
111  53.80214867 -000.91729189
111  53.80223242 -000.91727474
111  53.80222880 -000.91720927
111  53.80231245 -000.91718722
112  53.80231449 -000.91722275  53.80231470 -000.91727372
112  53.80233948 -000.91742217  53.80235742 -000.91746232
111  53.80237474 -000.91745488
111  53.80251508 -000.91741530
111  53.80252926 -000.91755020
111  53.80253437 -000.91764370
111  53.80259217 -000.91814754
112  53.80257132 -000.91823358  53.80254655 -000.91832232
114  53.80246167 -000.91841088  53.80245023 -000.91843992
111  53.80233263 -000.91775755
111  53.80231546 -000.91759943
111  53.80227502 -000.91761001
111  53.80229083 -000.91777002
111  53.80230641 -000.91776483
111  53.80230921 -000.91779306
111  53.80224614 -000.91783104
111  53.80224909 -000.91784252
111  53.80231964 -000.91780182
113  53.80231677 -000.91776197
110 3 0.00 0.0000 Half Circle Grass
112  53.80281012 -000.91976458  53.80278863 -000.91981449
112  53.80272290 -000.91985678  53.80268931 -000.91985609
112  53.80264994 -000.91981826  53.80263575 -000.91979396
