I
1050 Generated by WorldEditor 2.3.0r2

1   2059 0 0 CFT8 Pelican
100 22.86 1 0 0.25 0 0 0 07  56.16082463 -113.48312980    0    0 0 0 0 0 25  56.16084677 -113.46414406    0    0 0 0 0 0
110 1 0.00 0.0000 New Taxiway 44
111  56.16092731 -113.48133069
111  56.16095983 -113.48146268
111  56.16095528 -113.48314709
111  56.16067890 -113.48314729
111  56.16068501 -113.48118768
113  56.16072838 -113.48084990
110 1 0.00 0.0000 New Taxiway 43
111  56.16074809 -113.46607106
111  56.16052563 -113.46572997
111  56.16052134 -113.46445524
111  56.16075395 -113.46447347
111  56.16094901 -113.46414451
111  56.16100043 -113.46414360
111  56.16098141 -113.46578801
113  56.16094433 -113.46606836
130 Airport Boundary 45
111  56.16123546 -113.48001991
111  56.16138650 -113.48709552
111  56.16141671 -113.49005475
111  56.16101730 -113.48965697
111  56.16021712 -113.48948926
111  56.16030956 -113.46511356
111  56.15934741 -113.46505831
111  56.15938657 -113.46372737
111  56.16018929 -113.46380773
111  56.16017811 -113.46255212
111  56.16089412 -113.46364196
111  56.16121298 -113.46457112
113  56.16126612 -113.46536468
21  56.16103390 -113.48060448 2 89.8800 2.00 New Light Fixture 28
21  56.16061822 -113.46779719 2 269.8800 2.00 New Light Fixture 27
1300  56.16068676 -113.46568527 310.14 tie_down props Apron 1
1301 B general_aviation 
1300  56.16068754 -113.46527737 310.14 tie_down turboprops|props Apron 2
1301 B general_aviation 
1300  56.16069769 -113.46486386 310.14 tie_down turboprops|props Apron 3
1301 B general_aviation 
19  56.16042387 -113.47140393 1 New Windsock 30
51 12280 Pelican Traffic
99
