I
1100 Generated by WorldEditor 1.6.0r1

1  7218 0 0 AT03 Concordia Station
100 49.97 14 0 1.00 0 0 0 01 -75.11601964  123.34447668    0    0 0 0 0 0 19 -75.09649464  123.36591925    0    0 0 0 0 0
110 5 0.00 0.0000 New Taxiway 120
111 -75.10034389  123.34777669
111 -75.09861147  123.35616617
111 -75.09657529  123.36520540
111 -75.09649366  123.36507317
111 -75.09856727  123.35592738
113 -75.10028947  123.34743280
110 5 0.00 0.0000 New Taxiway 117
111 -75.10001608  123.33004441
111 -75.10598162  123.30474884
111 -75.10604040  123.30493935
111 -75.10002877  123.33020640
111 -75.10183666  123.34542675
111 -75.10178768  123.34558547
111 -75.09999209  123.33032326
111 -75.09953859  123.33270014
111 -75.09876102  123.33617887
111 -75.09479655  123.34858813
111 -75.09478098  123.34847947
111 -75.09873486  123.33603982
111 -75.09951038  123.33262628
111 -75.09998277  123.33008508
111 -75.09734522  123.29925642
113 -75.09738459  123.29919519
110 1 0.00 0.0000 New Taxiway 116
111 -75.09986797  123.31982200
111 -75.09978530  123.32048026
111 -75.09962390  123.32018940
113 -75.09970657  123.31951584
110 1 0.00 0.0000 New Taxiway 115
111 -75.10026164  123.32372561
111 -75.10026164  123.32398585
111 -75.09995851  123.32389400
113 -75.09996639  123.32363376
110 1 0.00 0.0000 New Taxiway 114
111 -75.09977630  123.33167631
111 -75.10012732  123.33272237
111 -75.09998297  123.33336021
113 -75.09964180  123.33239069
110 1 0.00 0.0000 New Taxiway 113
111 -75.09949745  123.33196972
111 -75.09949745  123.33255653
111 -75.09935311  123.33254378
113 -75.09935311  123.33200799
110 1 0.00 0.0000 New Taxiway 112
111 -75.09951058  123.33379394
111 -75.09982223  123.33471243
111 -75.09974349  123.33510789
113 -75.09943184  123.33420216
110 1 0.00 0.0000 New Taxiway 111
111 -75.09986816  123.33378119
111 -75.09977630  123.33416389
111 -75.09952042  123.33329643
113 -75.09959915  123.33295199
110 1 0.00 0.0000 New Taxiway 110
111 -75.09919564  123.33032409
111 -75.09932359  123.33130637
111 -75.09921205  123.33156150
113 -75.09907755  123.33063026
110 14 0.00 0.0000 New Taxiway 118
111 -75.10004897  123.33526446
112 -75.10027753  123.34370746 -75.10030202  123.34431053
112 -75.10095506  123.35246786 -75.10100404  123.35303919
111 -75.10222033  123.35894294
111 -75.10190198  123.35922861
112 -75.10070201  123.35288049 -75.10065303  123.35237264
112 -75.10004897  123.34415183 -75.10001632  123.34367572
113 -75.09979591  123.33551839
110 1 0.00 0.0000 New Taxiway 126
111 -75.10216516  123.34665047
111 -75.10218484  123.34688012
111 -75.10198145  123.34713529
113 -75.10196177  123.34691840
110 1 0.00 0.0000 New Taxiway 125
111 -75.10172557  123.34723098
111 -75.10174525  123.34746063
111 -75.10166652  123.34756270
113 -75.10165011  123.34733304
110 1 0.00 0.0000 New Taxiway 124
111 -75.10176165  123.34809855
111 -75.10179774  123.34844303
111 -75.10161075  123.34871096
113 -75.10158122  123.34837924
110 1 0.00 0.0000 New Taxiway 123
111 -75.10178396  123.34402086
111 -75.10181703  123.34429643
111 -75.10173672  123.34440666
113 -75.10171310  123.34414946
110 1 0.00 0.0000 New Taxiway 123
111 -75.10159041  123.34492670
111 -75.10162348  123.34520228
111 -75.10154317  123.34531250
113 -75.10151955  123.34505530
110 1 0.00 0.0000 New Taxiway 123
111 -75.10154120  123.34427602
111 -75.10157427  123.34455160
111 -75.10149396  123.34466182
113 -75.10147034  123.34440462
110 1 0.00 0.0000 New Taxiway 123
111 -75.10146903  123.34359983
111 -75.10150210  123.34387540
111 -75.10142179  123.34398563
113 -75.10139817  123.34372843
110 1 0.00 0.0000 New Taxiway 123
111 -75.10140670  123.34289811
111 -75.10143977  123.34317368
111 -75.10135946  123.34328391
113 -75.10133584  123.34302671
110 1 0.00 0.0000 New Taxiway 122
111 -75.10091541  123.34600289
111 -75.10093430  123.34633357
111 -75.10057528  123.34662752
113 -75.10056111  123.34631520
110 1 0.00 0.0000 New Taxiway 121
111 -75.10117050  123.34739912
111 -75.10119412  123.34767469
111 -75.10068865  123.34815235
113 -75.10067448  123.34785840
130 Airport Boundary 127
111 -75.11589455  123.34769103
111 -75.09598048  123.36851294
111 -75.09426201  123.34926249
111 -75.09567722  123.30074351
111 -75.09759787  123.29485051
111 -75.10993044  123.30467217
113 -75.11650107  123.34533383
14 -75.10123887  123.34826837   6.00 0 New Tower Viewpoint 14
1300 -75.09996832  123.33655685  91.58 hangar heavy|jets|turboprops|props|helos|fighters HANGAR
1301 B none 
19 -75.09725828  123.36263590 1 New Windsock 5
19 -75.11561533  123.34653566 1 New Windsock 5
99
