I
1050 Generated by WorldEditor 2.1.0r1

1   1708 1 0 LQSA Sarajevo
1302 city Sarajevo
1302 country Bosnia and Herzegovina
1302 datum_lat 43.8244722
1302 datum_lon 018.3317667
1302 iata_code SJJ
1302 icao_code LQSA
1302 region_code LQ
1302 state Federacija Bosna i Hercegovina
1302 transition_alt 9500
100 45.00 1 0 0.10 1 3 1 11  43.82995830  018.31711670  100    0 3 1 0 1 29  43.81920560  018.34581940  499    0 3 0 0 0
110 2 0.00 153.0000 New Taxiway 26
111  43.82542300  018.33755509
111  43.82534479  018.33776212
111  43.82562142  018.33795964
113  43.82569963  018.33775261
110 2 0.00 153.0000 New Taxiway 26
111  43.82532964  018.33780223
111  43.82525387  018.33800724
111  43.82553050  018.33820476
113  43.82560627  018.33799976
110 2 0.00 153.0000 New Taxiway 26
111  43.82523746  018.33804625
111  43.82516034  018.33825137
111  43.82543697  018.33844889
113  43.82551409  018.33824377
110 2 0.00 153.0000 New Taxiway 26
111  43.82511646  018.33836808
111  43.82502818  018.33859477
111  43.82536349  018.33884109
113  43.82545176  018.33861441
110 2 0.00 153.0000 New Taxiway 23
111  43.82310223  018.34530613
111  43.82302462  018.34552532
111  43.82318408  018.34563027
113  43.82326170  018.34541108
110 2 0.00 153.0000 New Taxiway 24
111  43.82189239  018.34554001
111  43.82184904  018.34566405
111  43.82196361  018.34574344
111  43.82193566  018.34581896
111  43.82181073  018.34573547
111  43.82178897  018.34579185
111  43.82165624  018.34569697
111  43.82148998  018.34612298
111  43.82150116  018.34612685
111  43.82165624  018.34573570
111  43.82190213  018.34590804
111  43.82171352  018.34640762
111  43.82167161  018.34637858
111  43.82165764  018.34640375
111  43.82163668  018.34638826
111  43.82160874  018.34646959
111  43.82163249  018.34651219
111  43.82171632  018.34656835
111  43.82200831  018.34582865
111  43.82199574  018.34581122
111  43.82204185  018.34571053
111  43.82207677  018.34567567
113  43.82209117  018.34567127
110 2 0.00 153.0000 New Taxiway 23
111  43.82294062  018.34519977
111  43.82286300  018.34541896
111  43.82300650  018.34551340
113  43.82308412  018.34529421
110 2 0.00 153.0000 New Taxiway 23
111  43.82278344  018.34509633
111  43.82270582  018.34531553
111  43.82284163  018.34540490
113  43.82291925  018.34518571
110 1 0.00 153.0000 New Taxiway 17
111  43.82471264  018.33820947
111  43.82470459  018.33822897
111  43.82468399  018.33827889
111  43.82454638  018.33861226
111  43.82451704  018.33861226
112  43.82446535  018.33855416  43.82442623  018.33852705
111  43.82446535  018.33855416
112  43.82446535  018.33855416  43.82435498  018.33847283
111  43.82429211  018.33864130
111  43.82429211  018.33864130
112  43.82434240  018.33889304  43.82445836  018.33897825
111  43.82453241  018.33880590
113  43.82476014  018.33823852
110 2 0.00 153.0000 New Taxiway 1
111  43.82560869  018.33484690
111  43.82486230  018.33684350
111  43.82531897  018.33717034
