I
1050 Generated by WorldEditor 2.1.0r1

1    669 0 0 K26 Carrollton Memorial
100 15.24 1 0 0.00 0 2 0 18  39.31573381 -093.50650544    0    0 0 0 0 0 36  39.30860264 -093.50662307    0    0 0 0 0 0
110 1 0.00 0.0000 New Taxiway 6
111  39.31547947 -093.50642727
112  39.31560046 -093.50622004  39.31560126 -093.50604897
111  39.31560046 -093.50622004
111  39.31560116 -093.50613204
111  39.31573265 -093.50613355
113  39.31573308 -093.50643187
110 1 0.00 0.0000 New Taxiway 5
111  39.30860190 -093.50654939
111  39.30859983 -093.50625844
111  39.30873233 -093.50625350
111  39.30873456 -093.50636134
112  39.30873456 -093.50636134  39.30874711 -093.50652211
113  39.30890756 -093.50654832
110 2 0.00 0.0000 New Taxiway 32
111  39.31186265 -093.50480050
111  39.31186291 -093.50474614
111  39.31184456 -093.50474625
111  39.31184497 -093.50470312
111  39.31186311 -093.50470393
111  39.31186358 -093.50460450
111  39.31184628 -093.50460446
111  39.31182406 -093.50464019
111  39.31177881 -093.50464044
111  39.31177882 -093.50451527
111  39.31182544 -093.50451558
111  39.31182545 -093.50455298
111  39.31186382 -093.50455347
111  39.31186425 -093.50446270
111  39.31178729 -093.50446315
111  39.31178747 -093.50444101
111  39.31181185 -093.50444149
111  39.31181193 -093.50443002
111  39.31178757 -093.50443004
111  39.31178777 -093.50440511
111  39.31186451 -093.50440607
111  39.31186472 -093.50436246
111  39.31195870 -093.50436387
111  39.31195989 -093.50470253
111  39.31199389 -093.50470282
111  39.31199461 -093.50476664
111  39.31196004 -093.50474616
113  39.31196023 -093.50480075
110 2 0.00 0.0000 New Taxiway 33
111  39.31184982 -093.50431094
111  39.31185028 -093.50426490
111  39.31195498 -093.50426590
113  39.31195490 -093.50431373
110 3 0.00 0.0000 New Taxiway 34
111  39.31166365 -093.50488910
111  39.31166103 -093.50465407
111  39.31165978 -093.50450860
111  39.31166041 -093.50421276
111  39.31209531 -093.50421275
111  39.31209531 -093.50428357
111  39.31214896 -093.50428453
111  39.31215460 -093.50479967
113  39.31215556 -093.50488728
110 2 0.00 0.0000 New Taxiway 31
111  39.31225162 -093.50504107
111  39.31222491 -093.50506984
111  39.31215776 -093.50507122
111  39.31200192 -093.50507253
111  39.31200171 -093.50517122
111  39.31142956 -093.50517483
111  39.31142634 -093.50489092
111  39.31143744 -093.50489112
111  39.31143397 -093.50456431
111  39.31156251 -093.50455413
111  39.31156258 -093.50451074
111  39.31165978 -093.50450860
111  39.31166103 -093.50465407
111  39.31156218 -093.50465608
111  39.31156252 -093.50460410
111  39.31148641 -093.50460823
112  39.31148641 -093.50460823  39.31147330 -093.50461022
111  39.31147313 -093.50463672
111  39.31147543 -093.50488979
111  39.31166365 -093.50488910
111  39.31215556 -093.50488728
111  39.31215460 -093.50479967
111  39.31220450 -093.50479957
111  39.31220448 -093.50472116
111  39.31221503 -093.50472116
111  39.31221509 -093.50478959
111  39.31239345 -093.50479129
111  39.31239307 -093.50462417
111  39.31251892 -093.50462219
111  39.31251930 -093.50478732
111  39.31274433 -093.50479311
111  39.31274433 -093.50461665
111  39.31290670 -093.50462034
111  39.31290989 -093.50491479
