A
1000 Generated by Infinite Flight Airport Editing (World Parser)

1      925 1 0 LKCM Medlanky
100   71.93   3   0 0.25 0 0 0 15   49.24051794  016.55229292    0.00    0.00 1  0 0 0 33   49.23320436  016.55809902    0.00    0.00 1  0 0 0
110   3 0.00 152.60 strip
111  49.23887825  016.55458632 
111  49.24086576  016.55283111 
111  49.24042345  016.55149762 
111  49.23281101  016.55751268 
111  49.23322598  016.55889768 
113  49.23836597  016.55494613 
110   3 0.00  55.00 trava
111  49.24131623  016.56079201 
111  49.24103046  016.56026387 
111  49.24096433  016.56036515 
111  49.24093599  016.56033622 
111  49.24063368  016.56076669 
111  49.24093363  016.56129845 
111  49.24106589  016.56114290 
111  49.24095961  016.56095118 
111  49.24104935  016.56082457 
113  49.24116980  016.56101629 
110   2 0.00   0.00 beton
111  49.24082993  016.56024652 
111  49.24087873  016.56037806 
111  49.24077138  016.56051558 
111  49.24061523  016.56069496 
111  49.24057814  016.56064413 
111  49.24057033  016.56066506 
111  49.24055862  016.56071588 
111  49.24057424  016.56075176 
111  49.24049811  016.56084145 
111  49.24040247  016.56082949 
111  49.24035758  016.56073681 
111  49.24032635  016.56078165 
111  49.24039662  016.56091320 
111  49.24043565  016.56087732 
111  49.24049226  016.56092814 
111  49.24060937  016.56081155 
111  49.24074015  016.56106268 
111  49.24063474  016.56123308 
111  49.24067378  016.56123906 
111  49.24078309  016.56110752 
111  49.24092557  016.56134370 
111  49.24083969  016.56149318 
111  49.24087678  016.56156792 
111  49.24147210  016.56078763 
111  49.24141159  016.56070093 
111  49.24134718  016.56071289 
111  49.24106416  016.56021960 
111  49.24109734  016.56015981 
111  49.24121640  016.56035414 
111  49.24155408  016.55990569 
111  49.24143501  016.55971137 
111  49.24137841  016.55972034 
111  49.24136475  016.55970240 
111  49.24129253  016.55980405 
111  49.24117109  016.55958978 
111  49.24115516  016.55962415 
111  49.24126767  016.55982235 
111  49.24111191  016.56003752 
111  49.24102771  016.56006792 
111  49.24090900  016.56007587 
111  49.24080104  016.55989260 
111  49.24071520  016.55997725 
113  49.24070244  016.56000530 
110   1 0.00 170.00 RC placek
111  49.23654214  016.55888249 
111  49.23654429  016.55903046 
111  49.23725067  016.55884632 
113  49.23725926  016.55869835 
110   3 0.00 170.00 RC stojanka
111  49.23751027  016.55881679 
111  49.23743419  016.55824591 
111  49.23625506  016.55858378 
111  49.23621702  016.55840902 
111  49.23615617  016.55840902 
113  49.23620942  016.55916049 
110   3 0.00  55.00 TWY
111  49.24177006  016.55825755 
111  49.24168229  016.55824360 
111  49.24165367  016.55837508 
111  49.24163221  016.55846822 
111  49.24158929  016.55850109 
111  49.24152133  016.55870379 
111  49.24149986  016.55882432 
111  49.24144979  016.55884623 
111  49.24140686  016.55878049 
111  49.24135679  016.55879145 
111  49.24125663  016.55892293 
111  49.24105799  016.55921750 
111  49.24109213  016.55928199 
111  49.24102361  016.55938315 
111  49.24096307  016.55926935 
111  49.24095975  016.55914755 
111  49.23887750  016.55458575 
111  49.23836522  016.55494556 
111  49.23951759  016.55749242 
111  49.24071520  016.55997725 
111  49.24080104  016.55989260 
111  49.24090900  016.56007587 
111  49.24102771  016.56006792 
111  49.24111191  016.56003752 
111  49.24126767  016.55982235 
111  49.24115516  016.55962415 
111  49.24117109  016.55958978 
111  49.24121168  016.55966168 
111  49.24121729  016.55961320 
111  49.24151417  016.55920225 
111  49.24155642  016.55916741 
111  49.24164001  016.55930189 
111  49.24169302  016.55920779 
113  49.24175933  016.55916944 
130 Airport Boundary 37
111  49.22853060  016.55597168 
111  49.23076477  016.56399935 
111  49.24130520  016.56588964 
111  49.24496661  016.56215176 
113  49.24061175  016.54754005 
14   49.24133642  016.55954375   82 0 TW
15   49.24122872  016.55931321 137.16 Pred vezi
19   49.23831698  016.55537407 0 WS
54 12240 INFO

99
