I
1050 Generated by WorldEditor 2.1.0r1

1   3680 0 0 GMFB Bouarfa National Airport
100 45.72 2 0 0.00 0 3 1 09  32.51430044 -001.99956289    0    0 3 0 0 0 27  32.51431776 -001.96562398    0    0 3 0 0 0
110 1 0.00 0.0000 New Taxiway 209
111  32.51458676 -001.96493740
111  32.51458703 -001.96548088
111  32.51492267 -001.96547267
111  32.51491878 -001.96603756
112  32.51488001 -001.96623399  32.51485363 -001.96631484
111  32.51488001 -001.96623399
111  32.51458744 -001.96700536
111  32.51456021 -001.97779208
111  32.51458395 -001.97779442
111  32.51458065 -001.97797740
112  32.51474088 -001.97811268  32.51485496 -001.97814552
111  32.51474088 -001.97811268
111  32.51565264 -001.97810627
111  32.51574661 -001.97809454
112  32.51585053 -001.97789915  32.51587199 -001.97775383
111  32.51585053 -001.97789915
111  32.51585454 -001.97612366
111  32.51720873 -001.97611388
111  32.51721098 -001.97855866
111  32.51718593 -001.97858290
111  32.51480946 -001.97857058
112  32.51455691 -001.97877858  32.51450152 -001.97896234
111  32.51455691 -001.97877858
111  32.51456633 -001.99819151
111  32.51458062 -001.99818374
111  32.51489386 -001.99900328
111  32.51490976 -001.99970391
111  32.51456767 -001.99968770
111  32.51456169 -002.00026137
111  32.51402907 -002.00025563
111  32.51402700 -001.99810836
111  32.51406715 -001.98939446
111  32.51407873 -001.97343031
113  32.51404426 -001.96492990
130 Airport Boundary 225
111  32.51705320 -002.00397787
111  32.51243273 -002.00392004
111  32.51250650 -001.96116969
111  32.51710015 -001.96096153
111  32.52208879 -001.97676524
111  32.51971882 -001.97787551
111  32.51971863 -001.98586747
113  32.51744346 -001.98621719
120 Linear Feature 224
111  32.51673259 -001.97665318 51
115  32.51678996 -001.97658828
120 Linear Feature 223
111  32.51679589 -001.97687057 51
111  32.51665787 -001.97670887 51
115  32.51657763 -001.97661487
120 Linear Feature 212
111  32.51591422 -001.97846619 20
111  32.51711283 -001.97847319 20
111  32.51711568 -001.97834452 20
112  32.51711574 -001.97770452  32.51711574 -001.97770257
111  32.51711574 -001.97770452
112  32.51711574 -001.97770452  32.51711574 -001.97770364 20
112  32.51711580 -001.97707169  32.51711583 -001.97674156
111  32.51711580 -001.97707169
112  32.51711580 -001.97707169  32.51711582 -001.97684642 20
112  32.51711586 -001.97644297  32.51711588 -001.97627797
111  32.51711586 -001.97644297
112  32.51711586 -001.97644297  32.51711587 -001.97631561 20
111  32.51711588 -001.97623200 20
111  32.51594588 -001.97623490 20
111  32.51594365 -001.97791982 20
116  32.51591984 -001.97802354  32.51590061 -001.97805721
120 Linear Feature 214
111  32.51511784 -001.97821351 54 104
115  32.51511816 -001.97847146
120 Linear Feature 213
111  32.51471691 -001.97834598 51
112  32.51431823 -001.97785553  32.51426719 -001.97740215
111  32.51431823 -001.97785553 51
115  32.51431838 -001.97717624
120 Linear Feature 216
111  32.51607528 -001.97644274 51
115  32.51655382 -001.97644138
120 Linear Feature 222
111  32.51673721 -001.97728893 51
115  32.51678996 -001.97722716
120 Linear Feature 221
111  32.51679655 -001.97751414 51
111  32.51666326 -001.97735368 51
115  32.51657829 -001.97725140
120 Linear Feature 220
111  32.51673325 -001.97792938 51
115  32.51678798 -001.97786525
120 Linear Feature 219
111  32.51679523 -001.97814286 51
111  32.51666852 -001.97799718 51
115  32.51657961 -001.97789497
120 Linear Feature 218
111  32.51607295 -001.97732019 51
112  32.51631830 -001.97705911  32.51652530 -001.97703484
111  32.51631830 -001.97705911 51
115  32.51711580 -001.97707169
120 Linear Feature 217
111  32.51607459 -001.97802549 51
111  32.51610418 -001.97787332 51
112  32.51633641 -001.97770437  32.51650465 -001.97769133
111  32.51633641 -001.97770437 51
115  32.51711574 -001.97770364
120 Linear Feature 215
111  32.51585041 -001.97833872 51
112  32.51607459 -001.97802549  32.51611099 -001.97774585
111  32.51607459 -001.97802549 51
111  32.51607295 -001.97732019 51
111  32.51607528 -001.97644274 51
112  32.51655382 -001.97644138  32.51680440 -001.97672524
111  32.51655382 -001.97644138 51
115  32.51711586 -001.97644297
120 Linear Feature 211
111  32.51431661 -001.97951688 51
111  32.51431739 -001.97885089 51
112  32.51471691 -001.97834598  32.51511442 -001.97825279
111  32.51471691 -001.97834598 51
111  32.51585041 -001.97833872 51
115  32.51711568 -001.97834452
120 Linear Feature 210
111  32.51430520 -001.99789593 51 105
111  32.51430323 -001.99855014 51 105
112  32.51440588 -001.99887435  32.51450125 -001.99901008
111  32.51440588 -001.99887435 51 105
111  32.51469206 -001.99921474 51 105
111  32.51468995 -001.99924016
112  32.51468995 -001.99924016  32.51463447 -001.99948135 51 105
112  32.51431143 -001.99948323  32.51416859 -001.99941859
111  32.51431143 -001.99948323
112  32.51431143 -001.99948323  32.51413624 -001.99937641 51 105
116  32.51429923 -001.99889301  32.51452984 -001.99872112
14  32.51739048 -001.97815658  82.02 0 New Tower Viewpoint 36
1300  32.51665787 -001.97670887 134.85 gate jets|turboprops|props Gate 3
1301 C airline 
1300  32.51666326 -001.97735368 134.85 gate jets|turboprops|props Gate 2
1301 C airline 
1300  32.51666852 -001.97799718 134.85 gate jets|turboprops|props Gate 1
1301 C airline 
18  32.51739048 -001.97815658 1 New Airport Beacon 37
54 11800 Bouarfa Tower
55 11910 Bouarfa Approach
99
