A
1000 Generated by Infinite Flight Airport Editing (World Parser)

1     2100 0 0 BIKE Kerlingarfjoll
100   36.58   5   0 0.25 0 0 0 10   64.69992097 -019.41699219    0.00    0.00 1  0 0 0 28   64.70001183 -019.40481181    0.00    0.00 1  0 0 0
100   36.58   5   0 0.25 0 0 0 20   64.70125266 -019.41095454    0.00    0.00 1  0 0 0 02   64.69868014 -019.41084946    0.00    0.00 1  0 0 0
100   35.97   5   0 0.00 0 0 0 11   64.70447008 -019.42235682    0.00    0.00 0  0 0 0 29   64.70542500 -019.40789200    0.00    0.00 0  0 0 0
130 Airport Boundary
111  64.70520720 -019.42410041 
111  64.70359251 -019.42365263 
111  64.70480054 -019.40691701 
111  64.70585307 -019.40719687 
113  64.70587699 -019.41606843 
14   64.70555406 -019.41665614   82 0 Tower Viewpoint
19   64.70159039 -019.40981277 1 WS
19   64.70040885 -019.41778255 1 WS
19   64.70490043 -019.42327906 1 WS
19   64.70499457 -019.40696996 1 WS
19   64.69834241 -019.41199110 1 WS
19   64.69952388 -019.40402166 1 WS
51 11810 INFO

99
