I
1050 Generated by WorldEditor

1   1381 1 0 SKVV VANGUARDIA
100 30.00 1 0 0.00 0 2 0 05  04.16224517 -073.61833999    0   64 2 0 0 0 23  04.17580860 -073.60731827    0    0 2 0 0 0
110 2 0.00 0.0000 New Taxiway 114
111  04.17120052 -073.61383291
111  04.17099283 -073.61355766
111  04.17127065 -073.61334481
113  04.17148160 -073.61361548
110 2 0.00 0.0000 New Taxiway 113
111  04.16768855 -073.61581940
111  04.16783616 -073.61571044
111  04.16807366 -073.61602563
113  04.16792398 -073.61613563
110 2 0.00 0.0000 New Taxiway 112
111  04.16826371 -073.61621331
111  04.16810625 -073.61601480
111  04.16829506 -073.61587322
113  04.16844879 -073.61607111
110 2 0.00 0.0000 New Taxiway 111
111  04.16871293 -073.61597034
111  04.16849231 -073.61567900
111  04.16872831 -073.61549126
113  04.16895095 -073.61579039
110 2 0.00 0.0000 New Taxiway 97
111  04.16963529 -073.61476870
111  04.16980799 -073.61499156
111  04.16940833 -073.61530609
113  04.16923416 -073.61508477
110 1 0.00 0.0000 New Taxiway 96
111  04.16928026 -073.61418458
111  04.16931302 -073.61435134
111  04.16963529 -073.61476735
111  04.16923416 -073.61508342
111  04.16892304 -073.61467983
113  04.16867268 -073.61466371
110 1 0.00 0.0000 New Taxiway 14
111  04.17572594 -073.60721252 102
111  04.17574982 -073.60719320 102
111  04.17598614 -073.60748729 102
111  04.17570257 -073.60771901 102
113  04.17554175 -073.60769935
110 2 0.00 0.0000 New Taxiway 1
111  04.16445741 -073.61854755
111  04.16447652 -073.61857138
111  04.16453932 -073.61852076
111  04.16457103 -073.61855948
111  04.16466695 -073.61848259
111  04.16480613 -073.61865173
111  04.16446895 -073.61893145
111  04.16435374 -073.61891789
111  04.16429832 -073.61885687
111  04.16350444 -073.61952804
113  04.16340996 -073.61941711
110 2 0.00 0.0000 New Taxiway 6
111  04.16700963 -073.61628522
111  04.16742524 -073.61594171
111  04.16753845 -073.61607672
111  04.16746451 -073.61613518
111  04.16757283 -073.61627743
113  04.16722924 -073.61655244
110 1 0.00 0.0000 New Taxiway 1
111  04.17014610 -073.61206382 102
112  04.17003572 -073.61231337  04.17003437 -073.61238366 102
111  04.17006268 -073.61243947 102
111  04.17029077 -073.61271031 102
112  04.17033329 -073.61271885  04.17035635 -073.61271631 102
111  04.17038296 -073.61269056 102
111  04.17069693 -073.61306877 102
111  04.16928026 -073.61418593
111  04.16867268 -073.61466505 102
111  04.16758164 -073.61552542
111  04.16727974 -073.61576350
111  04.16742524 -073.61594171
111  04.16700963 -073.61628522
111  04.16686376 -073.61610493
111  04.16661341 -073.61631351
112  04.16660045 -073.61646449  04.16665868 -073.61654761
111  04.16677760 -073.61670150
111  04.16474883 -073.61836335
111  04.16467246 -073.61836903
111  04.16445741 -073.61854755
111  04.16340996 -073.61941711
111  04.16265361 -073.62003411
111  04.16251334 -073.61986677
112  04.16247298 -073.61975897  04.16245899 -073.61969235
111  04.16245237 -073.61960003
111  04.16245712 -073.61942997
111  04.16199108 -073.61884559
112  04.16192624 -073.61882969  04.16190111 -073.61881802
113  04.16186715 -073.61878346
111  04.16238632 -073.61890463
112  04.16253222 -073.61895828  04.16262553 -073.61894209
111  04.16272375 -073.61883829
111  04.16416644 -073.61767736
112  04.16430137 -073.61754075  04.16434794 -073.61748448
111  04.16438653 -073.61740940
111  04.16456219 -073.61679681
112  04.16451513 -073.61674068  04.16447605 -073.61671673
111  04.16451513 -073.61674068
112  04.16451513 -073.61674068  04.16447383 -073.61672119
111  04.16443443 -073.61671971
111  04.16218376 -073.61855952
114  04.16218568 -073.61865833  04.16223348 -073.61872899
111  04.16714177 -073.61527544
112  04.16681757 -073.61486563  04.16678285 -073.61482352
111  04.16674372 -073.61485342
111  04.16494641 -073.61630168
112  04.16486440 -073.61653611  04.16484466 -073.61661077
111  04.16481156 -073.61675733
112  04.16489101 -073.61688976  04.16497481 -073.61696220
113  04.16509957 -073.61692577
111  04.17011872 -073.61285812 102
111  04.16988539 -073.61259192 102
112  04.16979605 -073.61253615  04.16973526 -073.61250894 102
111  04.16963877 -073.61253423 102
111  04.16955454 -073.61255901
111  04.16705314 -073.61459194
112  04.16702286 -073.61473840  04.16709077 -073.61482098
113  04.16732934 -073.61511067
130 Airport Boundary 5
111  04.16158356 -073.61894120
111  04.16146837 -073.61751759
111  04.16227280 -073.61649927
112  04.16218852 -073.61611122  04.16217360 -073.61597155
111  04.16220047 -073.61577416
111  04.16939991 -073.61019073
111  04.17576085 -073.60538401
112  04.17636578 -073.60554452  04.17656724 -073.60574240
111  04.17785069 -073.60740214
111  04.17470141 -073.61002083
111  04.17116556 -073.61286546
111  04.17193084 -073.61389402
111  04.16338423 -073.62070109
111  04.16248245 -073.62132711
112  04.16151306 -073.62147191  04.16133824 -073.62135506
113  04.16109400 -073.62035880
120 Linear Feature 256
111  04.16981985 -073.61231319 51 101
112  04.16969343 -073.61230553  04.16963967 -073.61234654 51 101
115  04.16944915 -073.61250124
120 Linear Feature 124
111  04.16706495 -073.61554067 51 101
112  04.16709914 -073.61569712  04.16709700 -073.61571085 51 101
111  04.16703805 -073.61592486 51 101
111  04.16705829 -073.61603505 51
115  04.16727987 -073.61630302
120 Linear Feature 123
111  04.16700328 -073.61553311 51 101
112  04.16703693 -073.61552712  04.16704995 -073.61553005 51 101
115  04.16706495 -073.61554067
120 Linear Feature 122
111  04.16707159 -073.61547275 51 101
112  04.16705889 -073.61550877  04.16705756 -073.61552449 51 101
111  04.16706495 -073.61554067 51 101
112  04.16717045 -073.61568752  04.16717088 -073.61569653 51 101
111  04.16722821 -073.61589374 51
115  04.16732190 -073.61602000
120 Linear Feature 121
111  04.16687259 -073.61474638 51 101
112  04.16679679 -073.61471962  04.16676511 -073.61471962 51 101
111  04.16671018 -073.61473538 51 101
115  04.16639128 -073.61498286
120 Linear Feature 120
111  04.16614108 -073.61649541 51
112  04.16613730 -073.61646140  04.16613942 -073.61645076 51
115  04.16615092 -073.61642617
120 Linear Feature 119
111  04.16554356 -073.61745027 51
115  04.16559980 -073.61740321
120 Linear Feature 118
111  04.16574215 -073.61729313 51
115  04.16580220 -073.61723957
120 Linear Feature 117
111  04.16533707 -073.61761523 51
115  04.16540855 -073.61756186
120 Linear Feature 116
111  04.16502467 -073.61752036 51
112  04.16499784 -073.61752358  04.16498981 -073.61752390 51
115  04.16497107 -073.61751766
120 Linear Feature 115
111  04.16494100 -073.61748114 51
112  04.16493299 -073.61743727  04.16493341 -073.61742355 51
115  04.16495012 -073.61739592
120 Linear Feature 109
111  04.16461118 -073.61704480 51 101
112  04.16465332 -073.61722484  04.16468661 -073.61727712 51 101
112  04.16472366 -073.61728319  04.16473618 -073.61728444 51 101
115  04.16479837 -073.61728238
120 Linear Feature 108
111  04.16238109 -073.61891790 4 103
115  04.16220373 -073.61907154
120 Linear Feature 107
111  04.16475804 -073.61685872 4 103
115  04.16451476 -073.61705950
120 Linear Feature 106
111  04.16730119 -073.61511523 4 103
115  04.16714019 -073.61524596
120 Linear Feature 104
111  04.17025655 -073.61272065 4 103
115  04.17012524 -073.61282583
120 Linear Feature 95
111  04.16604123 -073.61670182 51
112  04.16601000 -073.61671107  04.16599344 -073.61671159 51
115  04.16598659 -073.61671000
120 Linear Feature 94
111  04.16443072 -073.61852330 20
111  04.16441014 -073.61849783 20
115  04.16439001 -073.61847291
120 Linear Feature 93
111  04.16454893 -073.61842975 20
111  04.16452863 -073.61840381 20
115  04.16450587 -073.61837704
120 Linear Feature 92
111  04.16643862 -073.61684684 20
111  04.16647072 -073.61687053 20
115  04.16649954 -073.61689179
120 Linear Feature 89
111  04.16255662 -073.61947350 22
111  04.16271763 -073.61967530 22
111  04.16278393 -073.61975017 22
112  04.16283236 -073.61976022  04.16285979 -073.61975296 22
111  04.16288069 -073.61973652 22
115  04.16441014 -073.61849783
120 Linear Feature 87
111  04.16619439 -073.61705741 20
111  04.16643862 -073.61684684 20
112  04.16652536 -073.61675234  04.16652950 -073.61672224 20
111  04.16649206 -073.61667191 20
111  04.16641088 -073.61656188 20
112  04.16640407 -073.61646794  04.16641907 -073.61642615 20
112  04.16644709 -073.61638160  04.16646621 -073.61636053 20
111  04.16656521 -073.61627288 20
111  04.16749195 -073.61552128 20
111  04.16754875 -073.61547932 20
112  04.16755080 -073.61542828  04.16753998 -073.61540563 20
111  04.16749580 -073.61535557 20
115  04.16742905 -073.61527442
120 Linear Feature 86
111  04.16471617 -073.61825491 20
111  04.16570998 -073.61745037 20
115  04.16610844 -073.61712735
120 Linear Feature 90
111  04.16452863 -073.61840381 22
111  04.16460579 -073.61835197 22
111  04.16468915 -073.61830600 22
