I
1050 Generated by WorldEditor 2.2.0r2

1   1332 0 0 14Y Todd Field
1302 gui_label 2D
100 22.86 1 0 0.00 0 2 0 16  45.90225493 -094.87532916    0    0 1 0 0 1 34  45.89427900 -094.87242900    0    0 1 0 0 1
110 2 0.00 0.0000 New Taxiway 27
111  45.90148431 -094.87365829
111  45.90147186 -094.87365279
111  45.90147534 -094.87363643
113  45.90148755 -094.87364198
110 2 0.00 0.0000 New Taxiway 27
111  45.90154572 -094.87368045
111  45.90153319 -094.87367487
111  45.90153675 -094.87365858
113  45.90154905 -094.87366421
110 2 0.00 0.0000 New Taxiway 27
111  45.90150105 -094.87373467
111  45.90148815 -094.87372992
111  45.90149259 -094.87370996
113  45.90150507 -094.87371584
110 2 0.00 0.0000 New Taxiway 26
111  45.90160375 -094.87370239
111  45.90159130 -094.87369689
111  45.90159478 -094.87368053
113  45.90160698 -094.87368608
110 2 0.00 0.0000 New Taxiway 26
111  45.90166318 -094.87372433
111  45.90165066 -094.87371875
111  45.90165421 -094.87370247
113  45.90166652 -094.87370809
110 2 0.00 0.0000 New Taxiway 26
111  45.90162005 -094.87377843
111  45.90160742 -094.87377378
111  45.90161156 -094.87375508
113  45.90162404 -094.87376096
110 2 0.00 0.0000 New Taxiway 25
111  45.90172354 -094.87374707
111  45.90171109 -094.87374157
111  45.90171457 -094.87372521
113  45.90172678 -094.87373076
110 2 0.00 0.0000 New Taxiway 25
111  45.90178297 -094.87376901
111  45.90177045 -094.87376343
111  45.90177400 -094.87374715
113  45.90178631 -094.87375277
110 2 0.00 0.0000 New Taxiway 25
111  45.90174048 -094.87382272
111  45.90172752 -094.87381795
111  45.90173197 -094.87379875
113  45.90174445 -094.87380463
110 2 0.00 0.0000 New Taxiway 24
111  45.90184184 -094.87378969
111  45.90182939 -094.87378419
111  45.90183287 -094.87376783
113  45.90184508 -094.87377338
110 2 0.00 0.0000 New Taxiway 24
111  45.90190325 -094.87381185
111  45.90189073 -094.87380627
111  45.90189428 -094.87378999
113  45.90190659 -094.87379561
110 2 0.00 0.0000 New Taxiway 24
111  45.90185958 -094.87386652
111  45.90184649 -094.87386171
111  45.90185103 -094.87384158
113  45.90186351 -094.87384746
110 2 0.00 0.0000 New Taxiway 23
111  45.90196201 -094.87383127
111  45.90194956 -094.87382577
111  45.90195304 -094.87380941
113  45.90196524 -094.87381496
110 2 0.00 0.0000 New Taxiway 23
111  45.90202402 -094.87385473
111  45.90201150 -094.87384916
111  45.90201505 -094.87383287
113  45.90202736 -094.87383850
110 2 0.00 0.0000 New Taxiway 23
111  45.90197992 -094.87391078
111  45.90196696 -094.87390601
111  45.90197165 -094.87388578
113  45.90198413 -094.87389166
110 2 0.00 0.0000 New Taxiway 22
111  45.90208024 -094.87387494
111  45.90206778 -094.87386944
111  45.90207127 -094.87385308
113  45.90208347 -094.87385863
110 2 0.00 0.0000 New Taxiway 22
111  45.90213967 -094.87389688
111  45.90212714 -094.87389130
111  45.90213070 -094.87387502
113  45.90214300 -094.87388064
110 2 0.00 0.0000 New Taxiway 22
111  45.90210236 -094.87395580
111  45.90208922 -094.87395097
111  45.90209322 -094.87393142
113  45.90210570 -094.87393730
110 2 0.00 0.0000 New Taxiway 21
111  45.90330081 -094.87321408
111  45.90317853 -094.87316723
111  45.90321397 -094.87295685
113  45.90333826 -094.87299953
110 2 0.00 0.0000 New Taxiway 20
111  45.90316610 -094.87263103
111  45.90302557 -094.87257679
111  45.90306022 -094.87238650
113  45.90320091 -094.87243825
110 2 0.00 0.0000 New Taxiway 19
111  45.90299895 -094.87256678
111  45.90286859 -094.87251740
111  45.90289143 -094.87238721
113  45.90302197 -094.87243639
110 2 0.00 0.0000 New Taxiway 18
111  45.90283365 -094.87250463
111  45.90267129 -094.87244315
111  45.90271433 -094.87221384
113  45.90287620 -094.87227028
110 2 0.00 0.0000 New Taxiway 17
111  45.90263343 -094.87242936
111  45.90249774 -094.87237834
111  45.90253150 -094.87219269
113  45.90266820 -094.87224041
110 2 0.00 0.0000 New Taxiway 16
111  45.90268700 -094.87330337
111  45.90265945 -094.87345118
111  45.90249497 -094.87338939
111  45.90249619 -094.87338213
111  45.90248542 -094.87337799
111  45.90248785 -094.87336389
111  45.90249851 -094.87336834
113  45.90251949 -094.87324379
110 2 0.00 0.0000 New Taxiway 15
111  45.90282319 -094.87335179
111  45.90281769 -094.87338173
111  45.90279700 -094.87349437
111  45.90268705 -094.87345370
111  45.90270037 -094.87338492
111  45.90268594 -094.87337872
111  45.90269953 -094.87331245
111  45.90271662 -094.87331958
111  45.90271860 -094.87331004
113  45.90275617 -094.87332504
110 2 0.00 0.0000 New Taxiway 14
111  45.90298288 -094.87344413
111  45.90296161 -094.87355973
111  45.90284728 -094.87351801
113  45.90287050 -094.87340211
110 2 0.00 0.0000 New Taxiway 13
111  45.90389106 -094.87346943
111  45.90334945 -094.87327268
111  45.90336813 -094.87317447
111  45.90335261 -094.87316798
111  45.90338212 -094.87300575
111  45.90339384 -094.87301002
113  45.90393763 -094.87320675
110 2 0.00 0.0000 New Taxiway 12
111  45.90387404 -094.87356712
111  45.90333238 -094.87337037
111  45.90333507 -094.87335440
113  45.90387733 -094.87354923
110 2 0.00 0.0000 New Taxiway 11
111  45.90341151 -094.87291291
111  45.90341356 -094.87290280
111  45.90395743 -094.87309284
113  45.90395456 -094.87310924
110 2 0.00 0.0000 New Taxiway 10
111  45.90246836 -094.87247900
111  45.90247131 -094.87245931
111  45.90314497 -094.87270124
113  45.90314978 -094.87271725
110 2 0.00 0.0000 New Taxiway 9
111  45.90239129 -094.87300471
111  45.90239352 -094.87298951
111  45.90302758 -094.87322259
111  45.90303756 -094.87322615
113  45.90304110 -094.87324006
110 2 0.00 0.0000 New Taxiway 8
111  45.90189601 -094.87318359
111  45.90189819 -094.87317267
111  45.90222208 -094.87328838
