I
1050 Generated by WorldEditor

1   2207 0 0 KPHP PHILIP
100 23.00 2 0 0.00 1 2 1 12  44.05129483 -101.60582912    0    0 2 9 0 0 30  44.04449903 -101.59384783    0    0 2 9 0 0
100 37.00 3 0 0.00 1 2 1 06  44.04742263 -101.60383995    0    0 2 9 0 0 24  44.05186951 -101.59161893    0    0 2 9 0 0
110 2 0.00 0.0000 New Taxiway 16
111  44.05245265 -101.59899688
111  44.05234255 -101.59899688
111  44.05234108 -101.59877220
113  44.05245265 -101.59876812
110 2 0.00 0.0000 New Taxiway 15
111  44.05220187 -101.59964238
111  44.05214386 -101.59963400
111  44.05214787 -101.59954735
113  44.05220639 -101.59955329
110 2 0.00 0.0000 New Taxiway 14
111  44.05236213 -101.59969286
111  44.05240315 -101.59954193
111  44.05251902 -101.59961062
113  44.05247734 -101.59975738
110 2 0.00 0.0000 New Taxiway 13
111  44.05236486 -101.59986281
111  44.05239759 -101.59974378
111  44.05246705 -101.59978316
111  44.05244801 -101.59984401
111  44.05249123 -101.59986549
111  44.05243052 -101.60009601
111  44.05238833 -101.60007668
111  44.05237598 -101.60014040
111  44.05233276 -101.60011749
111  44.05235283 -101.60005807
113  44.05231564 -101.60003656
110 2 0.00 0.0000 New Taxiway 12
111  44.05209927 -101.60080247
111  44.05217713 -101.60084858
111  44.05213924 -101.60099242
113  44.05206280 -101.60095086
110 2 0.00 0.0000 New Taxiway 12
111  44.05204822 -101.60100159
111  44.05212521 -101.60104839
111  44.05208732 -101.60119222
113  44.05201085 -101.60114871
110 2 0.00 0.0000 New Taxiway 11
111  44.05175592 -101.60122238
112  44.05166834 -101.60098581  44.05158118 -101.60093816
111  44.05148966 -101.60088792
111  44.05165247 -101.60028864
113  44.05196510 -101.60044632
110 1 0.00 0.0000 New Taxiway 10
111  44.04991691 -101.60317241
112  44.05005838 -101.60318912  44.05010810 -101.60313609
111  44.05166128 -101.60144351
111  44.05175592 -101.60122238
111  44.05196510 -101.60044632
111  44.05165247 -101.60028864
111  44.05184352 -101.59957967
112  44.05222442 -101.59975281  44.05226551 -101.59976424
111  44.05227646 -101.59971850
111  44.05232646 -101.59956890
112  44.05233536 -101.59946218  44.05233741 -101.59942406
111  44.05232640 -101.59942761
112  44.05159650 -101.59944783  44.05134782 -101.59946131
