I
1050 Generated by WorldEditor 2.1.0r1

1    187 1 0 LPMR Monte Real AB
1302 city Monte Real
1302 country Portugal
1302 datum_lat 39.828386111
1302 datum_lon -8.887375
1302 faa_code 
1302 iata_code QLR
1302 icao_code LPMR
1302 region_code LP
1302 state Leiria District
1302 transition_alt 4000
1302 transition_level 
100 45.11 2 0 0.25 1 3 0 01  39.81778801 -008.88779825  270    0 3 0 0 1 19  39.84474086 -008.88673799  263    0 3 1 0 1
102 H1  39.82773247 -008.88484000   2.00 30.00 30.00 1 0 0 0.25 0
110 2 0.00 84.0000 New Taxiway 122
111  39.83155837 -008.89325786
111  39.83154223 -008.89294748
111  39.83161725 -008.89294006
111  39.83161546 -008.89288590
111  39.83188705 -008.89285993
111  39.83190441 -008.89321363
111  39.83163282 -008.89323960
113  39.83163339 -008.89325044
110 2 0.00 84.0000 New Taxiway 121
111  39.83308989 -008.89158726
111  39.83281070 -008.89157984
111  39.83281070 -008.89149204
111  39.83268286 -008.89148860
111  39.83268444 -008.89131548
111  39.83281070 -008.89131644
111  39.83281070 -008.89122740
113  39.83308989 -008.89123482
110 2 0.00 84.0000 New Taxiway 104
111  39.83267722 -008.88238042
111  39.83266883 -008.88210489
111  39.83265950 -008.88179834
111  39.83562894 -008.88168551
111  39.83564469 -008.88225991
111  39.83530800 -008.88227358
111  39.83402396 -008.88232573
112  39.83399310 -008.88238537  39.83399310 -008.88242123
111  39.83399310 -008.88238537
111  39.83398273 -008.88238579
111  39.83399128 -008.88283716
111  39.83396174 -008.88283836
111  39.83396934 -008.88311907
111  39.83381086 -008.88312551
111  39.83380326 -008.88284480
111  39.83372063 -008.88284815
111  39.83372918 -008.88312886
111  39.83357726 -008.88313438
111  39.83356872 -008.88285367
111  39.83358486 -008.88285367
111  39.83357631 -008.88240230
111  39.83356802 -008.88240264
112  39.83356802 -008.88240264  39.83356707 -008.88236059
113  39.83352390 -008.88234603
110 2 0.00 84.0000 New Taxiway 103
111  39.82917730 -008.88204230
111  39.82918518 -008.88234742
111  39.82833255 -008.88238075
112  39.82833255 -008.88238075  39.82815532 -008.88238588
111  39.82814351 -008.88218332
113  39.82813957 -008.88208332
110 2 0.00 84.0000 New Taxiway 102
111  39.82420262 -008.88211315
111  39.82419579 -008.88194222
111  39.82478778 -008.88191718
111  39.82480690 -008.88194646
111  39.82484669 -008.88194400
112  39.82484669 -008.88194400  39.82487241 -008.88194314
111  39.82488022 -008.88190306
111  39.82488301 -008.88190161
111  39.82488635 -008.88213630
111  39.82483920 -008.88213904
112  39.82482666 -008.88212245  39.82481809 -008.88212331
111  39.82482666 -008.88212245
111  39.82442250 -008.88212993
113  39.82442168 -008.88210810
110 2 0.00 84.0000 New Taxiway 101
111  39.82496169 -008.88231892
111  39.82494802 -008.88171503
111  39.82724742 -008.88161915
111  39.82724792 -008.88165119
113  39.82725699 -008.88222988
110 2 0.00 84.0000 New Taxiway 100
111  39.84147584 -008.88616252
111  39.84013179 -008.88621127
111  39.84011567 -008.88548315
111  39.84011485 -008.88544609
111  39.84010117 -008.88482867
111  39.84113217 -008.88477549
113  39.84145202 -008.88497047
110 2 0.00 84.0000 New Taxiway 99
111  39.84226120 -008.88589090
111  39.84222242 -008.88588987
111  39.84221987 -008.88578105
111  39.84218681 -008.88436966
111  39.84182604 -008.88438474
111  39.84082884 -008.88443437
111  39.84082371 -008.88443462
111  39.84081414 -008.88415501
111  39.84082358 -008.88415456
111  39.84218022 -008.88408912
111  39.84218842 -008.88435626
111  39.84222124 -008.88435626
111  39.84222453 -008.88448273
111  39.84226009 -008.88447917
111  39.84226134 -008.88452718
111  39.84229689 -008.88452540
111  39.84229805 -008.88457011
111  39.84233497 -008.88456833
111  39.84233618 -008.88461457
111  39.84237583 -008.88461457
111  39.84240389 -008.88569202
111  39.84236423 -008.88569202
111  39.84236539 -008.88573655
111  39.84232847 -008.88573833
111  39.84232977 -008.88578813
111  39.84229422 -008.88578991
111  39.84229551 -008.88583978
113  39.84225996 -008.88584334
110 2 0.00 84.0000 New Taxiway 12
111  39.82291774 -008.89283727
112  39.82291568 -008.89288288  39.82293114 -008.89291106
111  39.82291568 -008.89288288
111  39.82289166 -008.89292205
111  39.82288039 -008.89293659
112  39.82288039 -008.89293659  39.82284536 -008.89283193
111  39.82290319 -008.89277635
111  39.82435154 -008.89151370
112  39.82435154 -008.89151370  39.82441455 -008.89145473
112  39.82443224 -008.89137490  39.82446415 -008.89137490
111  39.82443224 -008.89137490
111  39.82444185 -008.89145928
112  39.82435631 -008.89158809  39.82430170 -008.89163774
113  39.82435631 -008.89158809
110 2 0.00 84.0000 West
111  39.84237478 -008.88656860
111  39.84237814 -008.88665207
111  39.84472534 -008.88656396
111  39.84474116 -008.88700177
112  39.84463141 -008.88752485  39.84450932 -008.88780161
111  39.84463141 -008.88752485
112  39.84463141 -008.88752485  39.84450416 -008.88783857
111  39.84419512 -008.88794512
111  39.84111967 -008.88905064
111  39.84106918 -008.88906297
111  39.84098817 -008.88908353
111  39.84099028 -008.88909449
112  39.84091909 -008.88917911  39.84091697 -008.88925144
111  39.84091909 -008.88917911
111  39.84091017 -008.88917982
111  39.84091246 -008.88923241
111  39.84092170 -008.88923762
111  39.84094615 -008.88923579
111  39.84098460 -008.88923293
112  39.84098460 -008.88923293  39.84114135 -008.88932199
112  39.84088088 -008.88974546  39.84064523 -008.88976327
112  39.84073304 -008.88925165  39.84088348 -008.88914204
111  39.84073304 -008.88925165
111  39.84077446 -008.88924853
111  39.84079596 -008.88924691
111  39.84080460 -008.88924053
111  39.84080283 -008.88919792
111  39.84079392 -008.88919851
112  39.84079392 -008.88919851  39.84079170 -008.88912140
111  39.84073657 -008.88911340
111  39.84073674 -008.88910545
111  39.84035590 -008.88911915
111  39.84017706 -008.88915477
111  39.84007501 -008.88918492
111  39.83991090 -008.88924931
111  39.83978150 -008.88931782
111  39.83962159 -008.88942606
111  39.83962580 -008.88943291
112  39.83959991 -008.88956093  39.83962227 -008.88962024
111  39.83959991 -008.88956093
111  39.83961776 -008.88959370
111  39.83963526 -008.88957778
111  39.83966942 -008.88954672
112  39.83966942 -008.88954672  39.83985633 -008.88954398
112  39.83978748 -008.89005394  39.83959496 -008.89022955
112  39.83946275 -008.88973448  39.83952886 -008.88951253
111  39.83946275 -008.88973448
111  39.83949601 -008.88970430
111  39.83951443 -008.88968758
111  39.83949942 -008.88965908
112  39.83949942 -008.88965908  39.83946397 -008.88959603
111  39.83939961 -008.88963705
111  39.83939350 -008.88963036
111  39.83931545 -008.88971652
111  39.83923024 -008.88982887
111  39.83911767 -008.89000150
111  39.83897880 -008.89027552
111  39.83890411 -008.89047281
111  39.83885361 -008.89064955
111  39.83880311 -008.89087013
111  39.83877997 -008.89101673
111  39.83875787 -008.89123458
111  39.83876175 -008.89154239
111  39.83877085 -008.89154470
112  39.83886471 -008.89165254  39.83896887 -008.89166213
111  39.83886471 -008.89165254
111  39.83886967 -008.89164475
111  39.83887081 -008.89161992
111  39.83887360 -008.89155929
112  39.83887360 -008.89155929  39.83899318 -008.89137204
112  39.83925088 -008.89176398  39.83923439 -008.89206334
112  39.83885570 -008.89189023  39.83875579 -008.89167555
111  39.83885570 -008.89189023
111  39.83885888 -008.89183352
111  39.83886029 -008.89180830
111  39.83885648 -008.89179617
112  39.83885648 -008.89179617  39.83875864 -008.89178795
111  39.83874841 -008.89189085
111  39.83873683 -008.89188948
111  39.83872211 -008.89198812
111  39.83870001 -008.89211691
111  39.83868003 -008.89220871
111  39.83865768 -008.89230924
111  39.83863558 -008.89239367
111  39.83861138 -008.89247587
111  39.83861690 -008.89247861
