A
1050 Generated by WorldEditor

1     84 1 0 GOOY Dakar - Leopold Sedar Senghor Intl
100 45.11 1 1 0.25 0 3 0 18  14.75750623 -017.48114343  160   67 2 0 0 0 36  14.72629907 -017.47695788    0   65 3 1 0 0
100 29.87 1 0 0.25 0 0 0 03  14.73213695 -017.50446329    0   30 2 0 0 0 21  14.74459741 -017.49917110    0  485 2 0 0 0
110 2 0.00 0.0000 New Taxiway 44
111  14.74534144 -017.49391976
111  14.74512481 -017.49398663
111  14.74505818 -017.49375399
113  14.74527482 -017.49368711
110 2 0.00 0.0000 New Taxiway 44
111  14.74517556 -017.49411499
111  14.74489018 -017.49420237
111  14.74475259 -017.49372190
113  14.74503797 -017.49363452
110 2 0.00 359.7700 New Taxiway 44
111  14.74608612 -017.49219125
111  14.74592441 -017.49223825
111  14.74581750 -017.49187896
113  14.74597920 -017.49183196
110 2 0.00 359.7700 New Taxiway 44
111  14.74501542 -017.48827663
111  14.74473292 -017.48835966
111  14.74467455 -017.48816017
113  14.74495705 -017.48807714
110 2 0.00 359.7700 New Taxiway 44
111  14.74431935 -017.48760909
111  14.74418249 -017.48764931
111  14.74410792 -017.48737078
111  14.74398870 -017.48740216
111  14.74390865 -017.48711211
113  14.74416305 -017.48704105
110 2 0.00 359.7700 New Taxiway 44
111  14.74499364 -017.48743578
111  14.74471114 -017.48751881
111  14.74456806 -017.48701401
113  14.74485057 -017.48693099
110 2 0.00 359.7700 New Taxiway 44
111  14.74429329 -017.48548317
111  14.74384380 -017.48561875
111  14.74364023 -017.48491625
113  14.74408972 -017.48478067
110 2 0.00 359.7700 New Taxiway 44
111  14.74651615 -017.49098865
111  14.74606666 -017.49112423
111  14.74590035 -017.49055937
113  14.74634984 -017.49042379
110 2 0.00 359.7700 New Taxiway 44
111  14.74743579 -017.49342700
111  14.74720852 -017.49349661
111  14.74714121 -017.49326163
113  14.74736849 -017.49319202
110 2 0.00 0.0000 New Taxiway 44
111  14.74653709 -017.49346697
111  14.74630981 -017.49353658
111  14.74624251 -017.49330160
113  14.74646979 -017.49323199
110 2 0.00 0.0000 New Taxiway 44
111  14.74723280 -017.49364360
111  14.74701786 -017.49371018
111  14.74685402 -017.49314459
111  14.74696878 -017.49310905
111  14.74702688 -017.49331257
113  14.74712800 -017.49328183
110 2 0.00 0.0000 New Taxiway 44
111  14.74490774 -017.48810879
111  14.74469964 -017.48817147
111  14.74400265 -017.48571352
113  14.74421075 -017.48565084
110 2 0.00 0.0000 New Taxiway 44
111  14.74606908 -017.49111410
111  14.74561940 -017.49125339
111  14.74519942 -017.48981134
113  14.74564911 -017.48967205
110 2 0.00 0.0000 New Taxiway 44
111  14.74715511 -017.49304724
111  14.74684140 -017.49314441
111  14.74660229 -017.49231894
113  14.74691599 -017.49222177
110 2 0.00 0.0000 New Taxiway 44
111  14.74232627 -017.48394144
111  14.74189860 -017.48406959
111  14.74184989 -017.48389578
113  14.74227756 -017.48376762
110 2 0.00 0.0000 New Taxiway 44
111  14.73588803 -017.48374427
111  14.73557789 -017.48383066
111  14.73549003 -017.48349343
113  14.73580017 -017.48340704
110 2 0.00 0.0000 New Taxiway 44
111  14.73530178 -017.48360636
111  14.73495091 -017.48370409
111  14.73485151 -017.48332258
113  14.73520238 -017.48322484
110 2 0.00 0.0000 New Taxiway 44
111  14.73665259 -017.48794432
111  14.73622373 -017.48807923
111  14.73604661 -017.48747729
113  14.73647547 -017.48734237
110 2 0.00 0.0000 New Taxiway 44
111  14.73641832 -017.48716917
111  14.73598946 -017.48730409
111  14.73581234 -017.48670214
113  14.73624120 -017.48656723
110 2 0.00 0.0000 New Taxiway 44
111  14.73579402 -017.48540430
111  14.73539337 -017.48551781
111  14.73533893 -017.48531236
113  14.73573958 -017.48519885
110 2 0.00 0.0000 New Taxiway 44
111  14.73598936 -017.48622527
111  14.73570898 -017.48630470
111  14.73567088 -017.48616093
113  14.73595126 -017.48608149
110 2 0.00 0.0000 New Taxiway 44
111  14.73601664 -017.48639448
111  14.73573626 -017.48647391
111  14.73569816 -017.48633013
113  14.73597854 -017.48625070
110 2 0.00 0.0000 New Taxiway 43
111  14.74311428 -017.48766342
111  14.74264980 -017.48755391
111  14.74264980 -017.48755391
111  14.74240872 -017.48762828
111  14.74240872 -017.48762828
111  14.74236599 -017.48747985
111  14.74236599 -017.48747985
111  14.74260699 -017.48740553
111  14.74260699 -017.48740553
111  14.74293048 -017.48704060
113  14.74293048 -017.48704060
110 2 0.00 0.0000 New Taxiway 43
111  14.74329435 -017.48828882
111  14.74283360 -017.48817674
111  14.74283360 -017.48817674
111  14.74259253 -017.48825110
111  14.74259253 -017.48825110
111  14.74254979 -017.48810268
111  14.74254979 -017.48810268
111  14.74279080 -017.48802836
111  14.74279080 -017.48802836
111  14.74311428 -017.48766342
113  14.74311428 -017.48766342
110 2 0.00 0.0000 New Taxiway 43
111  14.74347586 -017.48891586
111  14.74301368 -017.48880214
111  14.74301368 -017.48880214
111  14.74277260 -017.48887650
111  14.74277260 -017.48887650
111  14.74272987 -017.48872808
111  14.74272987 -017.48872808
111  14.74297087 -017.48865375
111  14.74297087 -017.48865375
111  14.74329435 -017.48828882
113  14.74329435 -017.48828882
110 2 0.00 0.0000 New Taxiway 15
111  14.74068193 -017.48685740
111  14.74038022 -017.48694585
111  14.73943850 -017.48368268
112  14.73923824 -017.48359362  14.73907792 -017.48364381
111  14.73923824 -017.48359362
111  14.73918647 -017.48343057
111  14.73952796 -017.48332520
111  14.74050041 -017.48669487
114  14.74050041 -017.48669487  14.74054549 -017.48685180
110 2 0.00 0.0000 New Taxiway 21
111  14.74372835 -017.48556943
111  14.74341630 -017.48566578
111  14.74336371 -017.48548361
111  14.74297850 -017.48560248
112  14.74297850 -017.48560248  14.74280012 -017.48565968
111  14.74282989 -017.48585016
112  14.74279751 -017.48535116  14.74284041 -017.48512351
111  14.74279751 -017.48535116
111  14.74282866 -017.48518320
112  14.74311423 -017.48536861  14.74334936 -017.48530203
111  14.74311423 -017.48536861
111  14.74333634 -017.48530007
112  14.74333634 -017.48530007  14.74348910 -017.48519220
111  14.74340070 -017.48500924
113  14.74355313 -017.48496222
110 2 0.00 0.0000 New Taxiway 43
111  14.74365897 -017.48955111
111  14.74365897 -017.48955111
111  14.74319519 -017.48942918
111  14.74319519 -017.48942918
111  14.74295411 -017.48950354
111  14.74295411 -017.48950354
111  14.74291138 -017.48935512
111  14.74291138 -017.48935512
111  14.74315238 -017.48928079
111  14.74315238 -017.48928079
111  14.74347586 -017.48891586
113  14.74347586 -017.48891586
110 2 0.00 0.0000 New Taxiway 24
111  14.74269691 -017.47961072
111  14.74274782 -017.47938886
112  14.74316739 -017.47988738  14.74336013 -017.48018445
111  14.74345694 -017.48051132
111  14.74333512 -017.48112237
114  14.74315841 -017.48028925  14.74298204 -017.47991886
110 2 0.00 0.0000 New Taxiway 20
111  14.74500664 -017.49268675
111  14.74460411 -017.49281096
111  14.74443652 -017.49223021
111  14.74437262 -017.49224992
111  14.74433122 -017.49210620
111  14.74439506 -017.49208646
111  14.74431998 -017.49182641
111  14.74363259 -017.49203852
111  14.74304102 -017.48998867
111  14.74356331 -017.48982751
111  14.74354929 -017.48977879
111  14.74359096 -017.48976589
111  14.74356696 -017.48968265
111  14.74368956 -017.48964482
111  14.74351081 -017.48902474
111  14.74367477 -017.48897416
111  14.74345795 -017.48822286
111  14.74350927 -017.48820702
111  14.74357366 -017.48843040
111  14.74362294 -017.48841519
111  14.74364848 -017.48850357
111  14.74369254 -017.48848997
111  14.74371826 -017.48857902
111  14.74377127 -017.48856267
111  14.74378326 -017.48860420
111  14.74382442 -017.48859149
111  14.74383780 -017.48863784
111  14.74388033 -017.48862471
111  14.74389302 -017.48866877
111  14.74393417 -017.48865607
111  14.74399467 -017.48886568
111  14.74461441 -017.48867444
111  14.74464009 -017.48876330
111  14.74446647 -017.48881685
111  14.74460958 -017.48931275
111  14.74479053 -017.48925691
111  14.74483129 -017.48939817
111  14.74460876 -017.48946687
111  14.74462248 -017.48951445
111  14.74445318 -017.48956667
111  14.74446864 -017.48962018
111  14.74468801 -017.48974155
111  14.74472337 -017.48986418
111  14.74480804 -017.48983808
111  14.74486084 -017.49002116
111  14.74465168 -017.49008569
111  14.74466496 -017.49013166
111  14.74448931 -017.49018583
111  14.74451261 -017.49026654
111  14.74446459 -017.49028133
111  14.74450460 -017.49042002
111  14.74468191 -017.49036531
111  14.74469555 -017.49041259
111  14.74486636 -017.49035989
111  14.74490442 -017.49049177
111  14.74473360 -017.49054448
111  14.74478473 -017.49072165
111  14.74473696 -017.49073638
111  14.74474945 -017.49077962
111  14.74461765 -017.49082029
111  14.74463122 -017.49086730
111  14.74485515 -017.49079819
111  14.74487569 -017.49086934
111  14.74499979 -017.49083104
111  14.74503660 -017.49095863
111  14.74491251 -017.49099693
111  14.74493293 -017.49106770
111  14.74488279 -017.49108317
111  14.74494491 -017.49129848
111  14.74498812 -017.49128514
111  14.74500256 -017.49133517
111  14.74519070 -017.49127711
111  14.74520636 -017.49133140
111  14.74523507 -017.49132254
111  14.74525971 -017.49140795
111  14.74504288 -017.49147486
111  14.74505237 -017.49150777
111  14.74446278 -017.49168971
111  14.74449939 -017.49181656
111  14.74456497 -017.49179633
111  14.74459068 -017.49188542
111  14.74462669 -017.49187431
111  14.74464035 -017.49192160
111  14.74468663 -017.49190732
111  14.74471500 -017.49200561
111  14.74475494 -017.49199329
111  14.74477966 -017.49207896
111  14.74482660 -017.49206447
111  14.74485211 -017.49215288
111  14.74489875 -017.49213849
111  14.74492494 -017.49222924
111  14.74496514 -017.49221684
111  14.74504237 -017.49248445
111  14.74500150 -017.49249706
111  14.74502530 -017.49257955
113  14.74497975 -017.49259361
110 1 0.00 0.0000 New Taxiway 18
111  14.73659069 -017.48633982
111  14.73547792 -017.48667289
