I
1050 Generated by WorldEditor 2.3.0r2

1   1350 0 0 CCM3 Sevogle
100 18.29 1 0 0.00 0 0 0 16  47.19399318 -066.16340386    0    0 0 0 0 0 34  47.18820428 -066.15524210    0    0 0 0 0 0
110 1 0.00 0.0000 New Taxiway 14
111  47.19387493 -066.16357774
111  47.19384257 -066.16362779
111  47.19269246 -066.16212101
111  47.19259261 -066.16225140
111  47.19196839 -066.16123365
111  47.19169364 -066.16065088
111  47.19146334 -066.16033095
111  47.19158289 -066.16015331
111  47.19262085 -066.16130928
111  47.19335232 -066.16170891
111  47.19425974 -066.16303349
113  47.19388763 -066.16357823
130 Airport Boundary 15
111  47.19276889 -066.16233938
111  47.19262599 -066.16252606
111  47.19190420 -066.16135231
111  47.19170881 -066.16084377
111  47.18680990 -066.15368501
111  47.18719340 -066.15323015
111  47.19214861 -066.16039973
111  47.19252656 -066.16051097
111  47.19294735 -066.16120062
111  47.19342106 -066.16099668
111  47.19371334 -066.16114870
111  47.19419209 -066.16201636
111  47.19411650 -066.16238716
111  47.19432059 -066.16312875
113  47.19386075 -066.16378196
1300  47.19370038 -066.16256639 225.23 tie_down turboprops|props Apron 3
1301 B general_aviation 
1300  47.19387084 -066.16282966 225.23 tie_down turboprops|props Apron 2
1301 B general_aviation 
1300  47.19403285 -066.16306560 225.23 tie_down turboprops|props Apron 1
1301 B general_aviation 
19  47.19379932 -066.16228762 1 New Windsock 11
51 12320 Sevogle Traffic 
99
