I
1050 Generated by WorldEditor 2.1.0r1

1   1789 0 0 CEH5 Red Earth Creek
100 22.86 1 0 0.25 0 0 0 13  56.55003565 -115.28101962    0    0 1 0 0 0 31  56.54233294 -115.27037540    0    0 1 0 0 0
110 1 0.00 0.0000 New Taxiway 5
111  56.55008527 -115.28089947
111  56.54982506 -115.28053926
111  56.54983671 -115.28050966
112  56.54983671 -115.28050966  56.54993259 -115.28050261
111  56.55001319 -115.28046156
111  56.55027969 -115.27981775
111  56.55025689 -115.27949522
111  56.54997601 -115.27911360
111  56.55030650 -115.27832399
111  56.55115352 -115.27950055
112  56.55115352 -115.27950055  56.55116252 -115.27952720
111  56.55115387 -115.27954996
111  56.55083277 -115.28029441
111  56.55062226 -115.28000304
113  56.55044724 -115.28004125
110 1 0.00 0.0000 New Taxiway 4
111  56.54244322 -115.27120001
111  56.54218666 -115.27179468
111  56.54189829 -115.27139991
111  56.54227618 -115.27051063
111  56.54272612 -115.27113101
113  56.54271992 -115.27114548
130 Airport Boundary
111  56.53929047 -115.26797898
111  56.54043094 -115.26558487
111  56.54148598 -115.26701011
111  56.54244860 -115.26797037
111  56.54697454 -115.27374668
111  56.54944367 -115.27740493
111  56.55064214 -115.27728274
111  56.55167696 -115.27860993
111  56.55196094 -115.28086267
111  56.55069709 -115.28384475
111  56.54692245 -115.27859846
111  56.54272146 -115.27274448
111  56.54265214 -115.27277412
111  56.54259179 -115.27268923
113  56.54258055 -115.27255594
120 Linear Feature 6
111  56.55103740 -115.27935178 1
111  56.55095386 -115.27923741 1
111  56.55089082 -115.27938897 1
113  56.55097436 -115.27950335 1
14  56.55074842 -115.27848133  15.00 0 Tower
1300  56.55069069 -115.27995307  52.98 tie_down props Tie-Down 1
1301 A general_aviation 
1300  56.55079645 -115.28009644  52.98 tie_down props Tie-Down 2
1301 A general_aviation 
1300  56.55088430 -115.27999470 141.81 tie_down props Tie-Down 3
1301 A general_aviation 
1300  56.55096327 -115.27981164 141.81 tie_down props Tie-Down 4
1301 A general_aviation 
1300  56.55104154 -115.27962947 141.81 tie_down props Tie-Down 5
1301 A general_aviation 
1300  56.55066643 -115.27897645 -127.49 tie_down props Tie-Down 6
1301 A general_aviation 
1300  56.55056449 -115.27883269 -127.49 tie_down props Tie-Down 7
1301 A general_aviation 
1300  56.55046214 -115.27868931 -127.49 tie_down props Tie-Down 8
1301 A general_aviation 
1300  56.55035979 -115.27854711 -127.49 tie_down props Tie-Down 9
1301 A general_aviation 
1300  56.55026396 -115.27862031 -37.12 tie_down props Tie-Down 10
1301 A general_aviation 
1300  56.55018677 -115.27880639 -37.12 tie_down props Tie-Down 11
1301 A general_aviation 
1300  56.55010957 -115.27899344 -37.12 tie_down props Tie-Down 12
1301 A general_aviation 
1300  56.55012582 -115.27916882  52.99 tie_down props Tie-Down 13
1301 A general_aviation 
1300  56.55023001 -115.27931082  52.99 tie_down props Tie-Down 14
1301 A general_aviation 
19  56.54962449 -115.27872043 1 WS-LIT-1
19  56.54268360 -115.27256586 1 WS-LIT-2
51 12320 Red Earth Creek Traffic
99
