I
1050 Generated by WorldEditor

1   6188 1 0 PHSF BRADSHAW AAF
1302 city Camp Pohakuloa
1302 country United States
1302 datum_lat 19.760013889
1302 datum_lon -155.553766667
1302 faa_code BSF
1302 iata_code BSF
1302 icao_code PHSF
1302 region_code PH
1302 state Hawaii
1302 transition_alt 18000
1302 transition_level 18000
100 30.00 1 0 1.00 1 2 0 09  19.76116135 -155.56035544  177    0 1 0 0 0 27  19.75873035 -155.54669290  177    0 1 0 0 0
110 2 0.00 0.0000 New Taxiway 17
111  19.75874866 -155.55377473
111  19.75868087 -155.55379014
111  19.75865981 -155.55368783
111  19.75861801 -155.55369743
111  19.75860564 -155.55363914
113  19.75871464 -155.55361288
110 2 0.00 0.0000 New Taxiway 16
111  19.75891038 -155.55467226
111  19.75863368 -155.55471444
111  19.75861707 -155.55459237
113  19.75889625 -155.55455316
110 2 0.00 0.0000 New Taxiway 18
111  19.75729065 -155.55518456
111  19.75713416 -155.55525027
111  19.75699932 -155.55490502
111  19.75703507 -155.55489003
111  19.75703439 -155.55475895
113  19.75714863 -155.55475052
110 2 0.00 0.0000 New Taxiway 15
111  19.75911825 -155.55545476
111  19.75889474 -155.55551127
111  19.75879681 -155.55507426
113  19.75902714 -155.55501953
110 1 0.00 0.0000 New Taxiway 4
111  19.75989212 -155.55397571
112  19.75980954 -155.55395729  19.75977529 -155.55396443
112  19.75930593 -155.55407299  19.75925860 -155.55408446
111  19.75930593 -155.55407299
112  19.75930593 -155.55407299  19.75924532 -155.55408975
111  19.75925966 -155.55416188
111  19.75939610 -155.55476068
111  19.75918862 -155.55488570
111  19.75902984 -155.55501953
111  19.75879951 -155.55507426
111  19.75864662 -155.55485400
111  19.75858409 -155.55485273
111  19.75850864 -155.55460190
111  19.75751828 -155.55496787
111  19.75756588 -155.55513143
111  19.75730866 -155.55523114
111  19.75715133 -155.55475052
111  19.75725659 -155.55471457
112  19.75754316 -155.55413584  19.75758596 -155.55404632
111  19.75755918 -155.55395239
111  19.75749280 -155.55373573
111  19.75823560 -155.55355112
111  19.75807717 -155.55305658
