I
1050 Generated by WorldEditor 2.0.0r4

1   4478 0 0 26U McDermitt State
100 18.29 1 0 0.25 0 2 0 16  42.01842294 -117.72659636    0    0 1 0 0 0 34  42.00227069 -117.72775970    0    0 1 0 0 0
110 2 0.00 0.0000 New Taxiway 18
111  42.00228596 -117.72570107
111  42.00238747 -117.72569547
111  42.00238409 -117.72563302
111  42.00241641 -117.72563024
111  42.00241708 -117.72563919
111  42.00249265 -117.72563190
111  42.00249798 -117.72579650
111  42.00239182 -117.72580247
111  42.00239067 -117.72575614
113  42.00228691 -117.72575931
110 1 0.00 0.0000 New Taxiway 3
111  42.01735687 -117.72676828
111  42.01735457 -117.72657099
112  42.01735457 -117.72657099  42.01744825 -117.72655136
111  42.01751622 -117.72648152
111  42.01774109 -117.72613913
111  42.01801411 -117.72573138
112  42.01801411 -117.72573138  42.01820780 -117.72556091
112  42.01839781 -117.72590682  42.01843340 -117.72609845
111  42.01839781 -117.72590682
111  42.01841126 -117.72614212
113  42.01842512 -117.72669493
111  42.01830875 -117.72596363
112  42.01808306 -117.72583035  42.01790689 -117.72599692
111  42.01808306 -117.72583035
111  42.01781317 -117.72622691
111  42.01771003 -117.72637844
112  42.01777662 -117.72654938  42.01788468 -117.72660382
111  42.01777662 -117.72654938
111  42.01817511 -117.72651913
112  42.01832215 -117.72632972  42.01834147 -117.72619045
111  42.01832215 -117.72632972
113  42.01831516 -117.72614831
110 1 0.00 0.0000 New Taxiway 2
111  42.01063030 -117.72688006
112  42.01063030 -117.72688006  42.01065129 -117.72703538
111  42.01077335 -117.72706143
111  42.01040134 -117.72707455
112  42.01053215 -117.72685918  42.01053100 -117.72668125
111  42.01053215 -117.72685918
111  42.01052628 -117.72671373
111  42.01050944 -117.72629632
112  42.01050944 -117.72629632  42.01051141 -117.72626133
111  42.01053635 -117.72622824
111  42.01068378 -117.72620502
112  42.01068378 -117.72620502  42.01073156 -117.72622404
111  42.01073768 -117.72627859
111  42.01073809 -117.72633769
111  42.01061951 -117.72655180
113  42.01062463 -117.72670747
110 1 0.00 0.0000 New Taxiway 1
111  42.00226636 -117.72765189
111  42.00224781 -117.72731238
111  42.00221315 -117.72660915
112  42.00216824 -117.72654865  42.00212800 -117.72653254
111  42.00216824 -117.72654865
111  42.00203568 -117.72653193
111  42.00143961 -117.72654757
111  42.00142248 -117.72570780
111  42.00219522 -117.72566386
111  42.00220502 -117.72560073
111  42.00219980 -117.72549170
111  42.00218121 -117.72539030
112  42.00218121 -117.72539030  42.00212258 -117.72516752
111  42.00195132 -117.72517125
111  42.00142702 -117.72521515
111  42.00142543 -117.72513274
111  42.00196020 -117.72508214
112  42.00196020 -117.72508214  42.00218838 -117.72512146
111  42.00224444 -117.72536954
111  42.00228596 -117.72570107
111  42.00228691 -117.72575931
111  42.00231428 -117.72643475
111  42.00237500 -117.72643469
111  42.00238410 -117.72650240
111  42.00236087 -117.72653013
111  42.00236056 -117.72655395
111  42.00232081 -117.72655612
111  42.00234966 -117.72730619
111  42.00235676 -117.72749090
112  42.00235676 -117.72749090  42.00237401 -117.72762562
113  42.00252442 -117.72765666
130 Airport Boundary
111  42.00071655 -117.72880226
111  42.00070453 -117.72489717
111  42.00286332 -117.72480506
111  42.00297480 -117.72662854
111  42.02028983 -117.72534853
113  42.02037214 -117.72737928
120 Linear Feature 17
111  42.00202075 -117.72572535 1
115  42.00197504 -117.72572797
120 Linear Feature 17
111  42.00150221 -117.72641787 1
115  42.00145750 -117.72641941
120 Linear Feature 17
111  42.00149488 -117.72625329 1
115  42.00145017 -117.72625483
120 Linear Feature 17
111  42.00148767 -117.72608796 1
115  42.00144297 -117.72608950
120 Linear Feature 17
111  42.00148176 -117.72592219 1
115  42.00143705 -117.72592373
120 Linear Feature 17
111  42.00147584 -117.72575674 1
115  42.00143113 -117.72575828
120 Linear Feature 17
111  42.00178744 -117.72573669 1
115  42.00174273 -117.72573823
120 Linear Feature 17
111  42.00179333 -117.72590319 1
115  42.00174863 -117.72590473
120 Linear Feature 17
111  42.00179980 -117.72606814 1
115  42.00175509 -117.72606968
120 Linear Feature 17
111  42.00174185 -117.72582384 1
115  42.00169714 -117.72582496
120 Linear Feature 17
111  42.00174775 -117.72598850 1
115  42.00170304 -117.72598963
120 Linear Feature 17
111  42.00175440 -117.72615415 1
115  42.00170970 -117.72615569
120 Linear Feature 17
111  42.00180682 -117.72623391 1
115  42.00176211 -117.72623545
120 Linear Feature 17
111  42.00202724 -117.72588975 1
115  42.00198209 -117.72589219
120 Linear Feature 17
111  42.00203324 -117.72605457 1
115  42.00198761 -117.72605654
120 Linear Feature 17
111  42.00203992 -117.72622024 1
115  42.00199421 -117.72622268
120 Linear Feature 16
111  42.00150308 -117.72646130 1
111  42.00150221 -117.72641787 1
115  42.00150138 -117.72637644
120 Linear Feature 16
111  42.00149575 -117.72629672 1
111  42.00149488 -117.72625329 1
