I
1050 Generated by WorldEditor

1   1809 0 0 CYWK WABUSH
100 45.99 1 0 0.25 0 3 0 18  52.93050612 -066.86937130    0    0 2 11 0 0 36  52.91499900 -066.86022524    0    0 2 5 0 1
110 2 0.00 0.0000 New Taxiway 2
111  52.92813726 -066.87422880
111  52.92799129 -066.87415069
111  52.92794562 -066.87438127
111  52.92787862 -066.87434260
111  52.92786531 -066.87440787
111  52.92776775 -066.87434933
111  52.92782723 -066.87405152
111  52.92758714 -066.87391199
111  52.92764842 -066.87360550
113  52.92820198 -066.87392345
110 2 0.00 0.0000 New Taxiway 29
111  52.92495028 -066.87250454
111  52.92504558 -066.87206978
111  52.92516863 -066.87214555
111  52.92521686 -066.87217525
111  52.92535168 -066.87225828
113  52.92526003 -066.87268392
110 2 0.00 0.0000 New Taxiway 15
111  52.92684274 -066.87372516
111  52.92626735 -066.87338883
111  52.92627525 -066.87335150
111  52.92622371 -066.87332316
111  52.92633656 -066.87282028
113  52.92696054 -066.87318907
110 1 0.00 0.0000 New Taxiway 3
111  52.91857314 -066.86262603
111  52.91817856 -066.86295819
111  52.91782054 -066.86464206
111  52.91750106 -066.86447306
111  52.91707347 -066.86481608
111  52.91544946 -066.86391049
111  52.91592676 -066.86162422
113  52.91576276 -066.86096402
111  52.91799305 -066.86285155
111  52.91782443 -066.86221928
111  52.91648528 -066.86144191
111  52.91612173 -066.86173423
111  52.91590618 -066.86276696
111  52.91601294 -066.86323008
111  52.91748552 -066.86410498
113  52.91774607 -066.86394169
110 1 0.00 0.0000 New Taxiway 2
111  52.93043798 -066.86965822 102
111  52.93043158 -066.86969120 102
111  52.93024519 -066.87065094 102
111  52.92899576 -066.87161641 102
111  52.92779909 -066.87253346 102
111  52.92760903 -066.87336787
111  52.92563166 -066.87217447
111  52.92565353 -066.87207016
112  52.92533053 -066.87206923  52.92528035 -066.87207069
111  52.92521686 -066.87217525
111  52.92516863 -066.87214555
111  52.92510981 -066.87179939 102
111  52.92529270 -066.87101377 102
111  52.92620366 -066.87154257 102
111  52.92675748 -066.86898378 102
111  52.92693901 -066.86813028 102
113  52.92667486 -066.86740760
111  52.92761058 -066.86800070 102
111  52.92715686 -066.86823795 102
111  52.92696865 -066.86910611 102
111  52.92660101 -066.87080192 102
111  52.92677031 -066.87138232 102
111  52.92783876 -066.87201850 102
112  52.92794849 -066.87201340  52.92800316 -066.87197320
111  52.92794849 -066.87201340
112  52.92794849 -066.87201340  52.92797588 -066.87199326 102
112  52.92889954 -066.87129305  52.92935751 -066.87094580
111  52.92889954 -066.87129305
112  52.92889954 -066.87129305  52.92935573 -066.87094715 102
111  52.92980424 -066.87060691 102
111  52.92994070 -066.86986758 102
113  52.92966323 -066.86923170
110 1 0.00 0.0000 New Taxiway 2
111  52.91496262 -066.86056615
111  52.91475333 -066.86044348
111  52.91488992 -066.85979733
113  52.91509583 -066.85991818
110 1 0.00 0.0000 New Taxiway 1
111  52.93056798 -066.86904437
111  52.93074418 -066.86914651
111  52.93060745 -066.86979779
113  52.93043158 -066.86969120
130 Airport Boundary 1
111  52.93255004 -066.86814693
111  52.93149984 -066.87321128
111  52.93112139 -066.87301782
111  52.92871930 -066.87361660
111  52.92836771 -066.87534154
111  52.92705300 -066.87464163
111  52.92682361 -066.87581459
111  52.92558860 -066.87515776
111  52.92557384 -066.87358601
111  52.92496605 -066.87328379
112  52.92468389 -066.87340205  52.92453432 -066.87325893
111  52.92460002 -066.87291167
111  52.92484387 -066.87144613
111  52.92137752 -066.86772759
111  52.92117384 -066.86860395
111  52.91951907 -066.86756603
111  52.91978474 -066.86605724
111  52.91946258 -066.86587123
111  52.91519141 -066.86507233
111  52.91451720 -066.86540918
112  52.91378543 -066.86497876  52.91360832 -066.86484170
111  52.91369419 -066.86440470
111  52.91384163 -066.86342484
111  52.91385799 -066.86208029
111  52.91343131 -066.86182664
112  52.91439390 -066.85716587  52.91444155 -066.85697134
113  52.91468477 -066.85713578
120 Linear Feature 28
111  52.92696865 -066.86910611 54 103
115  52.92675748 -066.86898378
120 Linear Feature 27
111  52.92899576 -066.87161641 54 103
115  52.92889954 -066.87129305
120 Linear Feature 26
111  52.92637779 -066.87191629 51 101
112  52.92641625 -066.87183878  52.92644424 -066.87179875 51 101
115  52.92647642 -066.87177041
120 Linear Feature 25
111  52.92635440 -066.87151333 51 101
112  52.92637779 -066.87191629  52.92638203 -066.87195732
111  52.92637779 -066.87191629
112  52.92637779 -066.87191629  52.92638108 -066.87194810 51
112  52.92643802 -066.87245723  52.92645556 -066.87261399
111  52.92643802 -066.87245723
112  52.92643802 -066.87245723  52.92644310 -066.87250267 51
115  52.92644635 -066.87253167
120 Linear Feature 24
111  52.92670351 -066.87210665 51 101
112  52.92666291 -066.87195133  52.92664235 -066.87189804 51 101
115  52.92660179 -066.87184590
120 Linear Feature 22
111  52.92692971 -066.87204336 51 101
112  52.92699557 -066.87216865  52.92701423 -066.87221765 51 101
115  52.92702669 -066.87231848
120 Linear Feature 21
111  52.92712707 -066.87216220 51 101
112  52.92702669 -066.87231848  52.92703610 -066.87239338
111  52.92702669 -066.87231848
112  52.92702669 -066.87231848  52.92703459 -066.87238139 51
112  52.92708901 -066.87287536  52.92710205 -066.87299392
111  52.92708901 -066.87287536
112  52.92708901 -066.87287536  52.92709149 -066.87289795 51
115  52.92709295 -066.87291121
120 Linear Feature 20
111  52.92735168 -066.87251021 51 101
112  52.92731482 -066.87235195  52.92729889 -066.87230391 51 101
115  52.92725156 -066.87223716
120 Linear Feature 18
111  52.92713291 -066.86779413 51 101
112  52.92708824 -066.86748530  52.92703361 -066.86734182 51 101
111  52.92692798 -066.86729188 51 101
115  52.92643944 -066.86700066
120 Linear Feature 19
111  52.92745271 -066.87235828 51 101
112  52.92735168 -066.87251021  52.92735790 -066.87257210
111  52.92735168 -066.87251021
112  52.92735168 -066.87251021  52.92735642 -066.87255738 51
112  52.92741288 -066.87307237  52.92742511 -066.87318391
111  52.92741288 -066.87307237
112  52.92741288 -066.87307237  52.92741486 -066.87309043 51
115  52.92741600 -066.87310084
120 Linear Feature 17
111  52.92940673 -066.86875129 51 101
111  52.92990421 -066.86904374 51 101
112  52.93014174 -066.86935435  52.93023052 -066.86958221 51 101
111  52.93016810 -066.86989352 51 101
111  52.93006681 -066.87041272 51 101
112  52.92983920 -066.87076955  52.92970832 -066.87087906 51 101
112  52.92767857 -066.87242861  52.92762373 -066.87246980 51 101
111  52.92759306 -066.87244279 51 101
111  52.92745271 -066.87235828 51 101
111  52.92725156 -066.87223716 51 101
111  52.92712707 -066.87216220 51 101
111  52.92692971 -066.87204336 51 101
111  52.92679763 -066.87196383 51 101
111  52.92660179 -066.87184590 51 101
111  52.92647642 -066.87177041 51 101
112  52.92640410 -066.87168444  52.92637155 -066.87162630 51 101
111  52.92635440 -066.87151333 51 101
