I
1050 Generated by WorldEditor

1     20 1 0 NZPP PARAPARAUMU
1302 city Paraparaumu
1302 country New Zealand
1302 datum_lat -40.904722222
1302 datum_lon 174.989166667
1302 faa_code 
1302 iata_code PPQ
1302 icao_code NZPP
1302 region_code NZ
1302 state North Island
1302 transition_alt 13000
1302 transition_level 15000
100 90.00 3 0 0.00 1 0 1 16L -40.90218267  174.98883195    0    0 2 0 0 0 34R -40.90587238  174.98883195    0    0 2 0 0 0
100 45.00 1 0 0.00 0 1 1 16R -40.89908353  174.98787687  255   60 2 0 0 0 34L -40.91159253  174.98787687  100    0 2 0 0 0
110 2 0.00 0.0000 New Taxiway 134
111 -40.90108667  174.98426970
111 -40.90112691  174.98439780
111 -40.90106529  174.98443606
111 -40.90108038  174.98447766
111 -40.90113697  174.98444771
111 -40.90119069  174.98460366
111 -40.90127871  174.98455980
111 -40.90132444  174.98470953
111 -40.90130043  174.98471861
111 -40.90130386  174.98475490
111 -40.90126042  174.98477608
111 -40.90126728  174.98479876
111 -40.90095863  174.98497723
111 -40.90095291  174.98495001
111 -40.90088890  174.98497572
111 -40.90084660  174.98483809
111 -40.90070599  174.98491219
111 -40.90068999  174.98487136
111 -40.90066712  174.98488497
111 -40.90068313  174.98493639
111 -40.90055738  174.98500596
111 -40.90044764  174.98465962
111 -40.90055395  174.98460215
111 -40.90063854  174.98485775
111 -40.90068427  174.98483657
111 -40.90066369  174.98478364
111 -40.90081573  174.98469894
111 -40.90079401  174.98462937
111 -40.90086603  174.98458854
111 -40.90085117  174.98454468
111 -40.90078830  174.98457795
113 -40.90074943  174.98445545
110 3 0.00 0.0000 Grass extension taxiway
111 -40.90587238  174.98829613
111 -40.90653110  174.98829081
111 -40.90589718  174.98936764
113 -40.90587238  174.98936777
110 2 0.00 0.0000 building
111 -40.90273487  174.99246687
111 -40.90299400  174.99282528
111 -40.90273174  174.99312744
113 -40.90248473  174.99276172
110 2 0.00 0.0000 Building (GA) concrete
111 -40.89869769  174.98482044
111 -40.89876306  174.98491525
111 -40.89857281  174.98512149
113 -40.89850678  174.98502936
110 2 0.00 0.0000 STORAGE
111 -40.90332130  174.99300510
111 -40.90357050  174.99335006
111 -40.90361687  174.99341647
111 -40.90366529  174.99348185
111 -40.90388965  174.99382104
111 -40.90378094  174.99394714
111 -40.90371734  174.99392834
111 -40.90355195  174.99413249
111 -40.90341712  174.99403729
111 -40.90321399  174.99376441
111 -40.90297885  174.99342151
113 -40.90311391  174.99325110
110 2 0.00 0.0000 Building
111 -40.90172210  174.99195974
111 -40.90183913  174.99179252
111 -40.90228619  174.99237293
111 -40.90219479  174.99248183
111 -40.90213593  174.99241396
113 -40.90208705  174.99246041
110 2 0.00 0.0000 Building
111 -40.90145567  174.99123004
111 -40.90159418  174.99140079
111 -40.90154508  174.99146733
113 -40.90140337  174.99130033
110 2 0.00 0.0000 Building
111 -40.90127612  174.99117646
111 -40.90123470  174.99127095
111 -40.90115928  174.99143552
112 -40.90108582  174.99135389 -40.90105840  174.99131242
111 -40.90102804  174.99122171
111 -40.90109268  174.99111545
