I
1050 Generated by WorldEditor 2.1.0r1

1   4473 1 0 KOGD Ogden-Hinckley
100 45.72 1 0 0.00 0 3 1 3  41.18802620 -112.02082030    0   63 3 10 0 0 21  41.20380080 -112.00005800  260   93 2 0 0 2
100 30.48 1 0 0.00 0 2 1 17  41.20088180 -112.01496780    0   46 1 0 0 1 35  41.18662750 -112.01490090    0    0 1 0 0 1
110 2 0.00 0.0000 New Taxiway 7
111  41.18595440 -112.01682313
111  41.18559979 -112.01681539
111  41.18559678 -112.01699992
111  41.18536362 -112.01699902
111  41.18536898 -112.01649837
111  41.18536919 -112.01647467
111  41.18588277 -112.01647736
111  41.18588863 -112.01648041
111  41.18592761 -112.01647905
111  41.18592787 -112.01649395
111  41.18599157 -112.01649497
111  41.18599157 -112.01650761
111  41.18599157 -112.01651730
113  41.18595471 -112.01651822
110 2 0.00 0.0000 New Taxiway 6
111  41.18624715 -112.01768127
111  41.18587013 -112.01767954
111  41.18587173 -112.01736920
111  41.18601093 -112.01737139
111  41.18601324 -112.01690264
111  41.18616497 -112.01690111
111  41.18616612 -112.01682982
111  41.18623354 -112.01683193
111  41.18623305 -112.01690976
113  41.18624922 -112.01691001
110 2 0.00 0.0000 New Taxiway 5
111  41.18512417 -112.01696996
111  41.18388987 -112.01695941
111  41.18388875 -112.01687927
111  41.18379941 -112.01687873
111  41.18380343 -112.01642886
111  41.18387742 -112.01642845
111  41.18387719 -112.01646495
111  41.18416692 -112.01646387
111  41.18418705 -112.01647471
111  41.18513458 -112.01648323
111  41.18513436 -112.01650863
113  41.18512461 -112.01650911
110 2 0.00 0.0000 New Taxiway 3
111  41.18748228 -112.01205081
111  41.18739093 -112.01190164
111  41.18751437 -112.01176786
111  41.18759598 -112.01189852
113  41.18760708 -112.01191628
110 2 0.00 0.0000 New Taxiway 3
111  41.18781707 -112.01168246
111  41.18776727 -112.01160246
111  41.18770327 -112.01149964
111  41.18778923 -112.01140574
113  41.18790268 -112.01158958
110 2 0.00 0.0000 New Taxiway 3
111  41.18612447 -112.01353719
111  41.18598362 -112.01330942
111  41.18623024 -112.01303714
113  41.18637213 -112.01326452
110 2 0.00 0.0000 New Taxiway 3
111  41.18641114 -112.01322157
111  41.18627028 -112.01299380
111  41.18650159 -112.01273839
113  41.18664347 -112.01296577
110 2 0.00 0.0000 New Taxiway 3
111  41.18667631 -112.01291986
