I
1050 Generated by WorldEditor 2.0.0r4

1    777 0 0 KRGK Red Wing Regional
100 30.48 1 0 0.00 0 3 0 9  44.58972987 -092.49457868    0    0 3 8 0 0 27  44.58900112 -092.47537360    0    0 3 11 0 0
110 2 0.00 0.0000 New Taxiway 51
111  44.59228457 -092.48993789
111  44.59229010 -092.49070265
111  44.59228081 -092.49070260
113  44.59227574 -092.48993802
110 2 0.00 0.0000 New Taxiway 39
111  44.59191838 -092.49432239
111  44.59180582 -092.49435182
111  44.59176986 -092.49411972
113  44.59188630 -092.49409200
110 2 0.00 0.0000 New Taxiway 38
111  44.59195209 -092.49385855
111  44.59187674 -092.49386004
111  44.59172839 -092.49386908
111  44.59172213 -092.49352356
111  44.59173008 -092.49352431
111  44.59173096 -092.49359365
111  44.59180458 -092.49359291
111  44.59180370 -092.49349069
111  44.59188343 -092.49348767
111  44.59188334 -092.49357665
111  44.59197102 -092.49357937
111  44.59199383 -092.49364331
113  44.59195137 -092.49367094
110 2 0.00 0.0000 New Taxiway 37
111  44.59226881 -092.49168272
111  44.59223237 -092.49168247
111  44.59223240 -092.49172400
111  44.59219473 -092.49172448
111  44.59219416 -092.49168318
111  44.59215403 -092.49168343
111  44.59215405 -092.49154630
113  44.59226817 -092.49154552
110 2 0.00 0.0000 New Taxiway 36
111  44.59214067 -092.49168333
111  44.59210241 -092.49168301
111  44.59210224 -092.49172957
111  44.59205807 -092.49172939
111  44.59205805 -092.49168263
111  44.59201648 -092.49168228
111  44.59201710 -092.49147963
113  44.59213899 -092.49147828
110 2 0.00 0.0000 New Taxiway 35
111  44.59199601 -092.49168076
111  44.59198020 -092.49168097
111  44.59188863 -092.49168220
111  44.59181195 -092.49168323
111  44.59173076 -092.49168435
111  44.59171141 -092.49168458
111  44.59171088 -092.49156493
111  44.59181265 -092.49156104
111  44.59189587 -092.49155785
113  44.59199626 -092.49155401
110 2 0.00 0.0000 New Taxiway 34
111  44.59185159 -092.49224578
111  44.59181863 -092.49224603
111  44.59178825 -092.49224639
111  44.59175348 -092.49224680
111  44.59171626 -092.49224724
111  44.59171736 -092.49184707
113  44.59184860 -092.49184402
110 2 0.00 0.0000 New Taxiway 33
111  44.59199574 -092.49207656
111  44.59187592 -092.49207574
111  44.59187592 -092.49190800
111  44.59191029 -092.49190777
111  44.59190970 -092.49184703
111  44.59196501 -092.49184688
111  44.59196501 -092.49190765
113  44.59199527 -092.49190753
110 2 0.00 0.0000 New Taxiway 32
111  44.59191261 -092.49230237
111  44.59191290 -092.49224183
