I
1050 Generated by WorldEditor 2.1.0r1

1   4006 0 0 CEC4 Jasper-Hinton
100 30.48 1 0 0.25 0 1 0 02  53.31432064 -117.75981833   62    0 3 0 0 0 20  53.32384077 -117.74667536   93    0 3 0 0 0
110 2 0.00 0.0000 New Taxiway 2
111  53.32230625 -117.75294736
111  53.32233663 -117.75290537
111  53.32245881 -117.75315080
111  53.32250597 -117.75308636
111  53.32261189 -117.75330135
111  53.32248628 -117.75347433
111  53.32238148 -117.75325718
113  53.32242965 -117.75319078
110 1 0.00 0.0000 New Taxiway 1
111  53.32033490 -117.75181359
111  53.32032585 -117.75179666
111  53.32065587 -117.75134404
111  53.32066330 -117.75135978
112  53.32066330 -117.75135978  53.32062370 -117.75149109
111  53.32063371 -117.75171880
111  53.32097396 -117.75240195
111  53.32150952 -117.75347722
111  53.32170198 -117.75351200
111  53.32234255 -117.75262703
111  53.32242311 -117.75278586
111  53.32233663 -117.75290537
111  53.32230625 -117.75294736
111  53.32104367 -117.75469212
111  53.32069264 -117.75399611
111  53.32111526 -117.75340973
111  53.32112762 -117.75307096
111  53.32086894 -117.75254676
111  53.32052723 -117.75185425
114  53.32052723 -117.75185425  53.32043575 -117.75182446
130 Airport Boundary 15
111  53.32414774 -117.74449491
111  53.32588672 -117.74819333
111  53.32282558 -117.75249604
111  53.32348251 -117.75381770
111  53.32157764 -117.75645577
111  53.32047252 -117.75426808
111  53.31993505 -117.75499365
111  53.31975577 -117.75464266
111  53.31430420 -117.76215641
113  53.31314727 -117.75970909
120 HS
111  53.32097396 -117.75240195 4
115  53.32086894 -117.75254676
120 Linear Feature 4
112  53.32056716 -117.75174869  53.32044913 -117.75140164 1
111  53.32061636 -117.75116302 1
115  53.32099120 -117.75064594
120 Linear Feature 3
111  53.32128771 -117.75320746 1
111  53.32056716 -117.75174869
112  53.32056716 -117.75174869  53.32040724 -117.75149754 1
111  53.32023494 -117.75168428 1
115  53.31979130 -117.75229965
21  53.31694664 -117.75690438 1 39.5100 3.00 VASI-4B-02
21  53.32124308 -117.74946524 1 219.5100 3.00 VASI-4B-20
14  53.32167091 -117.75436910  15.00 0 Tower
1300  53.32249990 -117.75325553 129.94 hangar props Hangar 1
1301 A none 
1300  53.32127231 -117.75422704 129.93 tie_down props Tie-Down 1
1301 A general_aviation 
1300  53.32116722 -117.75437492 129.93 tie_down props Tie-Down 2
1301 A general_aviation 
1300  53.32104824 -117.75452811  40.35 tie_down props Tie-Down 3
1301 A general_aviation 
1300  53.32096066 -117.75435690  40.35 tie_down props Tie-Down 4
1301 A general_aviation 
1300  53.32087308 -117.75418479  40.35 tie_down props Tie-Down 5
1301 A general_aviation 
1300  53.32078614 -117.75401374  40.35 tie_down props Tie-Down 6
1301 A general_aviation 
1300  53.32090155 -117.75385226 -50.07 tie_down props Tie-Down 7
1301 A general_aviation 
1300  53.32100499 -117.75370884 -50.07 tie_down props Tie-Down 8
1301 A general_aviation 
1300  53.32110843 -117.75356435 -50.07 tie_down props Tie-Down 9
1301 A general_aviation 
18  53.32112831 -117.75505326 1 BCN
19  53.32063141 -117.75383814 1 WS-LIT
19  53.32175357 -117.74823466 0 WS-UNLIT-1
19  53.31621724 -117.75858131 0 WS-UNLIT-2
51 12335 Jasper Hinton Traffic
99
