A
1000 Generated by Infinite Flight Airport Editing (World Parser)

1       49 0 0 EDBV Stralsund
100   34.14   3   0 0.00 0 0 1 05   54.33319576  013.03796636    0.00    0.00 0  0 0 0 23   54.33834374  013.04869100    0.00    0.00 0  0 0 0
110   3 0.00   0.00 Taxiway
111  54.34031364  013.04771649 
111  54.33944845  013.04783389 
111  54.33948404  013.04853363 
111  54.33936905  013.04871209 
111  54.33846233  013.04852518 
111  54.33822564  013.04885782 
111  54.33844089  013.04940244 
111  54.33954428  013.04979222 
111  54.33952511  013.04924276 
111  54.34020138  013.04920519 
111  54.34020138  013.04833169 
113  54.34031637  013.04832230 
130 Airport Boundary
111  54.33780225  013.04213338 
111  54.33544622  013.04170189 
111  54.33322744  013.03677901 
111  54.33178637  013.04458501 
111  54.33488581  013.05517607 
111  54.33800812  013.04964518 
111  54.34035271  013.05313631 
111  54.34029553  013.04925292 
111  54.34011254  013.04923331 
111  54.34012397  013.04850763 
111  54.33957500  013.04854685 
113  54.33959787  013.04686013 
14   54.33963723  013.04953851    9 0 Tower Viewpoint
15   54.33973521  013.04829095  84.92 Apron
19   54.33967538  013.04794047 0 New Windsock

99
