I
1050 Generated by WorldEditor 1.7.21r1

1    568 0 0 GVSF Sao Filipe
100 30.00 1 0 0.00 0 0 1 14  14.89053238 -024.48658608  148    0 2 0 0 0 32  14.88169418 -024.47594263  154    0 0 0 0 0
110 1 0.00 130.6700 New Taxiway 37
111  14.88201659 -024.47654382 3
111  14.88183015 -024.47652655 3
111  14.88149654 -024.47612831 3
113  14.88159250 -024.47603377
110 1 0.00 130.6700 New Taxiway 36
111  14.89043029 -024.48667685 3
111  14.89033099 -024.48676453 3
111  14.89006875 -024.48645597 3
113  14.89001639 -024.48617851
110 1 0.00 130.6700 New Taxiway 34
111  14.88932428 -024.48534235
112  14.88932428 -024.48534235  14.88926839 -024.48531757 3
111  14.88923230 -024.48534711 3
111  14.88910962 -024.48545626 3
111  14.88881459 -024.48571873
112  14.88881459 -024.48571873  14.88877307 -024.48574847 3
111  14.88873871 -024.48571873 3
111  14.88847637 -024.48539373
111  14.88790821 -024.48468986 3
111  14.88761262 -024.48432365 3
111  14.88792765 -024.48403575 3
111  14.88838477 -024.48459387 3
112  14.88848250 -024.48459287  14.88853079 -024.48455242
111  14.88848250 -024.48459287 3
111  14.88854558 -024.48453405 3
112  14.88856873 -024.48443325  14.88856183 -024.48436306
111  14.88856873 -024.48443325
111  14.88873449 -024.48463154
112  14.88873449 -024.48463154  14.88868275 -024.48460378 3
111  14.88864059 -024.48462856 3
111  14.88855915 -024.48469697
112  14.88855915 -024.48469697  14.88852083 -024.48474060 3
111  14.88854670 -024.48479017 3
111  14.88898721 -024.48530793 3
112  14.88907584 -024.48531124  14.88912455 -024.48527489
111  14.88907584 -024.48531124 3
111  14.88915824 -024.48523707 3
112  14.88916878 -024.48515632  14.88915414 -024.48509987
113  14.88916878 -024.48515632
130 Airport Boundary
111  14.89098219 -024.48637999
111  14.89017974 -024.48709109
111  14.88959130 -024.48639485
111  14.88891499 -024.48609406
111  14.88820309 -024.48613089
111  14.88752269 -024.48520076
111  14.88763146 -024.48467387
111  14.88717663 -024.48358939
111  14.88075981 -024.47572079
113  14.88167936 -024.47488188
120 Runway Hold 02
111  14.88853321 -024.48477621 4
115  14.88840180 -024.48461498
120 Runway Hold 01
111  14.88910962 -024.48545626 4
115  14.88900299 -024.48533198
120 Linear Feature 48
111  14.88238763 -024.47678411 1
111  14.88217677 -024.47652931
112  14.88217677 -024.47652931  14.88215014 -024.47650109 1
111  14.88210225 -024.47649833 1
111  14.88190280 -024.47648206
112  14.88190280 -024.47648206  14.88185161 -024.47647693 1
111  14.88181963 -024.47643869 1
111  14.88163199 -024.47621581
112  14.88163199 -024.47621581  14.88154496 -024.47610841 1
112  14.88178404 -024.47605665  14.88186388 -024.47615166
111  14.88178404 -024.47605665 1
115  14.88187506 -024.47616736
120 Linear Feature 45
111  14.88806315 -024.48444234 1
111  14.88806149 -024.48446788 1
115  14.88805660 -024.48454593
120 Linear Feature 44
111  14.88836244 -024.48495302 1
111  14.88838122 -024.48493865 1
115  14.88843743 -024.48489530
120 Linear Feature 43
111  14.88877512 -024.48527569 1
111  14.88869832 -024.48527190 1
115  14.88867265 -024.48527019
120 Linear Feature 42
111  14.88865538 -024.48452290 1
112  14.88866942 -024.48435071  14.88861593 -024.48427553
111  14.88866942 -024.48435071 1
115  14.88844548 -024.48408002
120 Linear Feature 41
111  14.88850412 -024.48466031 1
112  14.88835826 -024.48464282  14.88830157 -024.48458498
111  14.88835826 -024.48464282 1
111  14.88824443 -024.48450452 1
111  14.88799442 -024.48420077
112  14.88799442 -024.48420077  14.88791649 -024.48411700 1
111  14.88784139 -024.48418451 1
111  14.88776780 -024.48425470
