A
1050 Generated by WorldEditor 1.6.0r1

1    270 0 0 0ME4 Peasley Field
100 33.53 3 0 0.00 0 0 0 16  44.74462096 -068.47689781    0    0 0 0 0 0 34  44.74034941 -068.47205136    0    0 0 0 0 0
110 2 0.00 0.0000 New Taxiway 12
111  44.74383915 -068.47520673
111  44.74391952 -068.47505416
111  44.74401634 -068.47516982
113  44.74393081 -068.47531767
110 5 0.00 0.0000 New Taxiway 11
111  44.74366428 -068.47555397
111  44.74378897 -068.47530200
112  44.74378897 -068.47530200  44.74380363 -068.47527515
111  44.74377870 -068.47520080
111  44.74379630 -068.47515742
111  44.74383915 -068.47520673
111  44.74393081 -068.47531767
111  44.74396793 -068.47536189
112  44.74388578 -068.47541352  44.74385938 -068.47545483
111  44.74388578 -068.47541352
113  44.74375229 -068.47565310
110 2 0.00 0.0000 New Taxiway 10
111  44.74456835 -068.47614560
111  44.74454654 -068.47612475
111  44.74446136 -068.47629867
111  44.74436005 -068.47620343
111  44.74452288 -068.47587504
113  44.74464316 -068.47599483
110 2 0.00 0.0000 New Taxiway 9
111  44.74476198 -068.47619930
111  44.74469304 -068.47611875
111  44.74474291 -068.47602581
113  44.74481626 -068.47610223
110 3 0.00 0.0000 New Taxiway 8
111  44.74426094 -068.47623483
111  44.74447007 -068.47580656
111  44.74472144 -068.47590173
111  44.74495380 -068.47618427
113  44.74467919 -068.47670176
130 BND
111  44.74452730 -068.47721174
111  44.74018630 -068.47222156
111  44.74043159 -068.47177140
111  44.74343058 -068.47517317
111  44.74370130 -068.47462500
113  44.74514617 -068.47612819
14  44.74453168 -068.47601549 262.47 0 TWR
1300  44.74478047 -068.47636986 140.93 tie_down props Ramp 01
1301 A general_aviation 
1300  44.74469246 -068.47652270 140.93 tie_down props Ramp 02
1301 A general_aviation 
1300  44.74457363 -068.47639671 324.16 tie_down props Ramp 03
1301 A general_aviation 
1300  44.74465432 -068.47623768 324.16 tie_down props Ramp 04
1301 A general_aviation 
1300  44.74458244 -068.47605111 -35.06 hangar props Hangar 01
1301 A none 
1300  44.74478169 -068.47613200 -35.06 hangar props Hangar 02
1301 A none 
1300  44.74389402 -068.47524341 -129.45 hangar props Hangar 03
1301 A none 
19  44.74392445 -068.47558292 0 WS
51 12280 Unicom
99
