I
1050 Generated by WorldEditor 1.6.0r1

1    166 1 0 EKHG Herning
1302 city Herning
1302 country Denmark
1302 state Midtjylland
1302 transition_alt 3500
100 29.87 1 0 0.00 0 2 0 09  56.18510280  009.03118610    0    0 1 0 0 1 27  56.18458610  009.05047200    0    0 1 5 0 1
100 29.87 3 0 0.00 0 0 0 15  56.18779723  009.04163708  130    0 2 0 0 0 33  56.18244723  009.04653121  136    0 1 0 0 0
110 1 0.00 271.0000 New Taxiway 18
111  56.18789922  009.03818940
111  56.18781080  009.03815879
111  56.18778124  009.03846344
111  56.18776861  009.03845918
111  56.18773238  009.03881096
111  56.18783412  009.03884814
111  56.18787219  009.03846224
111  56.18781542  009.03844321
111  56.18780657  009.03843194
111  56.18780993  009.03839967
111  56.18787657  009.03841788
111  56.18787945  009.03838868
111  56.18781205  009.03837044
111  56.18782196  009.03827095
111  56.18788937  009.03828908
111  56.18789153  009.03826724
111  56.18783830  009.03825203
111  56.18784156  009.03821409
113  56.18789504  009.03823168
110 1 0.00 271.0000 New Taxiway 17
111  56.18800614  009.03866073
111  56.18811034  009.03869014
111  56.18808902  009.03892258
111  56.18819359  009.03894883
111  56.18822536  009.03860325
111  56.18821551  009.03860074
111  56.18824224  009.03827605
111  56.18823407  009.03827319
111  56.18823793  009.03818823
111  56.18815989  009.03816226
111  56.18818784  009.03791110
111  56.18819189  009.03772663
112  56.18815057  009.03761673  56.18813647  009.03760949
112  56.18803075  009.03758778  56.18801464  009.03758597
111  56.18795606  009.03763755
111  56.18793664  009.03783076
111  56.18794718  009.03783385
111  56.18793007  009.03800392
111  56.18794894  009.03815607
111  56.18815773  009.03822602
111  56.18811679  009.03862686
113  56.18801259  009.03859504
110 3 0.00 271.0000 north grass
112  56.18733946  009.03901457  56.18734535  009.03904422
111  56.18733946  009.03901457
112  56.18733946  009.03901457  56.18735198  009.03907760
112  56.18740710  009.03933421  56.18742061  009.03938647
111  56.18740710  009.03933421
112  56.18740710  009.03933421  56.18741306  009.03935724
111  56.18772530  009.04041454
112  56.18772530  009.04041454  56.18774555  009.04044052
112  56.18824994  009.04068162  56.18828175  009.04067642
111  56.18824994  009.04068162
112  56.18824994  009.04068162  56.18827011  009.04042688
112  56.18826412  009.03898815  56.18826552  009.03880479
112  56.18830637  009.03827839  56.18831703  009.03814807
111  56.18830637  009.03827839
112  56.18830637  009.03827839  56.18830234  009.03818576
111  56.18824697  009.03819124
111  56.18823793  009.03818823
111  56.18823407  009.03827319
111  56.18824224  009.03827605
111  56.18821551  009.03860074
111  56.18822536  009.03860325
111  56.18819359  009.03894883
111  56.18808902  009.03892258
111  56.18783412  009.03884814
111  56.18773238  009.03881096
111  56.18776861  009.03845918
111  56.18778124  009.03846344
111  56.18781080  009.03815879
111  56.18789922  009.03818940
111  56.18790400  009.03814101
111  56.18793664  009.03783076
111  56.18780076  009.03778380
111  56.18781872  009.03761646
112  56.18767016  009.03760805  56.18766149  009.03759766
112  56.18769619  009.03746775  56.18769619  009.03744696
113  56.18709689  009.03726636
110 3 0.00 271.0000 south grass
111  56.18351038  009.03977861
112  56.18356868  009.03946289  56.18357069  009.03943402
112  56.18359077  009.03779943  56.18360081  009.03745664
112  56.18365704  009.03523029  56.18366106  009.03499574
112  56.18374340  009.03171214  56.18375946  009.03167966
111  56.18496239  009.03178069
111  56.18496641  009.03160388
112  56.18375344  009.03149202  56.18374139  009.03145954
112  56.18378156  009.03029041  56.18375344  009.03025072
112  56.18363495  009.03025075  56.18362893  009.03023271
112  56.18363495  009.02996930  56.18363094  009.02995125
112  56.18326745  009.03001621  56.18325942  009.03003786
112  56.18322126  009.03164718  56.18322729  009.03166883
112  56.18352651  009.03215957  56.18352651  009.03235081
112  56.18347028  009.03399261  56.18346426  009.03400344
111  56.18330360  009.03398900
111  56.18329586  009.03412638
111  56.18332320  009.03413105
111  56.18330597  009.03446090
111  56.18327265  009.03445525
111  56.18326498  009.03461621
111  56.18327129  009.03463083
111  56.18345751  009.03466838
111  56.18345280  009.03476533
112  56.18349438  009.03503903  56.18348434  009.03517615
111  56.18341842  009.03528919
111  56.18340996  009.03538905
111  56.18294117  009.03528050
112  56.18293208  009.03541430  56.18294212  009.03542874
112  56.18341003  009.03553338  56.18341807  009.03556224
111  56.18339047  009.03600322
111  56.18338512  009.03606862
