I
1050 Generated by WorldEditor 2.1.0r1

1    416 1 0 UUOT Tambov Donskoye
1302 city Tambov
1302 country Russia
1302 datum_lat 52.8063889
1302 datum_lon 41.4827778
1302 iata_code TBW
1302 icao_code UUOT
1302 region_code UU
1302 state Tambov Oblast
100 42.00 2 0 0.00 0 0 0 14  52.81481670  041.47575000    0    0 3 0 0 0 32  52.79799440  041.48979440    0    0 3 0 0 0
110 1 0.00 0.0000 New Taxiway 4
111  52.80387129  041.48882411
111  52.80382779  041.48886059
111  52.80366890  041.48899382
111  52.80361060  041.48904271
111  52.80356119  041.48908413
111  52.80338678  041.48923038
111  52.80336514  041.48924853
111  52.80328482  041.48931588
111  52.80319774  041.48938889
111  52.80309139  041.48899310
111  52.80220696  041.48952931
111  52.80205003  041.48961300
111  52.80184771  041.48974335
111  52.80220403  041.49143967
111  52.80250753  041.49123984
111  52.80252910  041.49133482
111  52.80259530  041.49129084
111  52.80256891  041.49118128
112  52.80256891  041.49118128  52.80256656  041.49116732
112  52.80256597  041.49114391  52.80256621  041.49113291
111  52.80256597  041.49114391
112  52.80256597  041.49114391  52.80256713  041.49109125
111  52.80259278  041.49107122
111  52.80337926  041.49063681
111  52.80338837  041.49068477
111  52.80402411  041.49032836
111  52.80413538  041.49083340
111  52.80434275  041.49070585
111  52.80422222  041.49020382
111  52.80419937  041.49018752
111  52.80416413  041.49003950
111  52.80389906  041.48892592
111  52.80392294  041.48890250
111  52.80391017  041.48884829
113  52.80388551  041.48886898
110 2 0.00 0.0000 New Taxiway 3
111  52.80148160  041.48723086
112  52.80148160  041.48723086  52.80167806  041.48713475
111  52.80178558  041.48734982
111  52.80220219  041.48869756
111  52.80220991  041.48872256
111  52.80219724  041.48877365
112  52.80219724  041.48877365  52.80222422  041.48897502
111  52.80212508  041.48912841
111  52.80198335  041.48926132
111  52.80174280  041.48941913
111  52.80177112  041.48956851
111  52.80175948  041.48957677
111  52.80178200  041.48967082
111  52.80179261  041.48966425
111  52.80181320  041.48976559
111  52.80184771  041.48974335
111  52.80205003  041.48961300
111  52.80220696  041.48952931
111  52.80309139  041.48899310
111  52.80319774  041.48938889
111  52.80328482  041.48931588
111  52.80336514  041.48924853
111  52.80338678  041.48923038
111  52.80356119  041.48908413
111  52.80361060  041.48904271
111  52.80366890  041.48899382
111  52.80382779  041.48886059
111  52.80387129  041.48882411
111  52.80388551  041.48886898
111  52.80391017  041.48884829
111  52.80576584  041.48729111
111  52.80616444  041.48857676
111  52.80747142  041.48749941
111  52.80747718  041.48747049
111  52.80752730  041.48736749
111  52.80698862  041.48571548
112  52.80698862  041.48571548  52.80697248  041.48553143
111  52.80702219  041.48539568
111  52.80704259  041.48537865
111  52.80704251  041.48535586
111  52.80707166  041.48532623
111  52.80708124  041.48534439
111  52.81002994  041.48288487
111  52.81006749  041.48202212
111  52.81007509  041.48179178
111  52.81012850  041.48017316
111  52.81008637  041.47992651
111  52.80950932  041.48043249
111  52.80955577  041.48047413
112  52.80955577  041.48047413  52.80992420  041.48034984
111  52.80993545  041.48090560
111  52.80990817  041.48177272
111  52.80990240  041.48195640
112  52.80990240  041.48195640  52.80987650  041.48231729
112  52.80946645  041.48303685  52.80918898  041.48328441
111  52.80946645  041.48303685
111  52.80263729  041.48871085
112  52.80263729  041.48871085  52.80249686  041.48878179
111  52.80239786  041.48861773
111  52.80235371  041.48861379
111  52.80234386  041.48858211
111  52.80194938  041.48731235
112  52.80194938  041.48731235  52.80185375  041.48695316
111  52.80204528  041.48675601
111  52.80199638  041.48655060
113  52.80143700  041.48701815
