I
1050 Generated by WorldEditor 2.2.0r2

1     47 0 0 DE23 Ockel Farms
1302 gui_label 2D
100 30.48 3 0 0.25 0 0 0 10  38.74897297 -075.36498026    0    0 0 0 0 0 28  38.74985300 -075.35626000    0    0 0 0 0 0
110 2 0.00 0.0000 New Taxiway 35
111  38.75040641 -075.35831220
111  38.75062609 -075.35833646
111  38.75061121 -075.35857737
113  38.75039271 -075.35855359
110 1 0.00 0.0000 New Taxiway 34
111  38.75026088 -075.35835265
111  38.75016861 -075.35807962
111  38.75019016 -075.35782448
111  38.75029569 -075.35784124
111  38.75027344 -075.35810745
111  38.75031332 -075.35811116
111  38.75040641 -075.35831220
111  38.75039271 -075.35855359
113  38.75024859 -075.35853673
110 3 0.00 0.0000 New Taxiway 33
111  38.74880028 -075.36502943
111  38.74968143 -075.35616982
111  38.75003217 -075.35622745
111  38.75019016 -075.35782448
111  38.75016861 -075.35807962
111  38.75026088 -075.35835265
111  38.75024859 -075.35853673
111  38.75023446 -075.35874837
111  38.74973465 -075.35967177
111  38.74935119 -075.36344374
111  38.74911062 -075.36503578
114  38.74911062 -075.36503578  38.74892579 -075.36529911
130 Airport Boundary 36
111  38.74911196 -075.35638532
111  38.75034543 -075.35565163
111  38.75105753 -075.35866793
111  38.74912467 -075.36546685
113  38.74842528 -075.36536903
14  38.75075772 -075.35850450  26.25 0 New Tower Viewpoint 24
1300  38.75044009 -075.35843454 174.13 hangar props GA Hangar
1301 A none 
99
