I
1050 Generated by WorldEditor 2.1.0r1

1   3599 1 0 FYOA Ondangwa Airport
1302 city Ondangwa
1302 country Namibia
1302 datum_lat -17.8772222
1302 datum_lon 15.95
1302 iata_code OND
1302 icao_code FYOA
1302 state Oshana
1302 transition_alt 10000
100 45.11 1 0 0.00 0 2 0 08 -17.88387329  015.93982143  163    0 3 0 0 1 26 -17.87270285  015.96548142    0    0 3 0 0 1
110 1 0.00 0.0000 New Taxiway 95
112 -17.87687876  015.95343438 -17.87690449  015.95337628
112 -17.87701544  015.95342170 -17.87705045  015.95347417
114 -17.87695754  015.95355241 -17.87689679  015.95355805
112 -17.87695640  015.95353887 -17.87700971  015.95353393
111 -17.87695640  015.95353887
112 -17.87695640  015.95353887 -17.87700971  015.95353393
112 -17.87700485  015.95342951 -17.87697412  015.95338347
111 -17.87700485  015.95342951
112 -17.87700485  015.95342951 -17.87697412  015.95338347
112 -17.87689049  015.95344011 -17.87686791  015.95349109
111 -17.87689049  015.95344011
114 -17.87689049  015.95344011 -17.87686791  015.95349109
110 1 0.00 0.0000 New Taxiway 95
112 -17.88390589  015.94243777 -17.88393162  015.94237968
112 -17.88404257  015.94242510 -17.88407758  015.94247756
114 -17.88398467  015.94255581 -17.88392392  015.94256145
112 -17.88398353  015.94254227 -17.88403684  015.94253733
111 -17.88398353  015.94254227
112 -17.88398353  015.94254227 -17.88403684  015.94253733
112 -17.88403197  015.94243290 -17.88400125  015.94238687
111 -17.88403197  015.94243290
112 -17.88403197  015.94243290 -17.88400125  015.94238687
112 -17.88391761  015.94244351 -17.88389503  015.94249449
111 -17.88391761  015.94244351
114 -17.88391761  015.94244351 -17.88389503  015.94249449
110 2 0.00 0.0000 New Taxiway 71
111 -17.87252278  015.96602679
111 -17.87252092  015.96606093
111 -17.87251039  015.96608613
111 -17.87248816  015.96610396
111 -17.87245832  015.96611625
111 -17.87242498  015.96611748
111 -17.87239924  015.96611010
111 -17.87237642  015.96609166
111 -17.87236238  015.96606462
111 -17.87235887  015.96604249
111 -17.87236121  015.96601114
111 -17.87237233  015.96599024
113 -17.87239622  015.96597120
110 2 0.00 0.0000 New Taxiway 70
111 -17.87671995  015.95936270
111 -17.87662194  015.95959454
111 -17.87653561  015.95979876
111 -17.87649796  015.95988783
111 -17.87635482  015.95994774
111 -17.87631506  015.95992838
111 -17.87590495  015.95972875
111 -17.87569977  015.95962888
111 -17.87577761  015.95948867
111 -17.87621532  015.95969261
111 -17.87624969  015.95970216
111 -17.87629214  015.95970216
111 -17.87633864  015.95969473
111 -17.87637908  015.95968198
111 -17.87640334  015.95966287
111 -17.87642861  015.95964481
111 -17.87645793  015.95960338
113 -17.87659339  015.95930067
110 2 0.00 0.0000 New Taxiway 69
111 -17.88433322  015.94022905
111 -17.88440023  015.94007313
111 -17.88443973  015.94009108
111 -17.88450698  015.94012164
111 -17.88480459  015.94025689
111 -17.88488849  015.94023459
111 -17.88489294  015.94025040
111 -17.88510927  015.94018242
111 -17.88519491  015.94048686
111 -17.88497858  015.94055484
111 -17.88498351  015.94057237
111 -17.88491376  015.94058724
111 -17.88486574  015.94068627
111 -17.88503557  015.94077018
111 -17.88490195  015.94104578
111 -17.88473212  015.94096186
111 -17.88472371  015.94097919
112 -17.88459735  015.94092290 -17.88459837  015.94092183
111 -17.88474494  015.94063079
111 -17.88475000  015.94059149
111 -17.88475303  015.94055006
111 -17.88474292  015.94049801
111 -17.88472978  015.94046190
111 -17.88470249  015.94042685
111 -17.88467014  015.94038861
113 -17.88441738  015.94027100
110 2 0.00 0.0000 New Taxiway 67
111 -17.88406256  015.94311513
111 -17.88412321  015.94297874
111 -17.88415354  015.94295962
111 -17.88417659  015.94295070
111 -17.88419330  015.94292602
111 -17.88422147  015.94288442
111 -17.88439251  015.94247780
111 -17.88454414  015.94225347
111 -17.88459873  015.94224582
111 -17.88471397  015.94224454
111 -17.88485954  015.94229935
111 -17.88494434  015.94240231
111 -17.88496629  015.94244339
111 -17.88494445  015.94269704
111 -17.88475036  015.94314827
111 -17.88462421  015.94325789
111 -17.88457690  015.94327828
111 -17.88450775  015.94329103
111 -17.88444953  015.94329230
113 -17.88439373  015.94327956
111 -17.88442769  015.94314317
111 -17.88447379  015.94314572
111 -17.88452110  015.94314699
111 -17.88455021  015.94312915
111 -17.88457690  015.94310748
111 -17.88461329  015.94306287
111 -17.88481951  015.94254281
111 -17.88481344  015.94246251
111 -17.88477463  015.94241917
111 -17.88474673  015.94240132
111 -17.88471640  015.94238985
111 -17.88467516  015.94238220
111 -17.88463512  015.94238348
111 -17.88458539  015.94242937
111 -17.88446651  015.94263331
113 -17.88427606  015.94306542
110 2 0.00 0.0000 New Taxiway 65
111 -17.88293087  015.94522749
111 -17.88312725  015.94478209
111 -17.88322149  015.94456837
111 -17.88328201  015.94443112
111 -17.88327870  015.94440539
111 -17.88327040  015.94438173
111 -17.88325343  015.94436335
111 -17.88323096  015.94435155
111 -17.88328291  015.94422910
111 -17.88330889  015.94423721
111 -17.88333205  015.94423721
111 -17.88335171  015.94423205
111 -17.88336785  015.94421656
111 -17.88338660  015.94419391
111 -17.88357367  015.94376964
111 -17.88357143  015.94374521
111 -17.88356314  015.94372154
111 -17.88354616  015.94370316
111 -17.88352370  015.94369136
111 -17.88357565  015.94356891
111 -17.88360162  015.94357703
111 -17.88362479  015.94357703
111 -17.88364444  015.94357186
111 -17.88366059  015.94355637
111 -17.88367689  015.94353554
111 -17.88369425  015.94349617
111 -17.88377771  015.94353710
111 -17.88393007  015.94361181
111 -17.88305317  015.94561982
111 -17.88281212  015.94549868
111 -17.88282782  015.94546119
111 -17.88282872  015.94542850
111 -17.88282042  015.94540483
111 -17.88280345  015.94538645
111 -17.88278098  015.94537465
111 -17.88283293  015.94525220
111 -17.88285890  015.94526032
111 -17.88288207  015.94526032
111 -17.88290173  015.94525515
113 -17.88291787  015.94523966
110 2 0.00 0.0000 New Taxiway 66
111 -17.88312725  015.94478209
111 -17.88312496  015.94475651
111 -17.88311666  015.94473285
111 -17.88309969  015.94471446
111 -17.88307723  015.94470266
111 -17.88312917  015.94458021
111 -17.88315515  015.94458833
111 -17.88317831  015.94458833
111 -17.88319797  015.94458316
113 -17.88322149  015.94456837
110 2 0.00 0.0000 main apn
111 -17.88391085  015.94426157
111 -17.88428642  015.94443961
111 -17.88388291  015.94537754
111 -17.88350385  015.94519766
111 -17.88356807  015.94504995
113 -17.88384710  015.94440819
110 1 0.00 0.0000 main
111 -17.88369040  015.93973374
111 -17.88372781  015.93974755
111 -17.88373589  015.93973056
111 -17.88376723  015.93973693
111 -17.88398154  015.93923663
111 -17.88421808  015.93935029
111 -17.88400074  015.93987608
111 -17.88416873  015.93995985
111 -17.88408186  015.94016558
111 -17.88397042  015.94042948
111 -17.88376925  015.94057819
111 -17.88304830  015.94224625
112 -17.88315102  015.94241365 -17.88324115  015.94245770
111 -17.88315102  015.94241365
111 -17.88336692  015.94251585
112 -17.88336692  015.94251585 -17.88353210  015.94258721
111 -17.88367925  015.94235638
111 -17.88435421  015.94080136
112 -17.88435421  015.94080136 -17.88441834  015.94064092
111 -17.88433322  015.94022905
111 -17.88441738  015.94027100
111 -17.88467014  015.94038861
111 -17.88470249  015.94042685
111 -17.88472978  015.94046190
111 -17.88474292  015.94049801
111 -17.88475303  015.94055006
111 -17.88475000  015.94059149
111 -17.88474494  015.94063079
111 -17.88459735  015.94092290
111 -17.88472371  015.94097919
111 -17.88468121  015.94099078
111 -17.88462082  015.94109339
111 -17.88442734  015.94136673
111 -17.88415927  015.94171323
